Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
初期,2005,10,11,,2012,6,18,,,木沙勇斗,,,,,,
1期生,2006,2,14,,2014,4,6,,,木道行,,,,,,
1期生,2006,2,14,,2017,3,31,,,矢貝魁人,,,,,,
1期生,2006,2,14,,2016,12,31,,,園尾崎統一郎,,,,,,
1期生,2006,2,14,,2007,5,11,,,屋形圭,,,,,,
1期生,2006,2,14,,2009,3,31,,,佐々倉煌,,,,,,
1期生,2006,2,14,,2009,12,31,,,中山創也,,,,,,
2期生,2006,5,11,,2010,5,4,,,白木戸聖,,,,,,
2期生,2006,5,11,,2013,8,29,,,白木貴也,,,,,,
2期生,2006,5,11,,now,,,,,野登恭太,,,,,,
2期生,2006,5,11,,now,,,,,橋本癒来也,,,,,,
3期生,2006,10,31,,now,,,,,水戸時都,,,,,,
3期生,2006,10,31,,2013,10,25,,,東健介,,,,,,
3期生,2006,10,31,,2013,10,25,,,佐藤架,,,,,,
3期生,2006,10,31,,2014,1,15,,,伊勢俊希,,,,,,
3期生,2006,10,31,,2011,8,26,,,小林俊介,,,,,,
4期生,2007,2,10,,2016,9,9,,,佐藤行人,,,,,,
4期生,2007,2,10,,2016,1,14,,,遊馬詠一,,,,,,
4期生,2007,2,10,,now,,,,,野中刻,,,,,,
4期生,2007,2,10,,2011,6,19,,,千種冬馬,,,,,,
5期生,2007,11,15,,now,,,,,中村旭,,,,,,
5期生,2007,11,15,,2017,12,31,,,舟木琴也,,,,,,
5期生,2007,11,15,,2011,8,26,,,甘樫祐,,,,,,
6期生,2008,10,17,,now,,,,,朴精練,,,,,,
6期生,2008,10,17,,now,,,,,臣啓牙,,,,,,
6期生,2008,10,17,,2017,8,17,,,倉持帝御,,,,,,
7期生,2009,4,14,,now,,,,,漆川快,,,,,,
7期生,2009,4,14,,now,,,,,聖章吾,,,,,,
7期生,2009,4,14,,2014,10,10,,,柏尾竜登,,,,,,
7期生,2009,4,14,,2014,10,10,,,聖章吾,,,,,,
8期生,2010,2,23,,now,,,,,高頭健一,,,,,,
8期生,2010,2,23,,now,,,,,高柳秀,,,,,,
8期生,2010,2,23,,now,,,,,水無月遠矢,,,,,,
9期生,2010,11,11,,now,,,,,今野実,,,,,,
9期生,2010,11,11,,now,,,,,鹿骨洸太郎,,,,,,
9期生,2010,11,11,,now,,,,,山本明日也,,,,,,
10期生,2011,10,22,,now,,,,,橋川龍之介,,,,,,
10期生,2011,10,22,,now,,,,,上野琥太郎,,,,,,
11期生,2012,4,19,,now,,,,,久我日向,,,,,,
11期生,2012,4,19,,now,,,,,久我涼夜,,,,,,
12期生,2015,2,27,,now,,,,,漉木透,,,,,,
12期生,2015,2,27,,now,,,,,渡会世都,,,,,,
12期生,2015,2,27,,now,,,,,淡海圭,,,,,,
12期生,2015,2,27,,now,,,,,名越俊,,,,,,
13期生,2015,4,18,,now,,,,,岸涼一郎,,,,,,
13期生,2015,4,18,,now,,,,,柏木巧,,,,,,
13期生,2015,4,18,,now,,,,,木沙心,,,,,,
14期生,2017,3,31,,now,,,,,深間伊那,,,,,,
14期生,2017,3,31,,now,,,,,赤兎馬太陽,,,,,,
14期生,2017,3,31,,now,,,,,波掛ノエル,,,,,,
14期生,2017,3,31,,now,,,,,水無瀬続,,,,,,
