Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
,1948,,,,,,,,,born,,,,,,
,1987,,,,,,,,,キリンプラザ大阪,,,https://pbs.twimg.com/media/DL2ZsKWVAAAqSnE.jpg,,box,
,1986,,,,,,,,,WEEK,,,https://pbs.twimg.com/media/DL2ZsLnU8AIDjNu.jpg,,box,
,1995,,,,,,,,,植田正治写真美術館,,,https://pds.exblog.jp/pds/1/200611/08/97/a0074197_8193146.jpg,,box,
,1997,,,,,,,,,みなとさかい交流館,,,https://lh3.googleusercontent.com/proxy/P6F-jPvko4xJ1mTNmrVFrqZnfFjoUYaSBhu4HFhzxouUw6_m1eIF0WJOzhndZjKUdJO3zFEw34WH8P7MwVkGSixN6dhuEXVMCL8wVHbyXbF1f4U-Jf5hOr70,,box,
,1998,,,,,,,,,能勢妙見山 星嶺,,,https://www.lab2.toho-u.ac.jp/sci/c/english/SHIONO/ARCHITECTURE/PHOTOGRAPH/IMG3023.jpg,,box,
,2007,,,,,,,,,なんばヒップス,,,https://bb-building.net/tatemono/image/osaka/930-01.jpg,,box,
,1990,,,,,,,,,SYNTAX,,,https://rr.img.naver.jp/mig?src=https%3A%2F%2Fs-media-cache-ak0.pinimg.com%2F736x%2F04%2F4e%2Fba%2F044eba40b86e50fe983279a5e1bc5365.jpg&twidth=1000&theight=0&qlt=80&res_format=jpg&op=r,,box,
,1982,,,,,,,,,織陣２,,,https://rr.img.naver.jp/mig?src=https%3A%2F%2Fs-media-cache-ak0.pinimg.com%2F736x%2Ff6%2F58%2F71%2Ff6587138795cf308f849b533c70f3432.jpg&twidth=1000&theight=0&qlt=80&res_format=jpg&op=r,,box,
,1983,,,,,,,,,ARK,,,https://rr.img.naver.jp/mig?src=https%3A%2F%2Fs-media-cache-ak0.pinimg.com%2F736x%2Fec%2Fc2%2F3d%2Fecc23db8207c017c70d56986171e4a0c.jpg&twidth=1200&theight=1200&qlt=80&res_format=jpg&op=r,,box,
