Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,1989,,,,now,,,,,平成,,,,,,
日本の年号,1926,,,,1988,,,,,昭和,,,,,,
日本の年号,1912,,,,1926,,,,,大正,,,,,,
日本の年号,1868,,,,1912,,,,,明治,,,,,,
Composer,1874,9,13,,1951,7,13,,,Arnold Schönberg,,,,,,
Composer,1883,12,3,,1945,9,15,,,Anton Webern,,,,,,
Composer,1885,2,9,,1935,12,24,,,Alban Berg,,,,,,
Composer,1860,7,7,,1911,5,18,,,Gustav Mahler,,,,,,
Composer,1883,3,19,,1959,9,22,,,Josef Matthias Hauer,,,,,,
Composer,1908,12,10,,1992,4,27,,,Olivier Messiaen,,,,,,
Composer,1923,6,8,,1993,2,3,,,Karel Goeyvaerts,,,,,,
Composer,1928,8,22,,2007,12,5,,,Karlheinz Stockhausen,,,,,,
Composer,1912,9,5,,1992,8,12,,,John Cage,,,,,,
Group,1977,,,,,,,,,IRCAM,ブーレーズによって組織された,,,,,
Group,1900,,,,,,,,,新ウィーン楽派,シェーンベルグを師としたベルグ、ウェーベルンの主な3人,,,,,
Event,1921,,,,1923,,,,,Piano Suite op.25 Schönberg,十二音技法を用いた初の作品,,,,,
Event,1919,,,,,,,,,Nomos op.19 Hauer,,,,,,
Event,1951,,,,,,,,,Sonata for two piano op.1 Karel Goeyvaerts,トータル・セリエリズムの確立,,,,,
Event,1919,,,,,,,,,トローぺ技法の確立,,,,,,
Event,1921,,,,,,,,,十二音技法の確立,,,,,,
