Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL
出来事,1937,,,,,,,,,三菱協議会発足,,,
出来事,1940,4,1,,1941,3,31,,,事業報告より,当会の前身たる三菱倶楽部は去る大正三年横断的に社内の精神的結合を計る目的を以て設立したものであるが今日に於いては分系会社も斯く多数となり人数も当初の数倍に達して居るのである。今や新時勢に対応するため外に向つては全社業の統制を～養和と付けたのも会員が倶楽部などで談笑の間に其精神を養ふやうにしたい斯うした大集団となつては殊に「和」が大切であると云ふ心持で命名した,,
出来事,1942,,,,,,,,,養和会理事,"理事
千田勘兵衛…株式会社三菱社嘱託
中尾方一…本会嘱託
平井澄…株式会社三菱社常務理事
原耕三…三菱重工業株式会社常務取締役
間四郎…三菱電機株式会社常務取締役
春藤和…株式会社三菱銀行常務取締役
橋本十五郎…日本化成工業株式会社常務取締役
大久保繁雄…三菱◎◎株式会社常務取締役
樋口實…三菱地所株式会社常務取締役
池田乾治…三菱鉱業株式会社取締役
監事
栗田庸太郎…三菱信託株式会社常務取締役
山崎敬栄…三菱倉庫伊株式会社常務取締役
評議員
岩崎彦弥太…株式会社三菱社取締役副社長
加藤武男…株式会社三菱銀行取締役会長
三橋信三…三菱倉庫株式会社取締役会長
船田一雄…株式会社三菱社専務取締役
山室宗文…三菱信託・三菱地所取締役会長
池田亀三郎…日本化成工業株式会社取締役社長
田中完三…三菱商事株式会社取締役会長
武藤松次…株式会社三菱社専務取締役
御古潔…三菱重工業株式会社取締役社長
小村十太郎…三菱鉱業株式会社取締役社長
元良信太郎…三菱製鋼株式会社取締役社長
平井澄…株式会社三菱社専門取締役
栗田庸太郎…三菱信託株式会社常務取締役
宮崎駒吉…三菱電機株式会社常務取締役
原耕三…三菱重工業株式会社常務取締役
間四郎…三菱電機株式会社常務取締役
春藤和…株式会社三菱銀行常務取締役
大久保繁雄…三菱◎◎株式会社常務取締役
橋本十五郎…日本化成工業株式会社常務取締役
樋口實…三菱地所株式会社常務取締役
山崎敬栄…三菱倉庫株式会社常務取締役
池田乾治…三菱鉱業株式会社取締役
千田勘兵衛…株式会社三菱社嘱託
中尾方一…本会嘱託
",,
出来事,1942,4,1,,1943,3,31,,,事業報告より,"本会主催の下に不定期的に各社厚生事業担当者の懇談会を開催し事業上の連絡を図ること
委員選出方針に就き左の通り総務部幹事より提案あり。一、各部委員をして事業遂行、企画の推進力たらしむること。二、各部委員は各社中堅の人物を銓衡すべきこと。三、各部委員の員数は各社より各一名程度とすること(以下略)
",,
出来事,1943,1,,,,3,,,,事業報告より,"会費廃止…時局下本会事業の運営に就き重点主義を採り時代の要請に応ずることとしたり。猶今後本会の施設以外、会社の一般福利厚生事業に対しても援助をなすべき場合もあるべき為め、会費を全廃することとし、経費は総て本会負担とし、本期々首より斯を実施せり。

養和会の栞…十八年十一月養和会の栞を作成会員に頒布し本会の趣旨目的の徹底を計ることゝしたり。
",,
出来事,1943,4,1,,1944,3,31,,,事業報告より,"本支部に於ける本会建物名称従来「倶楽部」と称したるが而今「何々集会所」と呼称することに可決
塩屋寮土地建物に三菱重工神戸造船所へ譲渡に依る利得金基本財産へ繰入れの件
18年度事業報告によれば、会員数は835657名。三菱全職員(工員含め)も会員にしたか。
",,
出来事,1944,,,,,,,,,事業報告より,"農園
会員の錬成及食糧増産の目的を以て小石川区高田允松■所前在既■農園七百坪の■新タニ千歳道場に約壱萬貳千坪豊島区巣鴨に約四千坪の農園を開設せり
",,
出来事,1944,4,1,,1945,3,31,,,事業報告より,会員の錬成及食糧増産の目的を以て小石川区高田允松■所前在既■農園七百坪の■新タニ千歳道場に約壱萬貳千坪豊島区巣鴨に約四千坪の農園を開設せり,,
出来事,1945,4,1,,1946,3,31,,,事業報告より,"施設の空襲被害
兵庫県西宮所在厚生寮舎　西宮寮全焼
東京都豊島区巣鴨所在　集会所　半壊
仝所　修養寮役宅　全焼
神戸市下山手所在　全焼
門司市大字門司所在集会所　全焼
神戸市梶田埼町所在集会所　全焼
名古屋市大曾根町所在　全焼
",,
出来事,1945,8,18,,,,,,,満州国皇帝退位 満州国解消,,,
