Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
時代,1868,,,,1912,,,,,明治,,,,,,
時代,1912,,,,1926,,,,,大正,,,,,,
時代,1926,,,,1988,,,,,昭和,,,,,,
時代,1989,,,,2019,,,,,平成,,,,,,
時代,1894,,,,,,,,,日清戦争勃発,,,,,,
時代,1904,,,,,,,,,日露戦争勃発,,,,,,
時代,1914,,,,,,,,,第1次世界大戦勃発,,,,,,
時代,1950,,,,,,,,,石油輸入再開、太平洋岸の製油所再開,,,,,,
時代,1973,,,,,,,,,第1次オイルショック,,,,,,
時代,1978,,,,,,,,,第2次オイルショック,,,,,,
時代,1986,,,,,,,,,特石法施行,,,,,,
時代,1987,,,,,,,,,国鉄分割民営化,,,,,,
事業家,1859,,,,1946,,,,,内藤久寛,,,,,,
事業家,1846,,,,1928,,,,,中野貫一,,,,,,
事業家,1855,,,,1918,,,,,山田又七,,,,,,
外資,1870,,,,,,,,,スタンダード・オイル設立,,,,,,
外資,1889,,,,,,,,,インターナショナル石油の日本進出,,,,,,
外資,1907,,,,,,,,,インターナショナル石油の日本撤退,,,,,,
内資,1888,,,,,,,,,日本石油設立,,,,,,
内資,1893,,,,,,,,,宝田石油設立,,,,,,
内資,1895,,,,,,,,,日本石油が新潟鐵工所を設立,,,,,,
内資,1898,,,,,,,,,北越鉄道 春日新田～沼垂 開業,,,,,,
内資,1910,,,,,,,,,新潟鐵工所の分離独立,,,,,,
内資,1914,,,,,,,,,黒川油田の大噴油,,,,,,
内資,1921,,,,,,,,,日本石油が宝田石油を合併,,,,,,
内資,1931,,,,,,,,,三菱石油設立,,,,,,
内資,1939,,,,,,,,,東亜燃料工業設立,,,,,,
内資,1939,,,,,,,,,大協石油設立,,,,,,
内資,1931,,,,,,,,,日本石油が小倉石油を合併,,,,,,
内資,1941,,,,,,,,,帝国石油設立,,,,,,
内資,1942,,,,,,,,,昭和石油設立,,,,,,
内資,1966,,,,,,,,,日本オイルターミナル設立,,,,,,
内資,1984,,,,,,,,,コスモ石油設立（大協石油、丸善石油）,,,,,,
内資,1985,,,,,,,,,昭和シェル石油設立,,,,,,
内資,1986,,,,,,,,,新生コスモ石油設立,,,,,,
