Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,1926,,,,1988,,,,,昭和,,,,,,
日本の年号,1912,,,,1926,,,,,大正,,,,,,
日本の年号,1868,,,,1912,,,,,明治,,,,,,
出来事,1904,2,8,,1905,9,5,,,日露戦争,,,,,,
出来事,1923,9,1,,,,,,,関東大震災,,,,,,
出来事,1941,12,8,,1945,8,15,,,太平洋戦争,,,,,,
江戸時代生,1859,6,22,,1935,2,28,,,坪内逍遥 [75],,,,,,
江戸時代生,1862,2,17,,1922,7,,,,森鷗外 [60],,,,,,
江戸時代生,1864,4,4,,1909,5,10,,,二葉亭四迷 [45],,,,,,
江戸時代生,1864,9,18,,1913,7,30,,,伊藤左千夫 [48],,,,,,
江戸時代生,1867,2,9,,1916,12,9,,,夏目漱石 [49],,,,,,
江戸時代生,1867,8,22,,1947,7,30,,,幸田露伴 [79],,,,,,
江戸時代生,1867,10,14,,1902,9,19,,,正岡子規 [34],,,,,,
江戸時代生,1868,1,10,,1903,10,30,,,尾崎紅葉 [35],,,,,,
江戸時代生,1868,12,8,,1927,9,18,,,徳冨蘆花 [58],,,,,,
1870年代生,1871,8,30,,1908,6,23,,,国木田独歩 [36],,,,,,
1870年代生,1872,1,22,,1930,5,13,,,田山花袋 [58],,,,,,
1870年代生,1872,2,1,,1943,11,18,,,徳田秋声 [71],,,,,,
1870年代生,1872,3,25,,1943,8,22,,,島崎藤村 [71],,,,,,
1870年代生,1873,1,20,,1920,5,9,,,岩野泡鳴 [47],,,,,,
1870年代生,1873,2,26,,1937,2,1,,,河東碧梧桐 [63],,,,,,
1870年代生,1873,11,4,,1939,9,7,,,泉鏡花 [65],,,,,,
1870年代生,1874,2,22,,1959,4,8,,,高浜虚子 [85],,,,,,
1870年代生,1878,3,4,,1923,6,9,,,有島武郎 [45#],,,,,,
1870年代生,1879,3,3,,1962,10,28,,,正宗白鳥 [83],,,,,,
1870年代生,1879,4,30,,1959,4,30,,,永井荷風 [79],,,,,,
1880年代生,1882,4,7,,1961,5,11,,,小川未明 [79],,,,,,
1880年代生,1883,2,20,,1971,10,21,,,志賀直哉 [88],,,,,,
1880年代生,1883,3,13,,1956,4,2,,,高村光太郎 [73],,,,,,
1880年代生,1885,1,25,,1942,11,2,,,北原白秋 [57],,,,,,
1880年代生,1885,4,4,,1944,4,28,,,中里介山 [59],,,,,,
1880年代生,1885,5,12,,1976,4,9,,,武者小路実篤 [90],,,,,,
1880年代生,1885,11,1,,1942,5,11,,,萩原朔太郎 [55],,,,,,
1890年代生,1892,3,1,,1927,7,24,,,芥川龍之介 [35#],,,,,,
1890年代生,1898,3,17,,1947,12,30,,,横光利一 [49],,,,,,
1890年代生,1899,6,14,,1972,4,16,,,川端康成 [72#],,,,,,
1900年以降,1901,2,17,,1932,3,24,,,梶井基次郎 [31],,,,,,
1900年以降,1903,12,1,,1933,2,20,,,小林多喜二 [29#],,,,,,
1900年以降,1906,10,20,,1955,2,17,,,坂口安吾 [48],,,,,,
1900年以降,1909,5,5,,1942,12,4,,,中島敦 [33],,,,,,
1900年以降,1909,6,19,,1948,6,13,,,太宰治 [39#],,,,,,
1900年以降,1913,10,26,,1947,1,10,,,織田作之助 [33],,,,,,
