Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
シナリオ時系列,2020,2,,,,,,,,狂気山脈,不破柚希、椎橋ナツナ、野口到,,,,box,
シナリオ時系列,2020,4,,,,,,,,うるさい隣人(ナツナ),椎橋ナツナ,,,,box,
シナリオ時系列,2020,5,,,,,,,,うるさい隣人(柚希),不破柚希,,,,box,
シナリオ時系列,2020,3,,,,,,,,ぎこちない同居(旬),水溜旬,,,,box,
シナリオ時系列,2020,11,,,,,,,,ぎこちない同居(燈莉),小鳥遊燈莉,,,,box,
シナリオ時系列,2022,2,,,,,,,,多眼のO,葛原善、白楊黒葉、庚社,,,,box,
庭師は何を口遊む,2016,4,,,,,,,,ゼロ課発足,倉水揺、化野紡、登真斗、杜若蛍、相模原涼,,,,box,
庭師は何を口遊む,2016,5,,,,,,,,紡が柚希と出会う,,,,,box,
庭師は何を口遊む,2017,12,,,,,,,,庭師事件の始まり,相模原涼が殺害される,,,,box,
庭師は何を口遊む,2020,12,,,,,,,,庭師事件の解決,蛍がいなくなる,,,,box,
庭師は何を口遊む,2021,11,,,,,,,,時の債鬼,蛍、刑務所行き,,,,box,
白楊,2011,,,,,,,,,一夏が白楊に入る,一夏12歳,,,,box,
白楊,2016,,,,,,,,,一夏スパイ活動開始,一夏17歳,,,,box,
白楊,2016,4,,,,,,,,善が白楊に入る,善12歳(中学1年生),,,,box,
白楊,2017,,,,,,,,,黒葉が白楊に入る,いちこの初対面,,,,box,
白楊,2020,9,,,,,,,,東が白楊に入る,,,,,box,
白楊,2020,12,,,,,,,,組長殺害,,,,,box,
白楊,2021,2,,,,,,,,時期若頭の相談,,,,,box,
白楊,2021,9,,,,,,,,善が若頭になること確定,恋白にはまだ相談してない,,,,box,
白楊,2022,4,,,,,,,,善が若頭になる,,,,,box,
ぜんこは,2019,4,,,,,,,,仮付き合い,,,,,box,
ぜんこは,2019,7,,,2020,4,,,,セフレ,,,,,box,
ぜんこは,2020,4,,,,,,,,正式にお付き合い,,,,,box,
ぜんこは,2021,3,,,,,,,,京都デート,,,,,box,
ぜんこは,2021,10,,,,,,,,恋白、岐阜へ,過去のいざこざ解決,,,,box,
ぜんこは,2022,3,,,,,,,,プロポーズ,,,,,box,
ぜんこは,2022,4,,,,,,,,恋白ご懐妊,,,,,box,
ぜんこは,2022,4,,,,,,,,結婚式,,,,,box,
ぜんこは,2022,12,28,,,,,,,詞が生まれる,,,,,box,
すみきみ,2001,4,,,,,,,,小学校で出会う,小学1年生,,,,box,
リエちあ,2018,6,,,,,,,,リエト拾う,,,,,box,
リエちあ,2020,5,,,,,,,,付き合う,,,,,box,
リエちあ,2020,10,,,,,,,,イタリア篇,,,,,box,
リエちあ,2021,4,,,,,,,,プロポーズ,,,,,box,
いちこの,2020,10,,,,,,,,0話スタート,,,,,box,
あずいつ,2020,10,1,,,,,,,大学の飲み会で出会う,,https://discordapp.com/channels/679694004639629328/725379743758942270/731489920589234217,,,box,
あずいつ,2020,10,2,,,,,,,樹の家に東上がり込む,,https://discordapp.com/channels/679694004639629328/725379743758942270/731605633476067388,,,box,
あずいつ,2020,10,23,,,,,,,樹襲われ骨折する,柏木の所に入院,https://discordapp.com/channels/679694004639629328/725379743758942270/731889975779655732,,,box,
あずいつ,2020,11,,,,,,,,樹退院,"あずいつ付き合ってるとモブに嘘つく
東、樹に好きという気持ちを押し付ける",https://discordapp.com/channels/679694004639629328/725379743758942270/731941407647989883,,,box,
あずいつ,2020,11,,,,,,,,樹、東に恨みのあるモブに追われる,,https://discordapp.com/channels/679694004639629328/725379743758942270/7319414076479898833,,,box,
あずいつ,2020,11,,,,,,,,同棲(軟禁),,https://discordapp.com/channels/679694004639629328/725379743758942270/732234916686987315,,,box,
あずいつ,2020,12,,,,,,,,クリスマスパーティ,,https://discordapp.com/channels/679694004639629328/725379743758942270/732296459097079868,,,box,
あずいつ,2020,12,,,,,,,,東数週間家を空ける,,https://discordapp.com/channels/679694004639629328/725379743758942270/732419961074745395,,,box,
あずいつ,2021,1,,,,,,,,樹から告白,,https://discordapp.com/channels/679694004639629328/725379743758942270/732482097482301451,,,box,
あずいつ,2021,2,,,,,,,,樹バイト復帰,RGBと遭遇,https://discordapp.com/channels/679694004639629328/725379743758942270/732840526423916563,,,box,
あずいつ,2021,5,,,,,,,,樹完治,,,,,box,
しんおと,2020,4,,,,,,,,音入学,生徒会に入り槙と知り合う,https://discordapp.com/channels/679694004639629328/725379743758942270/746037531564572702,,,box,
しんおと,2020,5,,,,,,,,GW槙の家で勉強会,音が手を出す・槙から告白,https://discordapp.com/channels/679694004639629328/725379743758942270/746094339297378364,,,box,
しんおと,2020,5,,,,,,,,GW明け,ビッチなのバレる,https://discordapp.com/channels/679694004639629328/725379743758942270/746474047323373649,,,box,
しんおと,2020,7,,,,,,,,夏インハイ,樹と知り合う,https://discordapp.com/channels/679694004639629328/725379743758942270/747843329164574800,,,box,
しんおと,2020,8,,,,,,,,ナイトプール,音から告白,https://discordapp.com/channels/679694004639629328/725379743758942270/748561877381939231,,,box,
しんおと,2020,12,,,,,,,,冬のインハイ,,,,,box,
籠星第一高校,2020,6,,,,,,,,球技大会,,https://discordapp.com/channels/679694004639629328/725379743758942270/747451773484007424,,,box,
籠星第一高校,2020,9,,,,,,,,体育祭,,https://discordapp.com/channels/679694004639629328/741571493049401375/749489198930591806,,,box,
籠星第一高校,2020,10,,,,,,,,文化祭,,,,,box,
籠星第一高校,2020,11,,,,,,,,生徒会引き継ぎ,ルイ生徒会長へ,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
,,,,,,,,,,,,,,,box,
