Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,1926,12,25,,1989,1,7,,,昭和,,,,,,
日本の年号,1989,1,8,,2019,4,30,,,平成,,,,,,
日本の年号,2019,5,1,,now,,,,,令和,,,,,,
逮捕,2016,2,2,,,,,,,清原和博,覚醒剤取締法違反で逮捕,,,,,
書類送検,1981,2,18,,,,,,,志村けん,ノミ行為で書類送検,,,,,
書類送検,1981,2,18,,,,,,,仲本工事,ノミ行為で書類送検,,,,,
書類送検,2005,1,26,,,,,,,小泉今日子,当て逃げで書類送検,,,,,
逮捕,1997,2,15,,,,,,,江頭2：50,トルコで全裸パフォーマンスを敢行し逮捕,,,,,
書類送検,2013,5,25,,,,,,,江頭2：50,タワーレコードのイベントで下半身を露出し書類送検,,,,,
書類送検,2014,7,4,,,,,,,江口直人(どぶろっく),カミツキガメを無断で飼育し外来種被害防止法違反で書類送検,,,,,
書類送検,1996,10,,,,,,,,水道橋博士,運転免許不正取得で書類送検,,,,,
スキャンダル,2020,6,9,,,,,,,渡部建(アンジャッシュ),多目的トイレで不倫をし芸能活動自粛,,,,,
逮捕,1986,12,9,,,,,,,東国原英夫,講談社を襲撃し現行犯逮捕,,,,,
逮捕,1986,12,9,,,,,,,柳憂怜,講談社を襲撃し現行犯逮捕,,,,,
逮捕,1986,12,9,,,,,,,大森うたえもん,講談社を襲撃し現行犯逮捕,,,,,
逮捕,1986,12,9,,,,,,,サード長嶋,講談社を襲撃し現行犯逮捕,,,,,
逮捕,1986,12,9,,,,,,,ガダルカナル・タカ,講談社を襲撃し現行犯逮捕,,,,,
逮捕,1986,12,9,,,,,,,グレート義太夫,講談社を襲撃し現行犯逮捕,,,,,
逮捕,1986,12,9,,,,,,,ダンカン,講談社を襲撃し現行犯逮捕,,,,,
逮捕,1986,12,9,,,,,,,キドカラ―大道,講談社を襲撃し現行犯逮捕,,,,,
逮捕,1986,12,9,,,,,,,大阪百万円,講談社を襲撃し現行犯逮捕,,,,,
逮捕,1986,12,9,,,,,,,松尾伴内,講談社を襲撃し現行犯逮捕,,,,,
逮捕,1986,12,9,,,,,,,水島新太郎,講談社を襲撃し現行犯逮捕,,,,,
逮捕,1986,12,9,,,,,,,北野武,講談社を襲撃し現行犯逮捕,,,,,
書類送検,1994,8,2,,,,,,,北野武,酒気帯び運転で書類送検,,,,,
逮捕,2016,4,13,,,,,,,杉田あきひろ,覚醒剤取締法違反の疑いで現行犯逮捕,,,,,
逮捕,2011,7,16,,,,,,,速水けんたろう,車を運転中に道路横断中の女性をはね死亡させ自動車運転過失致死罪で在宅起訴,,,,,
書類送検,2000,9,24,,,,,,,田代まさし,盗撮をし東京都迷惑防止条例違反により書類送検,,,,,
逮捕,2001,12,9,,,,,,,田代まさし,近所の男性宅の風呂をのぞき見し軽犯罪法違反容疑で現行犯逮捕,,,,,
逮捕,2001,12,11,,,,,,,田代まさし,覚醒剤取締法違反容疑で再逮捕,,,,,
逮捕,2004,6,16,,,,,,,田代まさし,転回禁止の場所でUターンしオートバイに乗った男性に衝突する人身事故を起こし業務上過失傷害と道路交通法違反容疑で書類送検,,,,,
逮捕,2004,9,20,,,,,,,田代まさし,覚醒剤及び刃渡り8cmのバタフライナイフを所持していたとして銃刀法違反と覚醒剤取締法違反で現行犯逮捕,,,,,
逮捕,2010,9,16,,,,,,,田代まさし,麻薬及び向精神薬取締法違反で逮捕,,,,,
逮捕,2010,10,14,,,,,,,田代まさし,覚醒剤取締法違反で再逮捕,,,,,
書類送検,2015,7,6,,,,,,,田代まさし,盗撮をし東京都迷惑防止条例容疑で書類送検,,,,,
逮捕,2019,11,6,,,,,,,田代まさし,覚醒剤取締法違反で逮捕,,,,,
逮捕,1973,,,,,,,,,清水健太郎,自動車運転中に女性歩行者を轢く交通死亡事故を起こし業務上過失致死で現行犯逮捕,,,,,
逮捕,1983,,,,,,,,,清水健太郎,大麻取締法違反で逮捕,,,,,
逮捕,1986,,,,,,,,,清水健太郎,大麻取締法違反で逮捕,,,,,
逮捕,1994,,,,,,,,,清水健太郎,大麻取締法違反で逮捕,,,,,
逮捕,2004,,,,,,,,,清水健太郎,覚醒剤取締法違反で逮捕,,,,,
逮捕,2008,,,,,,,,,清水健太郎,自動車運転中に男性歩行者に衝突しそのまま逃走。自動車運転過失傷害と道交法違反の罪で逮捕,,,,,
逮捕,2010,,,,,,,,,清水健太郎,覚醒剤取締法違反で逮捕,,,,,
逮捕,2013,6,6,,,,,,,清水健太郎,麻薬取締法違反の容疑で逮捕,,,,,
交通事故,2015,10,22,,,,,,,清水健太郎,交通事故を起こす,,,,,
不祥事,2013,7,9,,,,,,,清水健太郎,脱法ハーブを吸引し緊急搬送される,,,,,
逮捕,1977,10,,,,,,,,美川憲一,大麻取締法違反で逮捕,,,,,
逮捕,1984,,,,,,,,,美川憲一,大麻取締法違反で逮捕,,,,,
書類送検,2017,2,10,,,,,,,早見優,鉄道営業法違反の疑いで書類送検,,,,,
書類送検,2017,2,10,,,,,,,松本伊代,鉄道営業法違反の疑いで書類送検,,,,,
,2011,8,28,,,,,,,山口達也(元TOKIO),道路交通法違反(無免許運転)で書類送検,,,,,
,2018,4,25,,,,,,,山口達也(元TOKIO),女子高生に対する強制わいせつ容疑で書類送検,,,,,
,2014,,,,,,,,,山下智久,女性のスマホを奪って逃走、返却したものの破損していたため器物破損で書類送検,,,,,
