Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
スペイン,718,,,,1492,1,2,,,レコンキスタ,,,,,background,orenge
スペイン,1516,3,14,,1700,11,1,,,ハプスブルク朝,,,,,background,black
スペイン,1700,11,16,,1808,5,6,,,ブルボン朝,,,,,background,pink
スペイン,1808,6,6,,1813,12,11,,,ボナパルト朝,,,,,background,yellow
スペイン,1813,12,11,,1868,9,30,,,ブルボン朝,,,,,background,pink
スペイン,1870,11,16,,1873,2,11,,,サヴォイア朝,,,,,background,orenge
スペイン,1873,2,11,,1874,12,29,,,第一共和制,,,,,background,blue
スペイン,1874,11,29,,1941,2,28,,,ブルボン朝,,,,,background,pink
スペイン,1931,4,14,,1939,4,1,,,第二共和制,,,,,background,blue
スペイン,1939,,,,1975,,,,,フランコ政権,,,,,background,orange
スペイン,1975,11,22,,Now,,,,,ブルボン朝,,,,,background,pink
スペイン,1516,3,14,,1556,1,16,,,カルロス1世,,,,,range,orange
スペイン,1556,1,16,,1598,9,13,,,フェリペ2世,,,,,range,orange
スペイン,1598,9,13,,1621,3,31,,,フェリペ3世,,,,,range,orange
スペイン,1621,3,31,,1665,9,17,,,フェリペ4世,,,,,range,orange
スペイン,1665,9,17,,1700,11,1,,,カルロス2世,,,,,range,orange
スペイン,1700,11,16,,1724,1,14,,,フェリペ5世,,,,,range,orange
スペイン,1724,1,14,,1724,8,31,,,ルイス1世,,,,,range,orange
スペイン,1724,9,6,,1746,7,9,,,フェリペ5世,,,,,range,orange
スペイン,1746,7,9,,1759,8,10,,,フェルナンド6世,,,,,range,orange
スペイン,1759,8,10,,1788,12,14,,,カルロス3世,,,,,range,orange
スペイン,1788,12,14,,1808,3,19,,,カルロス4世,,,,,range,orange
スペイン,1808,3,19,,1808,5,6,,,フェルナンド7世,,,,,range,orange
スペイン,1808,6,6,,1813,12,11,,,ホセ1世,,,,,range,yellow
スペイン,1813,12,11,,1833,9,29,,,フェルナンド7世,,,,,range,orange
スペイン,1833,9,29,,1868,9,30,,,イザベル2世,,,,,range,orange
スペイン,1870,11,16,,1873,2,11,,,アマデオ1世,,,,,range,orange
スペイン,1874,12,29,,1885,11,25,,,アルフォンソ12世,,,,,range,orange
スペイン,1886,5,17,,1941,2,28,,,アルフォンソ13世,,,,,range,orange
スペイン,1939,,,,1975,,,,,フランコ,,,,,range,blue
スペイン,1975,11,22,,2014,6,19,,,フアン・カルロス1世,,,,,range,orange
スペイン,2014,6,19,,now,,,,,フェリペ6世,,,,,range,orange
戦争,1585,,,,1604,,,,-,英西戦争,,,,,range,yellow
戦争,1701,,,,1713,,,,-,スペイン継承戦争,,,,,range,yellow
戦争,1727,,,,1729,,,,-,英西戦争,,,,,range,yellow
戦争,1807,,,,1814,,,,-,スペイン独立戦争,,,,,range,yellow
戦争,1936,,,,1939,,,,,スペイン内戦,,,,,range,orenge
戦争,1571,,,,1580,,,,-,レバントの海戦,,,,,point,yellow
戦争,1588,,,,1588,,,,-,アルマダの海戦,,,,,point,yellow
戦争,1713,,,,,,,,-,ユトレヒト条約,,,,,point,yellow
戦争,1714,,,,,,,,-,ラシュタット条約,,,,,point,yellow
