Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
モバイルOS,2007,6,29,,now,,,,,iOS,開発者:Apple そろそろiOS14がリリース予定。,,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.netmotionsoftware.com%2Fja%2Fpartner%2Fios-apple&psig=AOvVaw3rqLRaTfHv-0uNExJNhcuQ&ust=1594632246146000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCIDRzpuyx-oCFQAAAAAdAAAAABAD,,,
モバイルOS,2019,9,24,,now,,,,,iPad OS,開発者:Apple iOSと名前だけ分かれたわけではなく、iPad OS独自の機能も多い。,,,,,
モバイルOS,2008,9,23,,now,,,,,Android,開発者:Google そろそろAndroid 11がリリース予定。お菓子の名前のコードネームをやめてしまったのが個人的に残念なところ。,,https://www.google.com/url?sa=i&url=https%3A%2F%2Fja.wikipedia.org%2Fwiki%2F%25E3%2583%2595%25E3%2582%25A1%25E3%2582%25A4%25E3%2583%25AB%3AAndroid_logo_2019.svg&psig=AOvVaw1BBiIHW1m_ZdTp4GWz75-G&ust=1594632287226000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCMCCyqyyx-oCFQAAAAAdAAAAABAD,,,
モバイルOS,1999,1,,,2012,11,2,,,Black Berry OS,開発者:Black Berry 開発終了後は、AndroidOSを搭載した端末を販売していた。最終バージョンは7.1.0.746。,,https://www.google.com/url?sa=i&url=https%3A%2F%2Fsim-resis.com%2F3876%2F&psig=AOvVaw2vPqqjGW-CAcMpEWPpM2jg&ust=1594632331599000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCLC0h8Kyx-oCFQAAAAAdAAAAABAD,,,
モバイルOS,2013,4,23,,2015,4,29,,,Firefox OS,開発者:Mozilla AndroidやiOSの勢いに押されて廃れた。開発終了後はB2G OSに移行。最終バージョンは2.5。,,https://www.google.com/url?sa=i&url=https%3A%2F%2Fworldvectorlogo.com%2Fja%2Ftag%2Foperating-system&psig=AOvVaw0GptC6iPgcgxqoSoCKrjiJ&ust=1594632367108000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCJCCh9Kyx-oCFQAAAAAdAAAAABAD,,,
モバイルOS,2008,,,,2011,,,,,Symdian OS,開発者:Nokia 2009年頃はシェアトップだったが、リーマンショックの影響による事業縮小で開発も終了。2012年のシェアはわずか3%。最終バージョンは9.5。,,https://www.google.com/url?sa=i&url=https%3A%2F%2Ffree-designer.net%2Fserach%2Flist.php%3Fpage%3D63048%26search%3D&psig=AOvVaw159Umzyom5jHsyH4__BSy7&ust=1594632393161000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCMjTo96yx-oCFQAAAAAdAAAAABAE,,,
モバイルOS,2012,1,5,,now,,,,,Tizen,開発者:主にSamsung Samsung Zに搭載されて出荷予定だったが、凍結。2018年にスマートフォンOSから撤退を発表し、現在はGalaxy Watch等に搭載されている。現行バージョンは4.0。,,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.inside-games.jp%2Farticle%2Fimg%2F2012%2F12%2F30%2F62636%2F335677.fullscreen.html&psig=AOvVaw2s2t9rzvkimxEEl9DWpRvy&ust=1594632416059000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCPiDwemyx-oCFQAAAAAdAAAAABAJ,,,
モバイルOS,2013,2,22,,2017,4,,,,Ubuntu for Phones,開発者:カノニカル 第3のOSを目指して開発され、目標シェアはわずか1%だったが、それにも届かずあえなくサポート終了。現在は有志のグループが開発を続けている模様。,,https://www.google.com/url?sa=i&url=https%3A%2F%2Fgtswiki.gt-beginners.net%2Fdecal%2F%3Fsearchword%3Dtouch&psig=AOvVaw2XhFVx78RNQsRwk2vtVcti&ust=1594632458577000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCNCHk_6yx-oCFQAAAAAdAAAAABAD,,,
モバイルOS,2009,6,9,,now,,,,,webOS,開発者:~2012 HP 2013~ LG 当初はタブレット等のOSだったが、現在は冷蔵庫などの家電に組み込まれている。,,https://www.google.com/url?sa=i&url=https%3A%2F%2Fja.wikipedia.org%2Fwiki%2F%25E3%2583%2595%25E3%2582%25A1%25E3%2582%25A4%25E3%2583%25AB%3ALG_WebOS_New.svg&psig=AOvVaw12DK8HinvmioHYqLqW6egl&ust=1594632487439000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCMimq4qzx-oCFQAAAAAdAAAAABAE,,,
モバイルOS,2000,4,19,,2020,1,14,,,"Windows Mobile,Windows Phone,Windows 8.1 Mobile,Windows 10 Mobile",開発者:Microsoft 第三勢力となることが期待されていたが、惜しまれつつ終了。パソコンと同じアプリケーションを利用できたり、パソコンのサブディスプレイとして使用できたりと、Windowsとの連携機能がある。最終バージョンは1709。,,https://ja.wikipedia.org/wiki/Microsoft_Windows_10_Mobile#/media/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:Windows_10_Logo.svg,,,
