Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
年齢,2011,7,21,,2012,7,20,,,23歳,,,,,,
年齢,2012,7,21,,2013,7,20,,,24歳,,,,,,
年齢,2013,7,21,,2014,7,20,,,25歳,,,,,,
年齢,2014,7,21,,2015,7,20,,,26歳,,,,,,
年齢,2015,7,21,,2016,7,20,,,27歳,,,,,,
年齢,2016,7,21,,2017,7,20,,,28歳,,,,,,
年齢,2017,7,21,,2018,7,20,,,29歳,,,,,,
年齢,2018,7,21,,2019,7,20,,,30歳,,,,,,
年齢,2019,7,21,,2020,7,20,,,31歳,,,,,,
出来事,2011,3,,,,,,,,大学を卒業,,,,,point,
出来事,2011,4,,,,,,,,住宅設備機器メーカーの代理店に就職(営業),朝７時出社～２２時退勤の社畜生活。,,,,point,
出来事,2012,8,,,,,,,,副業を始める,"すぐに退職希望を出す。
退職までの半年間は２２時帰宅深夜２時まで副業の日々。",,,,point,
出来事,2013,2,,,,,,,,脱サラ,当時の月収５万円,,,,point,
出来事,2013,2,,,,,,,,業界の巨匠に弟子入り,,,,,point,
セミナー,2014,1,,,,,,,,転売ビジネススクールを開講,"スクール生１８０名を指導。
わずか手取り５００万円で１年間指導する。",,,,point,
出来事,2014,7,,,,,,,,法人設立,,,,,point,
トラブル・損失,2014,9,,,,,,,,400万円を失う,税関関係のトラブルで資本金４００万円をすべて失う。,,,,point,
セミナー,2014,9,,,,,,,,セミナーを開催,参加費３万円で１００人を集客。,,,,point,
トラブル・損失,2016,4,,,,,,,,楽天事業に失敗,"従業員に４００万円持逃げされ、さらに在庫８００万円分を処分。
闇雲に組織を拡大することに危機感を感じ利益体質経営に転換。",,,,point,
セミナー,2016,5,,,,,,,,セミナーを開催,"２００人超をわずか２日で集客する。
コンサル生３０名を指導。",,,,point,
出来事,2016,11,,,,,,,,過去最高月収を達成する,Amazon、メルカリ合わせて月利８００万円を達成。,,,,point,
出来事,2016,12,,,,,,,,メルカリの売上がゼロに,"メルカリの仕様変更で売上がゼロになる。
その後、Amazonのみで月利６００万円を安定させ
自身の労働なしの仕組み化が完了する。",,,,point,
出来事,2017,1,,,,,,,,川島塾に入塾,,,,,point,
セミナー,2017,12,,,,,,,,セミナーを開催,"前回同様に２００人超をわずか２日で集客する。
コンサル生３０名を指導。",,,,point,
トラブル・損失,2018,1,,,,,,,,2600万円を失う,"仮想通貨に投資して２０００万円を失う。
バイナリーオプションに投資して６００万円を持ち逃げされる。",,,,point,
トラブル・損失,2019,4,,,,,,,,5000万円を失う,スーパーカー事業に投資し５０００万円を持ち逃げされる。,,,,point,
出来事,2019,7,,,,,,,,オウンドメディア事業を開始,コンサル費用２００万円を支払い新しい知識とスキルを身につけるためにイチから勉強開始。,,,,point,
