Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
川崎競輪場,2008,3,,,,,,,,「富士見周辺地区整備基本計画,,,,,,
川崎競輪場,2009,12,,,,,,,,富士見基本計画に基づ く整備の考 え方,,,,,,
川崎競輪場,2010,3,,,,,,,,富士 見周辺地区整備基本計画に基づく整備の考え方(改訂版),,,,,,
川崎競輪場,2010,6,,,,,,,,川崎競輪場再整備基本計画(素案),,,,,,
川崎競輪場,2010,,,,2011,,,,,工事設計・建築確認など,,,,,,
川崎競輪場,2011,3,,,,,,,,富士見周辺地区整備実施計画,,,,,,
川崎競輪場,2012,,,,2013,,,,,バンク内広場・新選手管理棟など整備,,,,,,
川崎競輪場,2014,,,,2015,,,,,メインスタンド耐震工事,,,,,,
川崎競輪場,2016,,,,2016,,,,,東エリアの 敷地整理・ 競輪場敷地 の公園敷地 一部転換,,,,,,
川崎競輪場,2018,3,,,,,,,,富士見周辺地区における公共施設再編の方向性,,,,,,
川崎競輪場,2020,2,,,,,,,,富士見周辺地区整備推進計画,,,,,,
川崎競輪場,2020,,,,2025,,,,,整備推進期間（前期）,,,,,,
川崎競輪場,2026,,,,2029,,,,,整備推進期 間（後期）,,,,,,
千葉競輪場,2015,1,,,,,,,,2017年度末をもっての事業廃止に向けた調整作業の着手,,,,,,
千葉競輪場,2016,6,,,,,,,,民間事業者から新競輪場における競輪事業の継続の提案,,,,,,
千葉競輪場,2018,1,,,,,,,,事業者からの提案を審査し、日本写真判定(株)を事業予定者に決定,,,,,,
千葉競輪場,2017,,,,2018,,,,,メインスタンド以外の現競輪場施設除却工事,,,,,,
千葉競輪場,2018,,,,,,,,,競輪場内の国有地買取,,,,,,
千葉競輪場,2020,,,,now,,,,,メインスタンドの現競輪場施設除却工事,,,,,,
千葉競輪場,2018,,,,now,,,,,(仮称)千葉公園ドーム整備着手,,,,,,
千葉競輪場,2020,,,,,,,,,千葉での競輪事業再開予定,,,,,,
玉野競輪場,2020,2,14,,,,,,,事業予定者の決定,,,,,,
久留米競輪場,2017,,,,2026,,,,,久留米競輪中期運営計画,,,,,,
久留米競輪場,2015,,,,,,,,,久留米市自転車利用促進計画,,,,,,
久留米競輪場,2020,7,,,,,,,,「久留米競輪場再整備事業手法調査業務」公募型プロポーザル,,,,,,
立川競輪場,2015,,,,2019,,,,,立川市第三次自転車総合計画,,,,,,
立川競輪場,2015,7,7,,2016,11,30,,,立川競輪場施設改修工事（第１期）,,,,,,
熊本競輪場,2017,,,,,,,,,熊本競輪事業検討会設置,,,,,,
熊本競輪場,2020,,,,2021,,,,,改修工事,,,,,,
大垣競輪場,2018,3,,,,,,,,大垣競輪場施設再整備計画基本構想,,,,,,
大垣競輪場,2020,,,,2022,,,,,メインスタンド改修,,,,,,
大垣競輪場,2020,,,,2022,,,,,選手管理棟新築,,,,,,
岸和田競輪場,2018,4,,,,,,,,岸和田競輪場施設整備計画（案）,,,,,,
岸和田競輪場,2018,,,,2021,,,,,第一期計画,,,,,,
岸和田競輪場,2021,,,,,,,,,公園新設,,,,,,
岸和田競輪場,2022,,,,,,,,,第二期計画(),,,,,,
