Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,1989,,,,now,,,,,平成,,,,,box,
日本の年号,1926,,,,1988,,,,,昭和,,,,,point,
日本の年号,1912,,,,1926,,,,,大正,,,,,range,
日本の年号,1868,,,,1912,,,,,明治,,,,,background,
日本の年号,1588,,,,1867,,,,,江戸,,,,,,
科学者,1745,2,18,,1827,3,5,,,ボルタ,,,,,,
科学者,1777,4,30,,1855,2,23,,,ガウス,,,,,,
科学者,1789,3,16,,1854,7,6,,,オーム,,,,,,
巨人,1959,,,,1980,,,,,王貞治,,,,,,
巨人,1958,,,,1974,,,,,長嶋茂雄,,,,,,
,1775,,,,,,,,,,,,,,,
,1752,,,,,,,,,,,,,,,
出来事,1789,,,,,,,,,,,,,,,
出来事,1850,,,,,,,,,,,,,,,
出来事,1850,,,,,,,,,,,,,,,
出来事,1791,,,,,,,,,,,,,,,
出来事,1799,,,,,,,,,,,,,,,
出来事,1836,,,,,,,,,,,,,,,
出来事,1800,,,,,,,,,,,,,,,
出来事,1821,,,,,,,,,,,,,,,
出来事,1834,,,,,,,,,,,,,,,
出来事,1826,,,,,,,,,,,,,,,
出来事,1845,,,,,,,,,,,,,,,
出来事,1820,,,,,,,,,,,,,,,
