Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,2019,,,,now,,,,,令和,,,,,,
日本の年号,1989,,,,2019,,,,,平成,,,,,,
日本の年号,1926,,,,1988,,,,,昭和,,,,,,
子どもキャンプ,1992,,,,,,,,,月崎キャンプ場,,,,,,
子どもキャンプ,,,,,,,,,,,,,,,,
子どもキャンプ,,,,,,,,,,,,,,,,
子どもキャンプ,,,,,,,,,,,,,,,,
子どもキャンプ,,,,,,,,,,,,,,,,
子どもキャンプ,1997,,,,2001,,,,,桐の木平キャンプ場,,,,,,
子どもキャンプ,2002,,,,2006,,,,,バラギ高原キャンプ場,,,,,,
三嶋さん,1946,3,,,now,,,,,三嶋さん,,,http://www.westatic.com/img/dict/dkijt/guericke_test2.jpg,,,
こゆり,1971,4,9,,now,,,,,こゆり,,,,,,
さくちゃん,1971,12,3,,now,,,,,さくちゃん,,,,,,
ちゃぼ,1976,6,25,,now,,,,,ちゃぼ,,,,,,
ちょろ,1976,,,,now,,,,,ちょろ,,,,,,
なっぺ,1977,,,,now,,,,,なっぺ,,,,,,
βob,1977,9,2,,now,,,,,βob,,,,,,
きんこ,1978,,,,now,,,,,きんこ,,,,,,
こっち,2008,11,21,,now,,,,,こっち,,,,,,
ゆいね,2013,,,,now,,,,,ゆいね,,,,,,
さわ,2015,,,,now,,,,,さわ,,,,,,
