Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
メンバー,2018,4,1,,2019,10,31,,,岸川克己,iOS Dev,,,,,
メンバー,2016,7,26,,2020,1,31,,,中谷 翔,backend engineer,,,,,
メンバー,2017,3,1,,now,,,,,まつちゃら,backend engineer,,,,,
メンバー,2017,4,1,,2019,4,30,,,さだこえ,UI Designer,,,,,
メンバー,2019,2,18,,2020,2,28,,,加納拓也,PdM,,,,,
メンバー,2018,2,1,,2020,1,31,,,さとう,情報戦略 -> 経営管理,,,,,
メンバー,2018,7,1,,2019,7,23,,,松館大輝,iOS Dev,,,,,
メンバー,2017,5,15,,2020,1,16,,,よこな,backend engineer,,,,,
メンバー,2018,1,1,,2020,3,31,,,ken5,security,,,,,
メンバー,2018,10,1,,2020,4,30,,,takanorip,Frontend engineer,,,,,
メンバー,2018,2,1,,2019,12,30,,,tmurakami,backend engineer,,,,,
メンバー,2016,11,1,,2019,3,27,,,アスヤ,UI Designer,,,,,
メンバー,2016,8,29,,now,,,,,ふじたく,,,,,,
メンバー,2018,8,21,,2020,3,31,,,おかだ,SRE,,,,,
メンバー,2019,4,15,,2020,8,31,,,友利奈緒（tomorin）,security,,,,,
サービス,2019,4,25,,,,,,,ワンコイン投資,,https://prtimes.jp/main/html/rd/p/000000038.000022761.html,,,,
サービス,2018,11,2,,,,,,,おまかせ投資,,https://prtimes.jp/main/html/rd/p/000000020.000022761.html,,,,
サービス,2018,10,18,,,,,,,スマート投資,,https://prtimes.jp/main/html/rd/p/000000017.000022761.html,,,,
組織,2019,9,1,,,,,,,梶原代表取締役体制,,https://prtimes.jp/main/html/rd/p/000000048.000022761.html,,,,
組織,2018,1,18,,,,,,,LINE提携,,https://prtimes.jp/main/html/rd/p/000000010.000022761.html,,,,
資金調達,2018,1,18,,,,,,,70億円資金調達(シリーズA2),,https://prtimes.jp/main/html/rd/p/000000009.000022761.html,,,,
サービス,2017,11,15,,,,,,,テーマ投資一般公開,,https://prtimes.jp/main/html/rd/p/000000006.000022761.html,,,,
サービス,2019,11,5,,,,,,,eKYC,,https://prtimes.jp/main/html/rd/p/000000066.000022761.html,,,,
組織,2019,4,5,,,,,,,FOLIO HD 設立,,,,,,
組織,2018,4,13,,,,,,,FOLIO AM 設立,,,,,,
組織,2020,2,10,,,,,,,FOLIO AM 解散,,,,,,
できごと,2018,8,8,,,,,,,リブランディング,,https://prtimes.jp/main/html/rd/p/000000013.000022761.html,,,,
サービス,2020,1,15,,,,,,,FOLIO ROBOPRO,,https://prtimes.jp/main/html/rd/p/000000067.000022761.html,,,,
