Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
Marineland Ontario,1971,9,30,,1979,10,,,,★ Kandu 2 M 推定年齢11歳,"WC 米国WA '71/8, Florida Delphin Showから移動",https://orcapod.fandom.com/wiki/Category:Kandu_2,,,,
Marineland Ontario,1973,10,30,,1973,11,16,,,★ Kandy F 推定年齢7歳,WC 米国WA '73/8,https://orcapod.fandom.com/wiki/Category:Kandy,,,,
Marineland Ontario,1975,9,14,,1986,4,24,,,Knootka (Nootka） F ,"WC カナダBC '70/3, Seven Seas Texasから移動, San Diegoへ移動",https://orcapod.fandom.com/wiki/Category:Marineland_Canada%27s_History,,,,
Marineland Ontario,1975,9,18,,1987,1,9,,,Kanduke M,"WC カナダBC '75/8, Orlandoへ移動",https://orcapod.fandom.com/wiki/Category:Kanduke,,,,
Marineland Ontario,1975,6,21,,1979,6,21,,,Katina F,"WC アイスランド '78/10, Hafnarfjordur Aq.から移動, Auroraへ移動",https://orcapod.fandom.com/wiki/Category:Katina,,,,
Marineland Ontario,1979,11,30,,now,,,,,Kiska F 推定年齢43歳,"WC アイスランド '79/10, Hafnarfjordur Aq.から移動",https://orcapod.fandom.com/wiki/Category:Kiska,,,,
Marineland Ontario,1979,11,30,,1980,2,11,,,Caren F,"WC アイスランド '79/11, Hafnarfjordur Aq.から移動, 鴨川へ移動",https://orcapod.fandom.com/wiki/Category:Caren,,,,
Marineland Ontario,1979,11,30,,1985,2,16,,,Keiko M,"WC アイスランド '79/11, Harnarfjordur Aq.から移動, Reino Adventuraへ移動",https://orcapod.fandom.com/wiki/Category:Keiko,,,,
Marineland Ontario,1980,,,,1980,2,11,,,King M,"WC アイスランド '79/11, Hansapark Sierkdorfから移動, 鴨川へ移動",https://orcapod.fandom.com/wiki/Category:King,,,,
Marineland Ontario,1981,11,24,,2008,1,8,,,★ Nootka 5 F 推定年齢28歳,"WC アイスランド '81/10, Hafnarfjordur Aq.から移動",https://orcapod.fandom.com/wiki/Category:Nootka_5,,,,
Marineland Ontario,1986,11,15,,2005,12,21,,,★ Kandu 7 M 推定年齢27歳,"WC アイスランド '84/11, Hafnarfjordur Aq.から移動",https://orcapod.fandom.com/wiki/Category:Kandu_7,,,,
Marineland Ontario,1986,11,15,,1994,6,,,,★ Junior M 推定年齢11歳,"WC アイスランド '84/11, Hafnarfjordur Aq.から移動",https://orcapod.fandom.com/wiki/Category:Junior,,,,
Marineland Ontario,1989,8,15,,1992,4,17,,,Splash M,"CB, Nootka 5 × Kandu 7, San Diegoへ移動",https://orcapod.fandom.com/wiki/Category:Splash,,,,
Marineland Ontario,1992,8,24,,1992,10,25,,,★ Kiskaの子 M 2ヶ月齢,"CB, Kiska × Kandu 7",https://orcapod.fandom.com/wiki/Category:Kiska%27s_Calf_(1992),,,,
Marineland Ontario,1992,10,21,,2004,8,1,,,★ Neocia F 11歳,"CB, Nootka 5 × Kandu 7",https://orcapod.fandom.com/wiki/Category:Neocia,,,,
Marineland Ontario,1994,8,28,,1998,,,,,★ Kanuck M 4歳,"CB, Kiska × Kandu 7",https://orcapod.fandom.com/wiki/Category:Kanuck,,,,
Marineland Ontario,1996,4,21,,2000,3,4,,,★ Malik F 3歳,"CB, Nootka 5 × Kandu 7",https://orcapod.fandom.com/wiki/Category:Malik,,,,
Marineland Ontario,1996,11,6,,2001,8,20,,,★ Nova M 4歳,"CB, Kiska × Kandu 7",https://orcapod.fandom.com/wiki/Category:Nova,,,,
Marineland Ontario,1998,5,27,,1998,6,7,,,★ Nootka 5の子 F 11日齢,"CB, Nootka 5 × Kandu 7",https://orcapod.fandom.com/wiki/Category:Nootka_5%27s_Calf_(1998),,,,
Marineland Ontario,1998,9,15,,2004,10,20,,,★ Hudson M 6歳,"CB, Kiska × Kandu 7",https://orcapod.fandom.com/wiki/Category:Hudson,,,,
Marineland Ontario,1999,12,18,,2002,8,13,,,★ Algonquin M 2歳,"CB, Nootka 5 × Kandu 7",https://orcapod.fandom.com/wiki/Category:Algonquin,,,,
Marineland Ontario,2002,,,,,,,,,★ Nootka 5の子 性別不明 流産,"CB, Nootka 5 ×Kandu 7",https://orcapod.fandom.com/wiki/Category:Nootka_5%27s_Miscarriage_(2002),,,,
Marineland Ontario,2004,4,7,,2004,4,18,,,★ April F 1ヶ月齢,"CB, Nootka 5 × Kandu 7",https://orcapod.fandom.com/wiki/Category:April,,,,
Marineland Ontario,2004,7,,,2004,7,,,,★ Neociaの子 性別不明 流産,"CB, Neocia × Kandu 7   25%近親交配",https://orcapod.fandom.com/wiki/Category:Neocia%27s_Miscarriage,,,,
Marineland Ontario,2004,8,8,,2009,5,24,,,★ Athena F 4歳,"CB, Kiska × Kandu 7",https://orcapod.fandom.com/wiki/Category:Athena,,,,
Marineland Ontario,2006,5,,,,,,,,★ Nootka 5の子 性別不明 流産,"CB, Nootka 5 × Kandu 7",https://orcapod.fandom.com/wiki/Category:Nootka_5%27s_Miscarriage,,,,
Marineland Ontario,2006,11,18,,2011,11,13,,,Ikaika M,"CB Orlando, Katina × Tilikum, Orlandoから移動, Orlandoへ移動",https://orcapod.fandom.com/wiki/Category:Marineland_Canada%27s_History,,,,
