Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
年号,2019,,,,now,,,,,令和,,,,,range,
年号,1989,,,,2019,,,,,平成,,,,,range,
年号,1972,,,,1988,,,,,昭和,,,,,range,
ライフイベント,1972,3,1,,,,,,,福岡県に生まれる,,,,,point,
ライフイベント,1976,,,,1984,,,,,小学生,入間市立西武小学校,,,,range,
ライフイベント,1984,,,,1987,,,,,中学生,入間市立西武中学校,,,,range,
ライフイベント,1987,,,,1990,,,,,高校生,埼玉県立所沢北高等学校,,,,range,
ライフイベント,1991,,,,1996,,,,,大学生,中央大学経済学部,,,,,
ライフイベント,2004,,,,,,,,,結婚,,,,,,
ライフイベント,2010,,,,,,,,,長子誕生,,,,,,
ライフイベント,2013,,,,,,,,,父死去,,,,,,
ライフイベント,1996,,,,2000,,,,,ファミレスチェーン正社員,◯ョナ◯ン,,,,,
行政書士,2000,,,,,,,,,行政書士試験合格,,,,,,
行政書士,2001,6,13,,,,,,,行政書士登録,第0111289号,,,,,
行政書士,2007,,,,2013,,,,,狭山支部理事,,,,,,
行政書士,2019,,,,now,,,,,狭山支部理事,,,,,,
