Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
ライフイベント,1980,11,12,,,,,,,誕生,,https://www.imdb.com/name/nm0331516/,"https://m.media-amazon.com/images/M/MV5BMTQzMjkwNTQ2OF5BMl5BanBnXkFtZTgwNTQ4MTQ4MTE@._V1_UY317_CR18,0,214,317_AL_.jpg",,,
Filmography,2019,,,,,,,,,My Favorite Shapes by Julio Torres,"(TV Movie)
Blue Penguin (voice)",https://www.imdb.com/title/tt10624458/?ref_=nm_flmg_act_1,"https://m.media-amazon.com/images/M/MV5BYTI4YzA1NDctNzc2ZS00MTRkLWJmMjgtODExNzBhMGU5ZGU3XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_UY268_CR9,0,182,268_AL_.jpg",,,
Filmography,2018,8,31,,,,,,2018,First Man,Neil Armstrong,https://www.facebook.com/FirstManMovie/,"https://m.media-amazon.com/images/M/MV5BMDBhOTMxN2UtYjllYS00NWNiLWE1MzAtZjg3NmExODliMDQ0XkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_UX182_CR0,0,182,268_AL_.jpg",,box,
Filmography,2017,10,6,,,,,,2017,Blade Runner 2049,"""K""",https://www.facebook.com/bladerunner2049/,"https://m.media-amazon.com/images/M/MV5BNzA1Njg4NzYxOV5BMl5BanBnXkFtZTgwODk5NjU3MzI@._V1_UX182_CR0,0,182,268_AL_.jpg",,box,
Filmography,2017,3,24,,,,,,2017,Song to Song,,https://www.facebook.com/songtosongmovie/,"https://m.media-amazon.com/images/M/MV5BNzI1MTg0MzEyOF5BMl5BanBnXkFtZTgwNzk4Mjk0MTI@._V1_UX182_CR0,0,182,268_AL_.jpg",,,
Filmography,2016,9,2,,,,,,2016,La La Land,Sebastian,https://www.facebook.com/LaLaLand/,"https://m.media-amazon.com/images/M/MV5BMzUzNDM2NzM2MV5BMl5BanBnXkFtZTgwNTM3NTg4OTE@._V1_UX182_CR0,0,182,268_AL_.jpg",,box,
Filmography,2016,10,10,,,,,,2016,The Nice Guys,Holland March,https://www.facebook.com/TheNiceGuysMovie/,"https://m.media-amazon.com/images/M/MV5BODNlNmU4MGItMzQwZi00NGQyLWEyZWItYjFkNmI0NWI4NjBhXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UX182_CR0,0,182,268_AL_.jpg",,box,
Filmography,2015,11,12,,,,,,2015,The Big Short,Jared Vennett,https://www.facebook.com/TheBigShortMovie/,"https://m.media-amazon.com/images/M/MV5BNDc4MThhN2EtZjMzNC00ZDJmLThiZTgtNThlY2UxZWMzNjdkXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",,box,
Filmography,2013,5,22,,,,,,2013,Only God Forgives,Julian,,"https://m.media-amazon.com/images/M/MV5BMzE5NzcxMTk5NF5BMl5BanBnXkFtZTcwNjE2MDg2OQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",,box,
Filmography,2013,1,7,,,,,,2013,Gangster Squad,Sgt. Jerry Wooters,https://www.facebook.com/GangsterSquad,"https://m.media-amazon.com/images/M/MV5BMTcwMjAyMTUzMl5BMl5BanBnXkFtZTcwODgxNzk1OA@@._V1_UX182_CR0,0,182,268_AL_.jpg",,box,
Filmography,2012,9,7,,,,,,2012,The Place Beyond the Pines,Luke,https://www.facebook.com/ThePlaceBeyondThePinesMovie,"https://m.media-amazon.com/images/M/MV5BMjc1OTEwNjU4N15BMl5BanBnXkFtZTcwNzUzNDIwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",,,
