Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
5Gスマホ,2020,6,,,now,,,,,データMAX 5G ALL STARパック,,https://news.kddi.com/kddi/corporate/newsrelease/2020/03/23/4328.html,,,range,
5Gスマホ,2020,3,,,now,,,,,データMAX 5G,,https://www.au.com/mobile/charge/smartphone/plan/5g-data-max/,,,range,
5Gスマホ,2020,3,,,now,,,,,データMAX 5G Netflixパック,,https://www.au.com/mobile/charge/smartphone/plan/5g-max-netflix/,,,range,
5Gスマホ,2020,3,,,now,,,,,ピタットプラン 5G,,ttps://www.au.com/mobile/charge/smartphone/plan/5g-pitatto/,,,range,
４Gスマホ,2019,9,,,now,,,,,auデータMAXプラン Netflixパック,,https://www.au.com/mobile/charge/smartphone/plan/max-netflix/,,,range,
４Gスマホ,2019,10,,,2020,6,,,,auデータMAXプラン Pro,,https://www.au.com/mobile/charge/smartphone/plan/data-max-pro/,,,range,
４Gスマホ,2019,10,,,2020,6,,,,auフラットプラン25 NetflixパックN,,https://www.au.com/mobile/charge/smartphone/plan/flat25-netflix-n/,,,range,
４Gスマホ,2019,10,,,2020,6,,,,auフラットプラン20N,,https://www.au.com/mobile/charge/smartphone/plan/flat20-n/,,,range,
４Gスマホ,2019,10,,,2020,6,,,,auフラットプラン7プラスN,,https://www.au.com/mobile/charge/smartphone/plan/flat7-plus-n/,,,range,
４Gスマホ,2019,10,,,now,,,,,ピタットプラン 4G LTE,,https://www.au.com/mobile/charge/smartphone/plan/new-pitatto-n/,,,range,
４Gスマホ,2014,7,,,2015,8,,,,電話カケ放題プラン(CP),,https://www.au.com/mobile/charge/application-ended/kakehodai-plan-cp/,,,range,
４Gスマホ,2019,6,,,now,,,,,通話定額/通話定額ライト,,https://www.au.com/mobile/charge/smartphone/plan/calling-option/,,,,
４Gスマホ,2014,7,,,2019,8,,,,カケホ,,https://www.au.com/mobile/charge/application-ended/kakeho/,,,range,
４Gスマホ,2015,9,,,2019,8,,,,スーパーカケホ,,https://www.au.com/mobile/charge/application-ended/junior-smartphone/,,,range,
４Gスマホ,2017,7,,,2019,9,,,,auフラットプラン20,,https://www.au.com/mobile/charge/application-ended/flat20/,,,range,
４Gスマホ,2017,7,,,2019,6,,,,auフラットプラン30,,https://www.au.com/mobile/charge/application-ended/flat30/,,,range,
４Gスマホ,2017,7,,,2019,6,,,,auピタットプラン,,https://www.au.com/mobile/charge/application-ended/pitatto/,,,range,
４Gスマホ,2018,8,,,2019,9,,,,auフラットプラン25 Netflixパック,,https://www.au.com/mobile/charge/application-ended/flat25-netflix/,,,range,
４Gスマホ,2019,6,,,2019,9,,,,新auピタットプラン,,https://www.au.com/mobile/charge/application-ended/new-pitatto/,,,range,
４Gスマホ,2019,6,,,2019,9,,,,auフラットプラン7プラス,,https://www.au.com/mobile/charge/application-ended/flat7-plus/,,,range,
４Gスマホ,2019,7,,,2019,9,,,,auデータMAXプラン,,https://www.au.com/mobile/charge/application-ended/data-max/,,,range,
４Gスマホ,2016,3,,,2019,8,,,,データ定額1,,https://www.au.com/mobile/charge/application-ended/data-teigaku/,,,range,
４Gスマホ,2014,8,,,2019,8,,,,データ定額2／3／5／8／10／13,,https://www.au.com/mobile/charge/application-ended/data-teigaku/,,,range,
４Gスマホ,2016,9,,,2019,8,,,,データ定額20／30,,https://www.au.com/mobile/charge/application-ended/data-teigaku/,,,range,
４Gスマホ,2012,9,,,2019,8,,,,LTEプラン,,https://www.au.com/mobile/charge/application-ended/lte/,,,range,
４Gスマホ,2017,9,,,2019,8,,,,スーパーカケホ(a)＋データ定額,,https://www.au.com/mobile/charge/application-ended/super-plan-a/,,,range,
4Gケータイ,2019,12,,,now,,,,,ケータイカケホプラン,,https://www.au.com/mobile/charge/4glte-featurephone/plan/k-kakeho/,,,range,
4Gケータイ,2019,12,,,now,,,,,ケータイシンプルプラン,,https://www.au.com/mobile/charge/4glte-featurephone/plan/k-simple/,,,range,
4Gケータイ,2019,12,,,now,,,,,VKプランM,,https://www.au.com/mobile/charge/4glte-featurephone/plan/vk-plan-m-n/,,,range,
4Gケータイ,2019,12,,,now,,,,,VKプランS,,https://www.au.com/mobile/charge/4glte-featurephone/plan/vk-plan-s-n/,,,range,
4Gケータイ,2017,5,,,2017,7,,,,データ定額1cp/3cp/5cp,,https://www.au.com/mobile/charge/application-ended/data-teigaku-135cp/,,,range,
4Gケータイ,2016,10,,,2017,5,,,,データ定額1cp (auスマホ始めるプログラム専用プラン）,,https://www.au.com/mobile/charge/application-ended/data-teigaku-1cp/,,,range,
4Gケータイ,2016,6,,,2016,8,,,,データ定額cp(0.8GB),,https://www.au.com/mobile/charge/application-ended/data-teigaku-cp/,,,range,
4Gケータイ,2015,7,,,2016,6,,,,LTEフラット cp(1GB),,https://www.au.com/mobile/charge/application-ended/lte-flat-cp/,,,range,
3Gスマホ・ケータイ,2014,8,,,2022,3,,,,カケホ（3Gケータイ）,,https://www.au.com/mobile/charge/featurephone/plan/kakeho-k/,,,range,
3Gスマホ・ケータイ,2014,8,,,2022,3,,,,カケホ・データ付き,,https://www.au.com/mobile/charge/featurephone/plan/kakeho-k-data/,,,range,
3Gスマホ・ケータイ,2011,9,,,2022,3,,,,プランＺシンプル,,https://www.au.com/mobile/charge/smartphone/plan/plan-z/,,,range,
3Gスマホ・ケータイ,2008,6,,,2022,3,,,,プランSSシンプル,,https://www.au.com/mobile/charge/smartphone/plan/plan-ss/,,,range,
3Gスマホ・ケータイ,2009,11,,,2022,3,,,,プランEシンプル,,https://www.au.com/mobile/charge/smartphone/plan/plan-e/,,,range,
3Gスマホ・ケータイ,2008,6,,,2022,3,,,,プランSシンプル,,https://www.au.com/mobile/charge/smartphone/plan/plan-s/,,,range,
3Gスマホ,2010,11,,,2022,3,,,,ISフラット,,https://www.au.com/mobile/charge/smartphone/plan/is-flat/,,,range,
3Gスマホ・ケータイ,2009,8,,,2022,3,,,,ダブル定額スーパーライト,,https://www.au.com/mobile/charge/smartphone/plan/double-teigaku-super/,,,range,
3Gスマホ・ケータイ,2008,6,,,2015,9,,,,シンプルコース用料金プラン,,https://www.au.com/mobile/charge/application-ended/simple-plan/,,,range,
3Gスマホ・ケータイ,2011,9,,,2015,9,,,,プランW(無料国際通話付料金プラン),,https://www.au.com/mobile/charge/application-ended/plan-w/,,,range,
ケータイ,2016,11,,,2019,12,,,,スーパーカケホ（ケータイ）,,https://www.au.com/mobile/charge/application-ended/s-kakeho-k/,,,range,
ケータイ,2015,7,,,2019,12,,,,VKプランS,,https://www.au.com/mobile/charge/application-ended/vk-plan-s/,,,range,
ケータイ,2015,7,,,2019,12,,,,VKプラン,,https://www.au.com/mobile/charge/application-ended/vk-plan-s/,,,range,
ケータイ,2015,7,,,2019,12,,,,VK プランM,,https://www.au.com/mobile/charge/application-ended/vk-plan-m/,,,range,
ケータイ,2015,7,,,2019,12,,,,LTEプランS,,https://www.au.com/mobile/charge/application-ended/lte-s/,,,range,
ケータイ,2007,11,,,2011,9,,,,フルサポートコース,,https://www.au.com/mobile/charge/application-ended/full-support/,,,range,
タブレット,2019,11,,,now,,,,,タブレットデータシェアプラン,,https://www.au.com/mobile/charge/tablet/plan/tablet-data-share/,,,range,
タブレット,2019,11,,,now,,,,,タブレットプラン20,,https://www.au.com/mobile/charge/tablet/plan/tablet-plan20/,,,range,
タブレット,2014,11,,,now,,,,,LTEデータプリペイド,,https://www.au.com/mobile/charge/tablet/plan/data-prepaid/,,,range,
タブレット,2015,12,,,2019,10,,,,タブレットプラン ds(3年契約),,https://www.au.com/mobile/charge/application-ended/tablet-plan-ds3/,,,range,
タブレット,2015,12,,,2019,10,,,,タブレットプラン ds(2年契約),,https://www.au.com/mobile/charge/application-ended/tablet-plan-ds2/,,,range,
タブレット,2012,12,,,2019,10,,,,LTEフラット for Tab／Tab(i)／Tab(L),,https://www.au.com/mobile/charge/application-ended/lte-flat-tablet/,,,range,
タブレット,2017,4,,,2019,9,,,,タブレットプランcp,,https://www.au.com/mobile/charge/application-ended/tablet-plan-cp3/,,,range,
データ端末,2019,12,,,now,,,,,モバイルルータープラン,,https://www.au.com/mobile/charge/data/plan/mobile-router/,,,range,
データ端末,2019,12,,,now,,,,,ホームルータープラン,,https://www.au.com/mobile/charge/data/plan/home-router/,,,range,
データ端末,2011,11,,,2022,3,,,,WINシングルフラットWiMAX（シンプル）,,https://www.au.com/mobile/charge/data/plan/win-single-flat/,,,range,
データ端末,2007,12,,,2022,3,,,,PacketWINシングル定額,,https://www.au.com/mobile/charge/data/plan/packet-win-single/,,,range,
データ端末,2015,2,,,2019,12,,,,WiMAX 2+ フラット for DATA EX,,https://www.au.com/mobile/charge/application-ended/wimax2-flat-data-ex/,,,range,
データ端末,2013,10,,,2019,12,,,,WiMAX 2+ フラット for DATA,,https://www.au.com/mobile/charge/application-ended/wimax2-flat-for-data/,,,range,
データ端末,,,,,2019,12,,,,WiMAX 2+ フラット for HOME,,https://www.au.com/mobile/charge/application-ended/wimax2-flat-home/,,,range,
データ端末,2011,12,,,2015,9,,,,WINシングルフラットWiMAX (シンプル),,https://www.au.com/mobile/charge/application-ended/win-single-teigaku/,,,range,
ジュニア,2019,12,,,now,,,,,ジュニアケータイプランN,,https://www.au.com/mobile/charge/juniorphone-n/,,,range,
モバイルPC,2013,10,,,2019,12,,,,LTEフラット for DATA(m),,https://www.au.com/mobile/charge/application-ended/multidevice/,,,range,
モバイルPC,2013,10,,,2019,12,,,,LTEフラット for DATA(m)ds,,https://www.au.com/mobile/charge/application-ended/multidevice-ds/,,,range,
ジュニア,2018,2,,,2019,12,,,,ジュニアケータイプラン,,https://www.au.com/mobile/charge/application-ended/juniorphone/,,,range,
ジュニア,2015,1,,,2019,9,,,,ジュニアスマートフォンプラン,,https://www.au.com/mobile/charge/application-ended/junior-smartphone/,,,range,
mamorino Watch,2019,12,,,now,,,,,mamorino WatchプランN,,https://www.au.com/mobile/charge/mamorino_watch-n/,,,range,
mamorino Watch,2016,3,,,2019,12,,,,mamorino Watchプラン,,https://www.au.com/mobile/charge/application-ended/mamorino_watch/,,,range,
シニア,2015,2,,,2018,1,,,,シニアプラン,,https://www.au.com/mobile/charge/application-ended/senior-plan/,,,range,
biblio Leaf,2010,12,,,2016,4,,,,biblio Leaf料金プラン,,https://www.au.com/mobile/charge/application-ended/biblio-leaf/,,,range,
Qua Station,2017,4,,,now,,,,,Qua stationプラン ds,,https://www.au.com/mobile/charge/qua-station-plan-ds/,,,range,
あんしんGPS,2013,12,,,2022,3,,,,あんしんGPSプラン,,https://www.au.com/mobile/charge/gps/,,,range,
デジタルフォトフレーム,2013,12,,,2022,3,,,,PHOTO-U TVプラン,,https://www.au.com/mobile/charge/photoframe/photo-u-tv/,,,range,
CAR NAVITIME,2010,8,,,2015,8,,,,WNDプラン,,https://www.au.com/mobile/charge/application-ended/car-navitime/,,,range,
