Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
アドベン,1978,4,15,,1980,6,,,,"★ キアヌ（Kianu）, F, WC, 推定年齢20歳 *A1","カナダBC '68/4, Marine World California/Vallejo (1998年閉業）から移動",https://orcapod.fandom.com/wiki/Category:Kianu,,,,
アドベン,1979,2,,,1979,3,,,,"★ no name adult pregnant, F, WC *A2","太地 '79/2, 搬入後流産",http://www.jca.apc.org/~orca/data.html,,,,
アドベン,1979,3,,,,,,,,"★ A2の子, 性別不明, WB, 死産 *A3",,https://orcapod.fandom.com/wiki/Category:Unknown_Stillborn_(1979),,,,
アドベン,1979,2,,,1979,4,,,,"★ no name adult, F, WC *A4",太地 '79/2,http://www.jca.apc.org/~orca/data.html,,,,
アドベン,1979,2,,,1989,1,,,,★ ベンケイ M 推定年齢17歳 *A5,太地 '79/2,https://orcapod.fandom.com/wiki/Category:Benkei,,,,
アドベン,1980,10,,,1983,7,,,,"★ ウシワカ（Benkei 2）, M, WC, 推定年齢3歳 *A6","アイスランド '80/10, Hafnarfjordur Aq. → カナダ・Vancouver Aquariumから移動",https://orcapod.fandom.com/wiki/Category:Benkei_2,,,,
アドベン,1981,10,,,2000,3,10,,,"★ ルカ, F, WC, 推定20歳 *A7","アイスランド '81/10, ドイツ・Tierpark Hagenbeckから移動",https://orcapod.fandom.com/wiki/Category:Ruka,,,,
アドベン,1985,10,,,2005,1,21,,,"★ ゴロー, M, WC, 推定20歳 *A8",太地 '85/10,https://orcapod.fandom.com/wiki/Category:Goro,,,,
アドベン,1989,10,,,1995,8,25,,,"★ アイ, F, WC, 推定7歳 *A9","アイスランド '89/10, Hafnarfjordur Aq.から移動",https://orcapod.fandom.com/wiki/Category:Ai,,,,
アドベン,1989,10,,,2004,8,29,,,"★ ラン, F, WC 推定17歳 *A10","アイスランド '89/10, Hafnarfjordur Aq.から移動",https://orcapod.fandom.com/wiki/Category:Ran,,,,
アドベン,1997,2,,,1997,6,14,,,"★ no name, M, WC *A11",太地 '97/2,http://www.jca.apc.org/~orca/data.html,,,,
アドベン,1997,2,,,1997,6,17,,,"★ no name adult pregnant, F, WC *A12","太地 '97/2, 飼育下で流産",http://www.jca.apc.org/~orca/data.html,,,,
