Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
インシデント,2019,1,19,,,,,,,ホスティングサービスに不正アクセス、約5000サイトが改ざん - 利用者CMS経由でOS侵害,"大塚商会のホスティングサービスが不正アクセスを受け、約5000件にのぼる利用者のウェブサイトに不正なファイルが設置されたことがわかった。すでに問題のファイルは削除されており、情報漏洩なども発生していないという。

不正アクセスを受けたのは、同社が提供している「アルファメール」および「アルファメールダイレクト」のウェブホスティングサービス。
http://www.security-next.com/101950",https://www.alpha-mail.jp/new/service/2019/0123_8402.html,,,,
インシデント,2019,1,23,,,,,,,宅ふぁいる便がサーバーへの不正アクセスで停止,"インターネット上で、メールでは送りにくい大型のファイルを無料で転送するサービス「宅ふぁいる便」は25日までに、一部サーバーに対する不正アクセスの可能性が確認されたため、23日午前10時50分頃からサービスを停止していると発表した。
https://www.nikkansports.com/general/nikkan/news/201901250000238.html",https://www.filesend.to/index0125.html,,,,
インシデント,2019,1,23,,2019,1,31,,,造幣局オンラインショップ保有個人情報の漏洩について,"他人の注文履歴が確認できる状態。と外部から連絡を受けて1/23 - 1/28において個人情報が閲覧可能な状態であった。
https://www.mint.go.jp/WP_Vjp4V33Q/wp-content/uploads/2019/01/20190131.pdf",https://www.mint.go.jp/WP_Vjp4V33Q/wp-content/uploads/2019/01/20190131.pdf,,,,
インシデント,2019,1,28,,2019,1,31,,,質問箱のPeingに脆弱性　ユーザーのTwitterトークンが“丸見え”,"Peing-質問箱-において、第三者のAPIトークンを用いて該当アカウントの情報にアクセスできる事象が確認された。
http://www.itmedia.co.jp/news/articles/1901/29/news117.html",https://jiraffe.co.jp/news/2019/01/29/1295/,,,,
インシデント,2019,1,30,,,,,,,一部の社外協力者の個人情報流出の可能性に関するお知らせとお詫び（ユニクロ）,"商品開発や販売促進にご協力いただいている国内外の社外協力者の個人情報を管理するWebサイトのURL、ユーザーIDおよびパスワードがインターネット上に公開され、上記協力者の一部である804名（日本448名、海外356名）の個人情報が流出した可能性があることを、2019年1月15日に確認。
https://www.uniqlo.com/jp/corp/pressrelease/2019/01/19013008_uq.html",https://www.uniqlo.com/jp/corp/pressrelease/2019/01/19013008_uq.html,,,,
インシデント,2019,1,31,,,,,,,HIV感染者1万4200人の個人情報漏えい、シンガポール,"【1月29日 AFP】シンガポールでエイズウイルス（HIV）感染者1万4200人の個人情報が盗まれ、オンラインで漏えいしていたことが分かった。シンガポール当局が28日、明らかにした。
http://www.afpbb.com/articles/-/3208581",,,,,
インシデント,2019,2,12,,,,,,,「バニーファミリー横浜ネットショップ」に不正アクセス、カード情報が流出の可能性（B.F.Yokohama）,"株式会社B.F.Yokohamaは2月12日、同社が運営するうさぎ雑貨や飼育用品を扱う「バニーファミリー横浜ネットショップ」にて外部からの不正アクセスがあり一部の顧客のクレジットカード情報が流出した可能性が判明したと発表した。
https://scan.netsecurity.ne.jp/article/2019/02/18/41975.html",,,,,
インシデント,2019,2,14,,,,,,,「ポンタ」不正利用疑い 警視庁、中国籍男を逮捕,"不正アクセスで抜き取られた日本航空（JAL）のマイルから交換された共通ポイント「Ponta（ポンタ）」を使ってタブレット端末などをだまし取ったとして、警視庁サイバー犯罪対策課は14日までに、中国籍の自称会社役員、尹三川容疑者（25）=東京都小金井市東町=を詐欺容疑で逮捕した。
https://r.nikkei.com/article/DGKKZO41250720U9A210C1CC0000",https://piyolog.hatenadiary.jp/entry/2019/02/15/064840,,,,
インシデント,2019,2,6,,,,,,,"「セシールオンラインショップ」への
“なりすまし”による不正アクセスについて","社通販サイト「セシールオンラインショップ」において、外部で不正に取得されたと思われる ID
（メールアドレス）・パスワードを使った“なりすまし”による不正アクセスが以下の通り発生し、第三者に
よってお客様情報が閲覧された可能性があることが判明しました。",https://www.dinos-cecile.co.jp/whatsnew/pdf/topics_20190206.pdf,,,,
インシデント,2019,2,7,,,,,,,福岡県警、サイバー攻撃被害一部業務に支障,"福岡県警が利用するサーバーが、世界各国で多発した身代金要求型ウイルス「ランサムウエア」の攻撃に遭い、一部業務に支障が出たことが7日、捜査関係者への取材で分かった。個人情報の流出は確認されていない。
https://this.kiji.is/466073966775370849",https://piyolog.hatenadiary.jp/entry/2019/02/08/043308,,,,
インシデント,2019,2,15,,,,,,,しまぽ通貨の不正利用について,"東京都及び東京観光財団は、島しょ地域のＰＲ及び旅行者の島しょ地域へ誘客を図るため、
平成２９年１０月２日から島しょ地域で宿泊や買物等に利用可能なプレミアム付き宿泊旅行
商品券（しまぽ通貨）を販売しています。
上記通貨の利用について、以下のとおり不正の事実が確認されたので、お知らせします。
https://tcvb.or.jp/jp/news/chiiki_h30shimapo_press.pdf",https://tcvb.or.jp/jp/news/chiiki_h30shimapo_press.pdf,,,,
インシデント,2019,2,18,,,,,,,ネットバンクへ不正アクセス、総額1億8千万円を不正送金か,"警視庁は2019年2月16日までに、不正アクセスにより奪われた現金を引き出すなどした疑いで、中国人の容疑者を逮捕したと明らかにしました。

情報によると容疑者は2018年8月に不正アクセスを行い他人名義の口座にログイン。およそ33万円の現金を不正送金した疑いがあるとのこと。同容疑者はグループとして活動し、これまで同様の手口で約70件の口座から、およそ1億8,000万円の不正送金を手掛けたものと見られています。
https://cybersecurity-jp.com/news/29969",,,,,
