Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,1989,,,,now,,,,,平成,,,,,,
日本の年号,1926,,,,1988,,,,,昭和,,,,,,
日本の年号,1912,,,,1926,,,,,大正,,,,,,
日本の年号,1868,,,,1912,,,,,明治,,,,,,
日本の年号,1588,,,,1867,,,,,江戸,,,,,,
科学者,1745,2,18,,1827,3,5,,,ボルタ,,,,,,
科学者,1777,4,30,,1855,2,23,,,ガウス,,,,,,
科学者,1789,3,16,,1854,7,6,,,オーム,,,,,,
出来事,,,,,,,,,,,,,http://www.westatic.com/img/dict/dkijt/guericke_test2.jpg,,,
出来事,,,,,,,,,,,,,,,,
出来事,,,,,,,,,,,,,,,,
出来事,,,,,,,,,,,,,,,,
出来事,,,,,,,,,,,,,,,,
出来事,,,,,,,,,,,,,,,,
出来事,,,,,,,,,,,,,,,,
出来事,,,,,,,,,,,,,,,,
出来事,,,,,,,,,,,,,,,,
出来事,,,,,,,,,,,,,,,,
出来事,,,,,,,,,,,,,,,,
出来事,,,,,,,,,,,,,,,,
出来事,,,,,,,,,,,,,,,,
出来事,,,,,,,,,,,,,,,,
出来事,,,,,,,,,,,,,,,,
出来事,,,,,,,,,,,,,,,,
