Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
江戸時代,1603,3,24,,1868,10,23,,,江戸時代,,,,,,
明治,1868,10,23,,1912,7,30,,,明治,,,,,,
大正,1912,7,30,,1926,12,25,,,大正,,,,,,
昭和,1926,12,25,,1988,1,7,,,昭和,,,,,,
平成,1989,1,8,,2019,4,30,,,平成,,,,,,
令和,2019,5,1,,now,,,,,令和,,,,,,
出来事,1867,11,9,,,,,,,大政奉還,,,,,,
出来事,1894,7,25,,1895,4,17,,,日清戦争,,,,,,
出来事,1904,2,8,,1905,9,5,,,日露戦争,,,,,,
出来事,1941,12,7,,1945,8,15,,,大東亜戦争,,,,,,
出来事,1951,9,8,,,,,,,サンフランシスコ講和条約調印,,,,,,
出来事,1955,11,15,,,,,,,自由民主党が結党（55年体制）,,,,,,
出来事,1965,6,22,,,,,,,日韓基本条約調印,,,,,,
出来事,1972,12,25,,,,,,,沖縄県が日本に復帰,,,,,,
出来事,1978,8,12,,,,,,,日中平和友好条約,,,,,,
出来事,1989,11,9,,,,,,,ベルリンの壁崩壊,,,,,,
出来事,1991,12,25,,,,,,,ソ連崩壊,,,,,,
出来事,1995,1,17,,,,,,,阪神・淡路大震災,,,,,,
出来事,1995,3,20,,,,,,,地下鉄サリン事件,,,,,,
出来事,1996,1,27,,,,,,,維新政党新風東京都本部が発足,,,,,,
出来事,2001,9,11,,,,,,,アメリカ同時多発テロ事件,,,,,,
出来事,2009,4,11,,,,,,,党声明「民族差別を許さない」の発表,,,,,,
出来事,2011,3,11,,,,,,,東日本大震災,,,,,,
出来事,2012,6,19,,,,,,,在韓国日本大使館前にある売春婦像に「竹島の碑」,,,,,,
出来事,2017,11,13,,,,,,,鈴木代表初当選,,,,,,
出来事,2017,12,17,,,,,,,日本国民党へ改称,,,,,,
出来事,2029,,,,,,,,,令和10年,,,,,,
著名人,1828,1,23,,1877,9,24,,,西郷 隆盛,,,,,,
著名人,1830,9,20,,1859,11,21,,,吉田 松陰,,,,,,
著名人,1839,9,27,,1867,5,17,,,高杉 晋作,,,,,,
著名人,1945,7,25,,1970,11,25,,,森田 必勝,,,,,,
著名人,1951,3,21,,now,,,,,蜷川 正大,,,,,,
著名人,1855,5,27,,1944,10,5,,,頭山 満,,,,,,
著名人,1860,1,31,,1889,10,18,,,来島 恒喜,,,,,,
著名人,1861,12,14,,1939,11,17,,,田中 智學,,,,,,
著名人,1874,2,11,,1937,7,26,,,内田 良平,,,,,,
著名人,1900,5,25,,1937,9,14,,,杉本 五郎,,,,,,
著名人,1925,1,14,,1970,11,25,,,三島 由紀夫,,,,,,
著名人,1893,11,22,,1985,6,17,,,谷口 雅春,,,,,,
著名人,1899,1,15,,1990,2,6,,,赤尾 敏,,,,,,
著名人,1910,6,12,,1979,5,25,,,影山 正治,,,,,,
著名人,1935,2,14,,1993,10,20,,,野村 秋介,,,,,,
著名人,1943,2,22,,1960,11,2,,,山口 二矢,,,,,,
日本国民党,1904,5,28,,2001,11,15,,,草地 貞吾,,,,,,
日本国民党,1916,,,,2014,9,22,,,桑木 崇秀,,,,,,
日本国民党,1919,10,28,,2000,2,22,,,山崎 幸一郎,,,,,,
日本国民党,1946,8,30,,1999,10,11,,,阿部 勉,,,,,,
日本国民党,1949,2,24,,2008,6,17,,,松村 久義,,,,,,
日本国民党,1934,,,,2018,4,29,,,大平 光洋,生年月日不明,,,,,
日本国民党,1949,12,1,,now,,,,,池田 久義,,,,,,
日本国民党,1951,3,9,,now,,,,,村田 春樹,,,,,,
日本国民党,1954,8,11,,now,,,,,柘植 雅二,,,,,,
日本国民党,1964,,,,now,,,,,澤田 健一,,,,,,
日本国民党,1965,8,5,,now,,,,,鈴木 信行,,,,,,
日本国民党,1965,9,9,,now,,,,,荒木 紫帆,,,,,,
日本国民党,1972,3,22,,now,,,,,太田 太,,,,,,
日本国民党,1971,7,3,,now,,,,,川東 大了,,,,,,
日本国民党,1971,11,5,,now,,,,,赤坂 大輔,,,,,,
日本国民党,,,,,now,,,,,須田 勝,,,,,,
日本国民党,,,,,now,,,,,小林 芳夫,,,,,,
日本国民党,,,,,now,,,,,寺武 清重,,,,,,
日本国民党,1985,8,27,,now,,,,,金友 隆幸,,,,,,
日本国民党,1987,5,11,,now,,,,,高橋 健二,,,,,,
日本国民党,1990,6,13,,now,,,,,山本 和幸,,,,,,
日本国民党,1998,8,6,,now,,,,,九十九 晃,,,,,,
維新政党・新風,1948,1,30,,now,,,,,魚谷 哲央,,,,,,
維新政党・新風,1941,2,5,,now,,,,,川久保 勲,,,,,,
維新政党・新風,1947,1,12,,now,,,,,溝口 敏盛,,,,,,
維新政党・新風,1949,,,,now,,,,,馬場 能久,,,,,,
維新政党・新風,1952,3,3,,now,,,,,瀨戸 弘幸,,,,,,
維新政党・新風,1974,,,,now,,,,,有門 大輔,,,,,,
維新政党・新風,1980,11,24,,now,,,,,角田 晶生,,,,,,
維新政党・新風,1982,4,4,,now,,,,,本山 貴春,,,,,,
維新政党・新風,1964,2,,,now,,,,,児玉 一成,,,,,,
NHKから国民を守る党,1967,8,15,,now,,,,,立花 孝志,,,,,,
日本第一党,1972,2,15,,now,,,,,桜井 誠,,,,,,
日本第一党,1975,4,29,,now,,,,,堀切 笹美,,,,,,
自由民主党,1883,1,1,,1959,3,7,,,鳩山 一郎,,,,,,
自由民主党,1896,11,13,,1987,8,7,,,岸 信介,,,,,,
自由民主党,1918,5,4,,1993,12,16,,,田中 角栄,,,,,,
自由民主党,1918,5,27,,now,,,,,中曽根 康弘,,,,,,
自由民主党,1942,1,8,,now,,,,,小泉 純一郎,,,,,,
自由民主党,1940,9,20,,now,,,,,麻生 太郎,,,,,,
自由民主党,1954,9,21,,now,,,,,安倍晋三,,,,,,
自由民主党,1981,4,14,,now,,,,,小泉 進次郎,,,,,,
