1254,ランダム番号,年号補助,和暦,人物２,人物３,人物,抽出ワード,歴史カード,Timestamp,項目,メモ,本
,1254,-60000,,,出アフリカ,,,,,,,
,1739,-2100,頃,,ウル・ナンム法典,,,,,,,
,1740,-1750,頃,,ハムラビ法典,,,ローマ,,,,
,1818,-1346,,,エジプト　アクエンアテンの改革,一神教信仰,,エジプト,,,,
,584,-1325,,,ツタンカーメンの死,,,アフリカ,,,,
,1,-1286,,,カデシュの戦い,,,中東,,,,
,2,-1137,,,周の文王　天命,,,中国　東アジア,,,,
,795,-1046,or-1027,,牧野の戦い,,,中国,,,,
,3,-928,,,ソロモン王の死,イスラエル王国分裂,,中東,,,,
,4,-770,,,春秋時代の始まり,,,中国　アジア,,,,
,1743,-753,,,ロムルス王によるローマ建国,,,ローマ,,,,
,5,-720,,,イスラエル王国滅亡,アッシリア帝国に,,中東,,,,
,6,-627,,,アッシュハンニバルの死,アッシリア帝国,,中東,,,,
,7,-621,,,申命記の写本発見,ヤハヴァ神殿修復,ヨシヤ王,ユダヤ教　宗教　中東,,,,
,8,-612,,,アッシリア帝国滅亡,,,中東,,,,
,9,-586,,,バビロン捕囚（～538）,,,中東,,,,
,10,-550,,,アケメネス朝ペルシア帝国建国,キュロス２世,,中東,,,,
,1744,-509,,,元老院がタルクィニウス王を追放,共和政へ,,ローマ,,,,
,1762,-508,,,ギリシャのクレイステネスの改革,,,ギリシャ,,,,
,1745,-494,,,聖山事件,,,ローマ,,,,
,1746,-494,,,護民官の設置,,,ローマ,,,,
,1738,-450,,,十二表法,,,ローマ,,,,
,1763,-445,,,ローマで貴族と平民の通婚権,,,ローマ,,,,
,1727,-412,,,悲劇「ヘレネー」上演,,エウリーピデース,文化,,,,
,1728,-406,,,悲劇「バッカイ」上演,,エウリーピデース,文化,,,,
,11,-386,,,アリア河畔の会戦,ケルトの一派がローマ軍を破る,,ローマ,,,,
,1747,-367,,,リキニウス・セクスティウス法,執政官の１人を平民,,ローマ,,,,
,12,-330,,,アケメネス朝ペルシア帝国滅亡,アレクサンドロス大王に,,中東　ギリシャ,,,,
,13,-322,,,アリストテレス　死,,,ギリシャ,,,,
,1748,-312,,,アッピア街道の敷設開始,,,ローマ,,,,
,1749,-287,,,ホルテンシウス法,平民会の決議がローマ全体で有効,,ローマ,,,,
,1750,-280,～-275,,ピュロス戦争,,,ローマ,,,,
,1751,-272,,,ローマによるイタリア半島統一,,,ローマ,,,,
,1752,-264,～-241,,第１次ポエニ戦争,,,ローマ,,,,
,1817,-264,,,ローマの最初の剣闘士試合,,,ローマ,,,,
,1870,-260,ごろ,,アショーカ王碑文,,,イギリス　インド,,,,
,1753,-218,～-201,,第２次ポエニ戦争,,,ローマ,,,,
,1754,-216,,,カンナエの戦い,,,ローマ,,,,
,1755,-214,～-205,,第１次マケドニア戦争,,,ローマ,,,,
,1756,-202,,,ザマの戦い,,,ローマ,,,,
,14,-200,,,漢と匈奴の最初の衝突,,,中国　アジア,,,,
,1757,-200,～-197,,第２次マケドニア戦争,,,ローマ,,,,
,1758,-171,～-168,,第３次マケドニア戦争,,,ローマ,,,,
,1759,-149,～-146,,第３次ポエニ戦争,,,ローマ,,,,
,1760,-149,～-148,,第４次マケドニア戦争,,,ローマ,,,,
,1761,-146,,,カルタゴ滅亡　マケドニアがローマの属州,ローマの地中海制覇,,ローマ,,,,
,779,-140,,,世界最初の元号,建元,武帝,中国,,,,
,15,-136,,,「五経博士を置く」,儒教の公認,,アジア　中国,,,,
,1764,-135,～-132,,第１次奴隷戦争,,,ローマ,,,,
,1765,-133,,,ティベリウス・グラックスの改革,,,ローマ,,,,
,1766,-123,,,ガイウス・グラックスの改革,,,ローマ,,,,
,1767,-107,,,マリウスの軍制改革,,,ローマ,,,,
,16,-104,,,司馬遷、史記を書き始める,,,アジア　中国,,,,
,1768,-104,～-100,,第２次奴隷戦争,,,ローマ,,,,
,1769,-91,～-88,,同盟市戦争,,,ローマ,,,,
,1770,-88,,,全自由民にローマ市民権,,,ローマ,,,,
,1771,-73,～-71,,第３次奴隷戦争（スパルタクスの反乱）,,,ローマ,,,,
,1772,-60,,,第１回三頭政治,,,ローマ,,,,
,686,-55,-54,,カエサルのブリテン島遠征,,,イギリス　ローマ,,,,
,662,-50,,,（倭勢力の新羅出兵）,「新羅本紀」,,朝鮮半島　アジア　日本,,,,
,1773,-49,,,カエサル、ルビコン川を渡る,,,ローマ,,,,
,1482,-45,,,ユリウス歴（ローマ歴から改歴）,,,ヨーロッパ　文化　ローマ,,,,
,1775,-44,,,カエサル暗殺,,,ローマ,,,,
,1776,-43,,,第２回三頭政治,,,ローマ,,,,
,1777,-30,,,アントニウスとクレオパトラが自殺,,,ローマ,,,,
,1778,-27,,,アウグストゥスの尊称,,,ローマ,,,,
,1779,6,,,ユダヤがローマの属州に,,,ローマ,,,,
,1730,8,,,「変身物語」,,オウィディウス,文化,,,,
,17,9,,,トイトブルクの戦い,ローマがゲルマン人に敗れる,アルミニウス,ローマ　ゲルマン,,,,
,663,14,,,（倭勢力の新羅出兵）,「新羅本紀」,,朝鮮半島　アジア　日本,,,,
,1780,30,,,イエスの磔刑,,,ローマ,,,,
,18,34,,,パウロの回心,,,キリスト教　宗教,,,,
,685,43,,,クラウディウス帝のブリテン島遠征,,カラクタクス,イギリス　ローマ,,,,
,665,57,,,光武帝から印綬（倭の奴国が漢に使い）,「後漢書・東夷伝」,,アジア　日本　中国,,,,
,746,57,,,金印,倭の奴国,光武帝,日本　中国,,,,
,664,59,,,（倭国が新羅と国交）,「新羅本紀」,,朝鮮半島　アジア　日本,,,,
,586,61,,,ブーディカの反乱,,,イギリス　ローマ,,,,
,21,64,,,ローマの大火,,ネロ,ローマ,,,,
,570,64,,,パウロ殉教,,,キリスト教　宗教,,,,
,1781,64,,,ローマ市の大火,,,ローマ,,,,
,1782,66,～70,,第１次ユダヤ戦争,,,ローマ,,,,
,1783,68,,,ネロ帝の自害,,,ローマ,,,,
,1784,69,,,ウェルパシアヌス帝の即位,,,ローマ,,,,
,1726,70,,,ティトゥスによる神殿破壊,,,文化　宗教,,,,
,1785,79,,,ポンペイが埋没,,,ローマ,,,,
,1786,80,,,ローマにコロッセオ完成,,,ローマ,,,,
,1787,96,,,ネルヴァ帝即位,,,ローマ,,,,
,1788,101,～106,,ダキア戦争,,,ローマ,,,,
,1789,109,,,トラヤヌス浴場が完成,,,ローマ,,,,
,1790,117,,,アルメニア、メソポタミアの属州化,ローマ帝国最大版図,,ローマ,,,,
,592,122,,,ハドリアヌス帝がブリテンの長城建設を命令,,,イギリス　ローマ,,,,
,1791,122,,,ハドリアヌスの長城の建設開始,,,ローマ,,,,
,1792,132,～135,,第2次ユダヤ戦争,,,ローマ,,,,
,1793,142,,,アントニヌスの長城が完成,,,ローマ,,,,
,869,148,,,アルサケスが洛陽で仏典を翻訳,,,中国　宗教,,,,
,1794,180,,,マルクス・アウレリウス帝が死去,,,ローマ,,,,
,744,184,,,黄巾の乱,,太平道の教祖張角,中国　東アジア,,,,
,23,185,,,SN185,,,科学　宇宙,,,,
,1795,193,,,セプティミウス・セウェルス帝の即位,異民族出身の皇帝,,ローマ,,,,
,758,208,,,赤壁の戦い,,曹操・孫権,中国　東アジア,,,,
,1796,212,,,アントニヌス勅法,全自由民のローマ市民権,カラカラ帝,ローマ,,,,
,1797,216,,,カラカラ浴場,,,ローマ,,,,
,759,220,,,魏（漢の滅亡）,,曹丕,中国　東アジア,,,,
,940,220,,,曹操死去,,,中国,,,,
,760,221,,,蜀の劉備が皇帝を称する,,,中国　東アジア,,,,
,761,222,,,呉の孫権が皇帝を称する,,,中国　東アジア,,,,
,1798,222,,,エラガバルス帝が暗殺される,,,ローマ,,,,
,757,234,,,諸葛孔明が五丈原で陣没,,,中国　東アジア,,,,
,1799,235,,,アレクサンドデル・セウェルス帝が暗殺される,セウェルス朝終焉,,ローマ,,,,
,1800,235,,,マクシミヌス帝が即位,軍人皇帝の始まり,,ローマ,,,,
,745,238,239,,倭国使者が魏皇帝に朝貢,,,日本　中国,,,,
,762,238,,,魏の司馬仲達が公孫氏を滅ぼす,,,中国　東アジア,,,,
,763,239,,,倭の女王が魏に朝貢,,卑弥呼,日本　中国　東アジア,,,,
,1801,248,,,ローマ建国1000年祭,,,ローマ,,,,
,764,263,,,魏が蜀を滅ぼす,,,中国　東アジア,,,,
,765,265,,,司馬氏が晋を開く,禅譲,,中国　東アジア,,,,
,569,269,2月14日,,聖バレンタインの殉教,,,キリスト教　宗教,,,,
,25,280,,,晋の武帝,,司馬炎,中国　東アジア,,,,
,1802,284,,,ディオクレティアヌス帝の即位,,,ローマ,,,,
,766,290,～306,,八王の乱,,,中国　東アジア,,,,
,1803,293,,,ディオクレティアヌス帝によるローマ帝国の四分割統治,,,ローマ,,,,
,27,303,,,キリスト教徒大迫害,皇帝崇拝強化,ディオクレティアヌス帝,ローマ　宗教,,,,
,571,303,,,ヂオクレティアヌス帝の大迫害,,,キリスト教　宗教,,,,
,677,303,,,聖ジョージの処刑,,ディオクレティアヌス,イギリス　ローマ,,,,
