Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
,1746,,,,1807,,,,,"Atwood, G. (アトウッド, 1746-1807)",,,,,,
,1561,,,,1626,,,,,"Bacon, F. (ベーコン, 1561-1626)",,,,,,
,1630,,,,1677,,,,,"Barrow, I. (バロウ, 1630-1677)",,,,,,
,1685,,,,1753,,,,,"Berkeley, G (バークリー, 1685-1753)",,,,,,
,1700,,,,1782,,,,,"Bernoulli, D. (ダニエル・ベルヌーイ, 1700-1782)",,,,,,
,1667,,,,1748,,,,,"Bernoulli, J. (ヨハン・ベルヌーイ, 1667-1748)",,,,,,
,1605,,,,1694,,,,,"Boulliau, I. (ブーリオー, 1605-1694)",,,,,,
,1546,,,,1601,,,,,"Brahe, T. (ティコ・ブラーエ, 1546-1601)",,,,,,
,1548,,,,1600,,,,,"Bruno, G. (ブルーノ, 1548-1600)", ,,http://www.westatic.com/img/dict/dkijt/guericke_test2.jpg,,,
,1625,,,,1712,,,,,"Cassini, G. D. (カッシーニ, 1625-1712)",,,,,,
,1677,,,,1756,,,,,"Cassini, J. (カッシーニ, 1677-1756)",,,,,,
,1714,,,,1784,,,,,"Cassini de Thury, C. F. (カッシーニ・ド・テュリ, 1714-1784)",,,,,,
,1713,,,,1765,,,,,"Clairaut, A. C. (クレーロー, 1713-1765)",,,,,,
,1473,,,,1543,,,,,"Copernicus, N. (コペルニクス, 1473-1543)",,,,,,
,1736,,,,1806,,,,,"Coulomb, C. A. d. (クーロン, 1736-1806)",,,,,,
,1717,,,,1783,,,,,"D'Alembert, J. L. (ダランベール, 1717-1783)",,,,,,
,1683,,,,1744,,,,,"Desaguliers, J. T. (デザギュリエ, 1683-1744)",,,,,,
,1596,,,,1650,,,,,"Descartes, R. (デカルト, 1596-1650)",,,,,,
,1707,,,,1783,,,,,"Euler, L. (オイラー, 1707-1783)",,,,,,
,1601,,,,1665,,,,,"Fermat, P. d. (フェルマー, 1601-1665)",,,,,,
,1564,,,,1642,,,,,"Galilei, G. (ガリレイ, 1564-1642)",,,,,,
,1656,,,,1742,,,,,"Halley, E. (ハリー, 1656-1742)",,,,,,
,1738,,,,1822,,,,,"Herschel, J. (ハーシェル, 1738-1822)",,,,,,
,1611,,,,1687,,,,,"Hevelius, J. (ヘヴェリウス, 1611-1687)",,,,,,
,1635,,,,1703,,,,,"Hooke, R. (フック, 1635-1703)",,,,,,
,1629,,,,1695,,,,,"Huygens, C. (ホイヘンス, 1629-1695)",,,,,,
,1571,,,,1630,,,,,"Kepler, J. (ケプラー, 1571-1630)",,,,,,
,1736,,,,1813,,,,,"Lagrange, J. L. (ラグランジュ, 1736-1813)",,,,,,
,1728,,,,1777,,,,,"Lambert, J. H. (ランベルト, 1728-1777)",,,,,,
,1749,,,,1827,,,,,"Laplace, P.S.M.d. (ラプラス, 1749-1827)",,,,,,
,1646,,,,1716,,,,,"Leipniz, G.W.F. v. (ライプニッツ, 1646-1716)",,,,,,
,1698,,,,1759,,,,,"Maupertuis, P.L.M.d. (モーペルテュイ, 1698-1759)",,,,,,
,1785,,,,1836,,,,,"Navier, C.L.M. H. (ナヴィエ, 1785-1836)",,,,,,
,1642,,,,1727,,,,,"Newton, I. (ニュートン, 1642-1727)",,,,,,
,1623,,,,1662,,,,,"Pascal, B. (パスカル, 1623-1662)",,,,,,
,1620,,,,1682,,,,,"Picard, J. (ピカール, 1620-1682)",,,,,,
,1781,,,,1840,,,,,"Poisson, S. D. (ポアソン, 1781-1840)",,,,,,
,1630,,,,1696,,,,,"Richer, J. (リシェ, 17c)",,,,,,
,1548,,,,1620,,,,,"Stevin, S. (ステヴィン, 1548-1620)",,,,,,
,1729,,,,1796,,,,,"Titius, J. D. (ティティウス, 1729-1796)",,,,,,
,1694,,,,1778,,,,,"Voltaire (ヴォルテール, 1694-1778)",,,,,,
,1632,,,,1723,,,,,"Wren, C. (レン, 1632-1723)",,,,,,
,1773,,,,1829,,,,,"Young, T. (ヤング,1773-1829)",,,,,,
