Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
スカルノ・ハッタ国際空港,1975,,,,1977,,,,,用地取得,,,,,,
スカルノ・ハッタ国際空港,1980,,,,1984,,,,,建設工事,,,,,,
スカルノ・ハッタ国際空港,1992,,,,now,,,,,ターミナル2,,,,,,
スカルノ・ハッタ国際空港,1985,,,,,,,,,開港,,,,,,
スカルノ・ハッタ国際空港,2009,,,,now,,,,,ターミナル3,,,,,,
スカルノ・ハッタ国際空港,2016,,,,now,,,,,ターミナル3・アルティメット,,,,,,
スカルノ・ハッタ国際空港,1985,,,,now,,,,,南滑走路・北滑走路・ターミナル1,,,,,,
チャンギ国際空港,1975,,,,1977,,,,,用地造成,,,,,,
チャンギ国際空港,1981,,,,,,,,,開港,,,,,,
チャンギ国際空港,1981,,,,now,,,,,ターミナル1,,,,,,
チャンギ国際空港,1990,,,,now,,,,,ターミナル2,,,,,,
チャンギ国際空港,2008,,,,now,,,,,ターミナル3,,,,,,
チャンギ国際空港,2006,,,,2011,,,,,旧バジェット・ターミナル（LCC専門）,,,,,,
チャンギ国際空港,2017,,,,now,,,,,ターミナル4,,,,,,
チャンギ国際空港,2018,,,,now,,,,,ジュエル・チャンギ・エアポート,,,,,,
クアラルンプール国際空港,1998,,,,now,,,,,第1・2滑走路,,,,,,
クアラルンプール国際空港,2013,,,,now,,,,,第3滑走路,,,,,,
クアラルンプール国際空港,1998,,,,,,,,,開港,,,,,,
クアラルンプール国際空港,1998,,,,now,,,,,ターミナル1,,,,,,
クアラルンプール国際空港,2014,,,,now,,,,,KLIA2（新LCCターミナル）,,,,,,
クアラルンプール国際空港,2006,,,,2014,,,,,LCCT（LCCターミナル）,,,,,,
スワンナプーム国際空港,2006,,,,,,,,,開港,,,,,,
スワンナプーム国際空港,2006,,,,now,,,,,第1・２滑走路,,,,,,
スワンナプーム国際空港,2006,,,,now,,,,,ターミナル1,,,,,,
スワンナプーム国際空港,2021,,,,,,,,,ターミナル2・第3滑走路建設予定,,,,,,
インディラ・ガンジー国際空港,1984,,,,,,,,,インディラ・ガンジー国際空港に改名,,,,,,
インディラ・ガンジー国際空港,1962,,,,now,,,,,ターミナル1,,,,,,
インディラ・ガンジー国際空港,1984,,,,now,,,,,ターミナル2,,,,,,
インディラ・ガンジー国際空港,2010,,,,now,,,,,ターミナル3,,,,,,
インディラ・ガンジー国際空港,1962,,,,now,,,,,第1・2滑走路,,,,,,
インディラ・ガンジー国際空港,2008,,,,now,,,,,長距離国際線用滑走路,,,,,,
ヒースロー空港,1966,,,,,,,,,ヒースロー空港に改名,,,,,,
ヒースロー空港,1968,,,,2015,,,,,ターミナル1,,,,,,
ヒースロー空港,1955,,,,2014,,,,,旧ターミナル2,,,,,,
ヒースロー空港,2014,,,,2019,,,,,ターミナル2（フェーズ1）,,,,,,
ヒースロー空港,2019,,,,now,,,,,ターミナル2（フェーズ2）,,,,,,
ヒースロー空港,1961,,,,now,,,,,ターミナル3,,,,,,
ヒースロー空港,1986,,,,now,,,,,ターミナル4,,,,,,
ヒースロー空港,2008,,,,now,,,,,ターミナル5,,,,,,
ヒースロー空港,1947,,,,now,,,,,第1・2・３滑走路,,,,,,
ヒースロー空港,1953,,,,,,,,,平行滑走路の延長,,,,,,
ヒースロー空港,1961,,,,,,,,,滑走路の延長,,,,,,
フランクフルト空港,1936,,,,,,,,,開港,,,,,,
フランクフルト空港,1972,,,,now,,,,,ターミナル1（新中央ターミナル）,,,,,,
フランクフルト空港,1958,,,,now,,,,,ターミナル東,,,,,,
フランクフルト空港,1994,,,,now,,,,,ターミナル2,,,,,,
フランクフルト空港,2022,,,,,,,,,ターミナル3運用開始予定,,,,,,
フランクフルト空港,1945,,,,now,,,,,第1滑走路,,,,,,
フランクフルト空港,1948,,,,now,,,,,第2滑走路,,,,,,
フランクフルト空港,1987,,,,now,,,,,第3滑走路,,,,,,
