Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
勉強,2015,4,1,,2015,4,30,,,プログラミング勉強開始,アプリを作りたくて、MacとSwiftの本を買った,,,,,
勉強,2015,4,1,,2015,8,31,,,実らないSwift,本を真似するも、エラーばっかで最終的に挫折,,,,,
勉強,2015,9,1,,2015,12,31,,,フロントエンドの勉強,Swiftに比べてwebめっちゃ楽しいーーー！,,,,,
勉強,2015,11,1,,now,,,,,Rubyの勉強,フロントに比べたらめっちゃ難しい・・。,,,,,
勉強,2018,11,15,,now,,,,,Goの勉強,静的型付けやりたい！,,,,,
勉強,2018,9,1,,2018,12,1,,,Vueの勉強,SPA作りたい。まだ作り切っていない,,,,,
自分でサービス,2016,9,15,,now,,,,,『Rep 立教大学シラバス検索システム』の開発,プログラミングを始めて15ヶ月。ようやく初めてのサービス。Rails/AWS,https://www.rep-rikkyo.com/,,,,
自分でサービス,2018,8,20,,2018,11,10,,,LINE ハッカソン,テーマ賞ノミネートまでいくも、何も受賞せずに敗退,,,,,
自分でサービス,2019,1,18,,now,,,,,『KnoQFun』,Youtuber「Quizknock」さんのファンサイト,https://knoqfun.herokuapp.com/,,,,
自分でサービス,2018,4,15,,2018,4,27,,,『FEEL WEATHER』Twitter名を天気に連動させる,モチベが続かずに11日でクローズ,http://kentear.hatenablog.com/entry/release-feel-weather,,,,
自分でサービス,2017,11,5,,now,,,,,『好きなものでいっぱいに』Chrome拡張,一番気に入っているChrome拡張。新しいタブを自動で収集した画像で埋める。,https://chrome.google.com/webstore/detail/%E5%A5%BD%E3%81%8D%E3%81%AA%E3%83%A2%E3%83%8E%E3%81%A7%E3%81%84%E3%81%A3%E3%81%B1%E3%81%84%E3%81%AB%EF%BC%81-%E6%96%B0%E3%81%97%E3%81%84%E3%82%BF%E3%83%96/lpkemcihljffbgnhjklaphfkedemogih,,,,
自分でサービス,2018,9,20,,now,,,,,『立教クーポン』,立教生が使えるクーポンを掲載（営業活動開始前）,https://coupon.rep-rikkyo.com/,,,,
インターン/仕事,2016,7,1,,2018,2,28,,,TRUNKでインターン,WordpressやRails,,,,,
インターン/仕事,2016,11,30,,2017,3,31,,,ジラフでインターン,Rails,,,,,
インターン/仕事,2018,7,1,,2019,1,15,,,Brhino（モノカブ）でバイト,Rails/AWS,,,,,
短期インターン,2016,8,1,,2016,8,5,,,ヤフー！でインターン,フロントエンドとして,,,,,
短期インターン,2017,9,11,,2017,9,15,,,freeeでインターン,RailsやReact,,,,,
バイト,2018,3,1,,2018,6,30,,,メッセンジャー（運送業）バイト,自転車で手紙や書類を運ぶ,,,,,
バイト,2016,3,1,,2017,3,15,,,在宅テスター,ひたすらバグを探していました,,,,,
