Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
創造物・作品,-15000,,,,,,,,フランス,ラスコー洞窟壁画,,,,,,
創造物・作品,-2500,,,,,,,,エジプト,ピラミッド,,,,,,
人物・グループ,1500,,,,,,,,,ミケランジェロ,,,,,,
創造物・作品,-44000,,,,,,,,フランス,ショーヴェ洞窟壁画,,,,,,
時代区分,-4000,,,,-350,,,,古代オリエント文明（エジプト）,エジプト美術,実際にどう見えるかではなく人物や場面についての知識が何よりも優先されるため、ものの表し方は厳格に決まっている　古代エジプト人にとって死＝新たな人生、生前良いことをした者には楽園が待っているとされた　また死後も肉体・魂ともに保持されると考えられており、それらを永続させるためにミイラが造られた,,,,,
人物・グループ,-1360,,,,,,,,エジプト,アメンホテプ4世,同じ様式が守られ繰り返される中、宗教でも美術においても革新しようとした（アマルナ革命）,,,,,
時代区分,-4000,,,,700,,,,古代オリエント文明（現・イラク）,メソポタミア美術,シュメール美術、アッカド美術、バビロニア美術、アッシリア美術、新バビロニア美術,,,,,
人物・グループ,-4000,,,,,,,,メソポタミア,シュメール人,初めて楔形文字という文字を開発 彫刻において目が大きく表現されるのは祈る姿を強調するため,,,,,
人物・グループ,-2300,,,,,,,,メソポタミア,アッカド人,,,,,,
時代区分,-2700,,,,-2200,,,,エーゲ文明,キュクラデス美術,抽象化された像　鼻のような形のみ彫られた顔など,,,,,
時代区分,-1365,,,,,,,,エジプト,アマルナ美術,,,,,,
時代区分,-2000,,,,-1400,,,,エーゲ文明,クレタ（ミノア、ミノス）美術,クレタ島で栄えた　宮殿文化　クノッソス宮殿には城壁がなく平和であったとわかる　また「具象化」という造形法（幾何学的文様の連なりによって魚や葉っぱなどの具体的なモチーフに見えてくる）が成立　政治や物語よりも人間や動物の軽やかな動きの表現に注力,,,,,
時代区分,-1600,,,,-1200,,,,エーゲ文明,ミケーネ（ミュケナイ）美術,クレタを滅ぼして栄える　開放的であったクレタに対し閉鎖的な建築、戦闘的かつ、主題や物語重視,,,,,
時代区分,-1000,,,,-100,,,,,ギリシャ美術,目に見えるありのままを表現　視覚の時代へ　「科学と哲学がーー初めて演劇が誕生した時代」,,,,,
時代区分,-900,,,,-800,,,,ギリシャ美術,幾何学様式時代,この時代の主な造形領域は陶器　規則的な模様、抽象的図形からが多く見られる,,,,,
時代区分,-800,,,,-650,,,,ギリシャ美術,東方化様式時代,動物，植物，スフィンクスなどの怪物（東方文化）がフリーズ状に描かれる,,,,,
時代区分,-650,,,,-480,,,,ギリシャ美術,アルカイック時代,人間らしさを表現するためのアルカイックスマイル,,,,,
時代区分,-480,,,,-330,,,,ギリシャ美術,クラシック時代,ギリシャ美術の黄金期と言われる　理想的人体美と人間らしさの調和　表情ではなく人体の動き重視　コントラポストうまれる　この頃の作品はほとんど原作が残っていない（青銅製のものも多く戦争に利用されるなど　我々が目にしているのはローマンコピー）,,,,,
時代区分,-330,,,,-30,,,,ギリシャ美術,ヘレニズム時代,ヘレニズムはギリシャ風の文化という意味を持つ　より見た目のインパクトが重視される　360°鑑賞可能な彫刻　絵画においては風景画が出現する（富裕層のための牧歌的な風景　なお、エジプト絵画の名残がみられる）,,,,,
創造物・作品,-447,,,,,,,,ギリシャ,パルテノン神殿,ペルシア戦争の戦勝記念　ドーリス式　戦いの女神アテナを祀っている,,,,,
時代区分,-1200,,,,-700,,,,ギリシャ,暗黒時代,およそ400年にわたる何も分かっていない時期　鉄器時代と呼ばれたりもする,,,,,
技法・媒体,-510,,,,,,,,,短縮法,,,,,,
