Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
ロゥ,998,,,,,,,,,生誕,,,,,,
リバレス,1000,,,,,,,,,生誕,,,,,,
ヴァグラピード,1002,,,,,,,,,生誕,生まれた時から異形の姿だった,,,,,
ロゥ,1021,,,,,,,,,死亡,病弱なのに身体を酷使したので,,,,,
リバレス,1052,,,,,,,,,死亡,,,,,,
ヴァグラピード,1070,,,,,,,,,死亡,天寿を全うした　死ぬまで床に臥すことはなかった,,,,,
三人,1016,,,,1021,,,,,三人で生きた時期,,,,,,
三人,1016,,,,,,,,,出会い,,,,,,
ロゥ,998,,,,1008,,,,,幼少期,,,,,,
ロゥ,1013,,,,1016,,,,,「旅」黎明期,「興味を持っても許される人を探す旅」が始まる。努力家ではあったことが功を奏し、服売りなどの過去の趣味で路銀を稼ぐ。次いで彼女自身はほどんど金を使わない。,,,,,
ヴァグラピード,1002,,,,1007,,,,,幼児期,親に隠され、箱入り娘として育てられる。親も不気味には思っていた。,,,,,
ヴァグラピード,1007,,,,1009,,,,,迫害期,なるようになれで表に出される。もちろん上手くいかない。子供の間での迫害ではあったが、止める大人はいなかった。,,,,,
ロゥ,1008,,,,1016,,,,,少女期,「何にでも興味を持つ」ことについて、親は理解しようしたが理解できず。ほとんどの人にとって、これは不躾なものだった。,,,,,
