Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
小説,1998,,,,,,,,,「空の境界」Web版,,,,,,
ゲーム,2000,,,,,,,,,「月姫」PCノベルゲーム,,,,,,
ゲーム,2001,,,,,,,,,「歌月十夜」PCノベルゲーム,,,,,,
小説,2001,12,30,,,,,,,「空の境界」同人誌上下巻,,,,,,
ゲーム,2002,,,,,,,,,「MELT BLOOD」対戦格闘ゲーム,,,,,,
イベント,2003,,,,,,,,,株式会社ノーツ設立,,,,,,
アニメ,2003,10,,,,,,,,「真月譚　月姫」放送,,,,,,
マンガ,2003,10,,,,,,,,「月姫」コミカライズ,,,,,,
ゲーム,2004,1,30,,,,,,,「Fate/stay night」ノベルゲーム,,,,,,
小説,2004,4,2,,,,,,,「空の境界」限定愛蔵版　講談社,,,,,,
小説,2004,6,8,,,,,,,「空の境界」講談社ノベルス,,,,,,
ゲーム,2005,,,,,,,,,「Fate/hollow ataraxia」,,,,,,
イベント,2005,,,,,,,,,コミケ・サークルジャンルコード,,,,,,
アニメ,2006,1,,,2006,6,,,,「Fate/stay night」,,,,,,
マンガ,2006,,,,2012,,,,,「Fate/stay night」西脇だっと,,,,,,
小説,2006,12,,,,,,,,「Fate/Zero」虚淵玄　Type−Moon Books,,,,,,
マンガ,2006,,,,,,,,,「MELTY BLOOD」桐嶋たける,,,,,,
ゲーム,2007,,,,,,,,,「Fate/stay night［Realta Nua］」ps2全年齢版ノベルゲーム,,,,,,
アニメ,2007,12,1,,,,,,,「空の境界」第一章「俯瞰風景」,,,,,,
小説,2007,11,15,,,,,,,「空の境界」講談社文庫　上下巻,,,,,,
マンガ,2007,,,,2008,,,,,「Fate/kaleid liner プリズマ☆イリヤ」ひろやまひろし,,,,,,
アニメ,2007,12,29,,,,,,,「空の境界」第二章「殺人考察(前)」,,,,,,
ゲーム,2008,6,11,,,,,,,「Fate/unlimited codes」アーケード格闘ゲーム,,,,,,
アニメ,2008,2,9,,,,,,,「空の境界」第三章「痛覚残留」,,,,,,
アニメ,2008,5,24,,,,,,,「空の境界」第四章「伽藍の洞」,,,,,,
小説,2008,8,16,,,,,,,「空の境界　未来福音」,,,,,,
アニメ,2008,8,16,,,,,,,「空の境界」第五章「矛盾螺旋」,,,,,,
アニメ,2008,12,20,,,,,,,「空の境界」第六章「忘却録音」,,,,,,
アニメ,2009,8,8,,,,,,,「空の境界」第七章「殺人考察(後)」,,,,,,
アニメ,2010,1,28,,,,,,,「Fate/stay night -UNLIMITED BLADE WORKS」劇場版,,,,,,
ゲーム,2010,7,22,,,,,,,「Fate/Extra」PSP RPGゲーム,,,,,,
アニメ,2010,12,28,,,,,,,「空の境界」第八章「終章/空の境界」,,,,,,
小説,2011,,,,,,,,,「空の境界　未来福音」星海社文庫,,,,,,
マンガ,2011,2,,,2017,7,,,,「Fate/Zero」真じろう,,,,,,
アニメ,2011,10,,,2011,12,,,,「Fate/Zero」第一サークル,,,,,,
アニメ,2012,4,,,2012,6,,,,「Fate/Zero」第二サークル,,,,,,
ゲーム,2012,4,12,,,,,,,「魔法使いの夜」PCノベルゲーム,,,,,,
ゲーム,2012,,,,,,,,,「Fate/stay nigh［Realta Nua］」PSVita移植,,,,,,
ゲーム,2012,8,9,,2015,4,16,,,「Fate/Zero［Next Encounter］」ソーシャルゲーム,,,,,,
小説,2012,12,31,,2014,12,30,,,「Fate/Apocrypha」東出祐一郎　Type−Moon Books,,,,,,
ゲーム,2013,,,,,,,,,「Fate/Extra CCC」PSP RPGゲーム,,,,,,
アニメ,2013,9,28,,,,,,,「空の境界　未来福音」劇場版,,,,,,
アニメ,2013,7,13,,,,,,,「空の境界」「俯瞰風景」3D,,,,,,
ゲーム,2013,8,23,,,,,,,「Fate/Zero The Adventure」iOS・androidノベルゲーム,,,,,,
アニメ,2014,10,,,2014,12,,,,「Fate/stay night -Unlimited Blade Works」第一サークル,,,,,,
アニメ,2015,4,,,2015,6,,,,「Fate/stay night -Unlimited Blade Works」第二サークル,,,,,,
小説,2014,9,10,,2017,4,26,,,「Fate/prototype 蒼銀のフラグメンツ」桜井光　角川書店,,,,,,
小説,2014,12,30,,2019,,,,,「ロードエルメロイII世の事件簿」三田誠　Type−Moon Books,,,,,,
小説,2015,1,10,,2019,,,,,「Fate/strange fake」成田良悟　電撃文庫,,,,,,
マンガ,2015,1,10,,2019,,,,,「Fate/strange fake」森井しづき　Type−Moon Books,,,,,,
マンガ,2015,,,,,,,,,「Fate/stay night［Heaven‘s Feel］」タスクオーナー,,,,,,
ゲーム,2015,7,30,,2020,,,,,「Fate/Grand Order」ソーシャルゲーム,,,,,,
ゲーム,2015,,,,,,,,,「Fate/stay nigh［Realta Nua］」スマホ移植,,,,,,
ゲーム,2016,11,10,,,,,,,「Fate/EXTELLA」PS4＆PSVita 無双系アクションゲーム,,,,,,
アニメ,2017,10,14,,,,,,,「Fate/stay night［Heaven‘s Feel］」劇場版第一章,,,,,,
アニメ,2019,1,12,,,,,,,,,,,,,
小説,2018,,,,,,,,,「Fate/Requiem」星空めてお　Type -Moon Books,,,,,,
小説,2007,,,,,,,,,「DDD」奈須きのこ　講談社BOX,,,,,,
小説,2011,,,,,,,,,「月の珊瑚」奈須きのこ　星海社,,,,,,
小説,2011,,,,,,,,,「3/16事件」奈須きのこ　講談社BOX,,,,,,
アニメ,2012,,,,,,,,,「カーニバル・ファンタズム」ova,,,,,,
小説,2012,12,29,,2016,3,18,,,「ファイヤーガール」TYPE−MOON BOOKS,,,,,,
執筆作家参入,1998,,,,,,,,,奈須きのこ,,,,,,
執筆作家参入,2006,,,,,,,,,虚淵玄,,,,,,
執筆作家参入,2012,,,,,,,,,東出祐一郎,,,,,,
執筆作家参入,2012,,,,,,,,,星空めてお,,,,,,
執筆作家参入,2014,,,,,,,,,桜井光,,,,,,
執筆作家参入,2014,,,,,,,,,三田誠,,,,,,
執筆作家参入,2015,,,,,,,,,成田良悟,,,,,,
執筆作家参入,2007,,,,,,,,,ひろやまひろし,,,,,,
ゲーム,2007,9,13,,,,,,,「フェイト/タイガーころしあむ」pc対戦アクションゲーム,,,,,,
執筆作家参入,2016,,,,,,,,,TAa,,,,,,
マンガ,,,,,,,,,,「氷室の天地　Fate/school life」磨伸映一郎,,,,,,
アニメ,,,,,,,,,,,,,,,,
TYPE-MOON ACE,2008,6,,,,,,,,Vol.1,,,,,,
TYPE-MOON ACE,2009,3,,,,,,,,Vol.2,,,,,,
TYPE-MOON ACE,2009,10,,,,,,,,Vol.3,,,,,,
TYPE-MOON ACE,2010,1,,,,,,,,Vol.4,,,,,,
TYPE-MOON ACE,2010,7,,,,,,,,Vol.5,,,,,,
TYPE-MOON ACE,2011,1,,,,,,,,Vol.6,,,,,,
TYPE-MOON ACE,2012,1,,,,,,,,Vol.7,,,,,,
TYPE-MOON ACE,2013,1,,,,,,,,Vol.8,,,,,,
TYPE-MOON ACE,2014,3,,,,,,,,Vol.9,,,,,,
TYPE-MOON ACE,2015,8,,,,,,,,Vol.10,,,,,,
TYPE-MOON ACE,2016,4,,,,,,,,Vol.11,,,,,,
TYPE-MOON ACE,2017,8,,,,,,,,Vol.12,,,,,,
TYPE-MOON ACE,2015,8,,,,,,,,Vol.10.5-FGO特集,,,,,,
TYPE-MOON ACE,2017,4,,,,,,,,カルデアエースVol.1,,,,,,
TYPE-MOON ACE,2018,12,,,,,,,,カルデアエースVol.2,,,,,,
イベント,2012,8,,,,,,,,10th Anniversary Phantasm発売,,,,,,
Google検索「Fate」,2004,1,,,,,,,,42,,,,,,
Google検索「Fate」,2006,1,,,,,,,,38,,,,,,
Google検索「Fate」,2011,10,,,,,,,,41,,,,,,
Google検索「Fate」,2014,10,,,,,,,,23,,,,,,
Google検索「Fate」,2015,5,,,,,,,,17,,,,,,
Google検索「Fate」,2015,8,,,,,,,,33,,,,,,
Google検索「Fate」,2017,10,,,,,,,,42,,,,,,
Google検索「Fate」,2019,1,,,,,,,,39,,,,,,
Google検索「FGO」,2016,8,,,,,,,,32,,,,,,
Google検索「FGO」,2017,1,,,,,,,,67,,,,,,
Google検索「FGO」,2017,5,,,,,,,,70,,,,,,
Google検索「FGO」,2017,8,,,,,,,,93,,,,,,
Google検索「FGO」,2018,1,,,,,,,,100,,,,,,
Google検索「FGO」,2018,8,,,,,,,,85,,,,,,
Google検索「FGO」,2019,1,,,,,,,,67,,,,,,
Google検索「FGO」,2019,8,,,,,,,,80,,,,,,
Google検索「Fate/Grand Order」,2015,8,,,,,,,,32,,,,,,
Google検索「Fate/Grand Order」,2015,9,,,,,,,,26,,,,,,
Google検索「Fate/Grand Order」,2015,10,,,,,,,,23,,,,,,
Google検索「Fate/Grand Order」,2015,11,,,,,,,,23,,,,,,
Google検索「Fate/Grand Order」,2015,12,,,,,,,,20,,,,,,
Google検索「Fate/Grand Order」,2016,1,,,,,,,,27,,,,,,
Google検索「Fate/Grand Order」,2016,2,,,,,,,,26,,,,,,
Google検索「Fate/Grand Order」,2016,3,,,,,,,,32,,,,,,
Google検索「Fate/Grand Order」,2016,4,,,,,,,,34,,,,,,
Google検索「Fate/Grand Order」,2016,5,,,,,,,,24,,,,,,
Google検索「Fate/Grand Order」,2016,6,,,,,,,,26,,,,,,
Google検索「Fate/Grand Order」,2016,7,,,,,,,,26,,,,,,
Google検索「Fate/Grand Order」,2016,8,7,,,,,,,42-水着イベントースカサハ配布,,,,,,
Google検索「Fate/Grand Order」,2016,12,,,,,,,,62,,,,,,
Google検索「Fate/Grand Order」,2017,1,1,,,,,,,72-終章,,,,,,
Google検索「Fate/Grand Order」,2017,5,7,,,,,,,58-CCC,,,,,,
Google検索「Fate/Grand Order」,2017,7,30,,,,,,,87-2周年、英霊正装配布,,,,,,
Google検索「Fate/Grand Order」,2017,9,17,,,,,,,71-ネロ祭2超高難易度,,,,,,
Google検索「Fate/Grand Order」,2017,12,31,,,,,,,100-第二部 序、情報公開,,,,,,
Google検索「Fate/Grand Order」,2017,1,14,,,,,,,78,,,,,,
Google検索「Fate/Grand Order」,2018,7,29,,,,,,,84-3周年フェス、英霊旅装配布,,,,,,
Google検索「Fate/Grand Order」,2018,12,30,,,,,,,63-六章舞台＆七章アニメ情報、正月イベント,,,,,,
Google検索「Fate/Grand Order」,2019,8,4,,,,,,,69-4周年フェス,,,,,,
