Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
HiHi Jets,2015,10,23,,2015,10,23,,,「HiHi JET」として紙面掲載,『Myojo』2015年12月号にて「HiHi JET(ハイハイジェット）」の結成が発表される。メンバーは橋本涼、井上瑞稀、羽場友紀、猪狩蒼弥、岩崎大昇。,,,,,
HiHi Jets,2015,10,26,,2015,10,26,,,「HiHi Jet」の結成披露,品川プリンスホテルで行われた、舞台『JOHNNYS' World』の制作会見に、メンバーの橋本涼と井上瑞稀が出席。ローラースケートが得意な4人（橋本・井上・羽場・猪狩）による新ユニットHiHi Jetがお披露目される。,https://web.archive.org/web/20170905192601/http://www.theaterguide.co.jp/theater_news/2015/10/28.php,,,,
HiHi Jets,2015,10,26,,,,,,,「HiHi Jet」の結成披露,,https://www.sanspo.com/geino/news/20151027/joh15102705040002-n2.html,,,,
HiHi Jets,2016,4,29,,,,,,,『ジャニーズ銀座2016』出演,『ジャニーズ銀座2016』に出演。,,https://archive.is/1yJj8,,,
HiHi Jets,2016,7,14,,,,,,,HiHi Jetsにグループ名変更・髙橋・作間・浮所・五十嵐が加入,『テレビ朝日・六本木ヒルズ 夏祭り SUMMER STATION開幕直前イベント』に出演したことを報じるニュースで、HiHi JetからHiHi Jetsへユニット名が変更、新しく髙橋優斗がメンバーとして出演していることが判明する。,https://mdpr.jp/news/detail/1598302,,,,
HiHi Jets,2016,7,20,,,,,,,,『サマステ ジャニーズキング』に、同グループ名でメンバーに作間龍斗、浮所飛貴、五十嵐玲央が加入した8人で出演,http://www.ex-theater.com/contents/schedule/0546/,,,,
HiHi Jets,2016,9,6,,,,,,,「HiHi Jet」にグループ名が戻る。メンバーが橋本・井上・猪狩・髙橋に。,9月6日に行われた『JOHNNYS' ALL STARS IsLAND』の制作発表にHiHi Jetとして橋本・井上・猪狩・髙橋が参加,https://web.archive.org/web/20160909203256/http://www.hochi.co.jp/entertainment/20160906-OHT1T50088.html,https://archive.is/ekdAa,,,
HiHi Jets,2017,7,15,,,,,,,サマステのアシスタントレポーターを務める。,『テレビ朝日・六本木ヒルズ 夏祭り SUMMER STATION』で東京B少年と共に出演アシスタントレポーターを務めた。,https://mdpr.jp/news/detail/1691923,,,,
HiHi Jets,2018,2,23,,,,,,,作間グループ加入、グループ名が再び「HiHi Jets」に。,2018年2月23日、4月より東京B少年とともに舞台『ジャニーズ銀座2018』を上演することが決定。同時に作間龍斗のグループ加入が発表される,https://web.archive.org/web/20180223021605/http://www.hochi.co.jp/entertainment/20180222-OHT1T50289.html,,,,
髙橋,2015,5,2,,,,,,,ジャニーズ事務所入所,,,,,,
髙橋,2016,4,29,,,,,,,『ジャニーズ銀座2016』出演,『ジャニーズ銀座2016』にジャニーズJr.内ユニット・Classmate Jのメンバーとして出演。,,,,,
