Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,1989,,,,now,,,,,平成,,,,,,
日本の年号,1926,,,,1988,,,,,昭和,,,,,,
日本の年号,1912,,,,1926,,,,,大正,,,,,,
日本の年号,1868,,,,1912,,,,,明治,,,,,,
日本の年号,1588,,,,1867,,,,,江戸,,,,,,
当時の社会,1914,7,28,,1918,11,11,,,第一次世界大戦,,,,,,
当時の社会,,,,,,,,,,,,,,,,
当時の社会,,,,,,,,,,,,,,,,
災害,1657,,,,,,,,,明暦の大火,,,,,,
災害,1872,,,,,,,,,銀座大火,これによって、銀座煉瓦街が建設される,,,,,
災害,1881,,,,,,,,,日本橋大火,防火路線の指定がされる,,,,,
災害,1891,,,,,,,,,濃尾地震,震災予防調査会発足、地震被害への意識高まる,,,,,
災害,1923,9,1,11:58,,,,,,関東大震災,火災が大発生,,,,,
災害,1934,,,,,,,,,函館大火,帝都復興計画をベースに復興開始、交通量確保も視野に,,,,,
災害,1945,,,,,,,,,枕崎台風,,,,,,
災害,1947,,,,,,,,,カスリーン台風,,,,,,
災害,1948,,,,,,,,,アイオン台風,,,,,,
災害,1946,,,,,,,,,南北地震,,,,,,
災害,1959,,,,,,,,,伊勢湾台風,5098人の大被害,,,,,
災害,1964,6,16,,,,,,,新潟地震,液状化被害を始め、都市型災害の始まり。,,,,,
災害,1972,,,,1982,,,,,ビル火災期,,,,,,
災害,1982,7,,,,,,,,長崎水害,４回の空振り警報で逃げ遅れ発生、３００死者,,,,,
災害,1995,1,17,5:46,,,,,,阪神淡路大震災,火災より建物損壊が多く、炎症遮断帯に囲まれた内部が被害を受けた,,,,,
災害,1978,6,12,,,,,,,宮城県沖地震,,,,,,
災害,2000,,,,,,,,,有珠山噴火,ハザードマップが全国に推奨されるように,,,,,
災害,2011,3,11,14:46,,,,,,東日本大震災,死者２万人超。津波、原子力災害等。帰宅難民で、都市の脆弱性露出。ハードとソフトの連携が必要,,,,,
都市防災,1888,,,,,,,,,東京市区改正条例,インフラ整備、不燃化を目指した都市構想。都市計画の前身,,,,,
都市防災,1919,,,,,,,,,市街地建築物法,,,,,,
都市防災,1919,,,,,,,,,旧都市計画法,,,,,,
都市防災,1922,,,,,,,,,防火地区,路線防火から面的防火へ。市街地建築物法より,,,,,
都市防災,1923,9,2,,,,,,,帝都復興計画,後藤新平が練った復興計画,,,,,
都市防災,1937,,,,,,,,,防空法,空襲が防災の敵となる,,,,,
都市防災,1941,,,,,,,,,防空法改正,建物疎外事業開始,,,,,
都市防災,1950,,,,,,,,,国家総合開発法,国家予算の約１割を防災対策予算とした,,,,,
都市防災,1947,,,,,,,,,災害救助法,災害直後の応急的な生活の救済,,,,,
都市防災,1961,,,,,,,,,災害対策基本法,災害発生後のみではなく、防災計画など総合的な予防推進,,,,,
都市防災,1952,,,,,,,,,耐火建築促進法,建築費一部助成。防火建築帯を見込む。,,,,,
都市防災,1961,,,,,,,,,防火建築街区造成法,耐火建築促進法から、面的整備に変更。線的だと、内部の木造密集がやばい。,,,,,
都市防災,1969,,,,,,,,,都市再開発法,高度利用型再開発の考えを組み込む。増床がうまくいくとこじゃないと円滑じゃない。,,,,,
都市防災,1964,,,,,,,,,地震保険制度確立,,,,,,
都市防災,1971,,,,,,,,,東京都震災予防条例,関東大震災の反省で避難場所、経路の整備。,,,,,
都市防災,1978,,,,,,,,,大規模地震対策特別措置法,地震防災対策の強化,,,,,
都市防災,1980,,,,,,,,,都市防災不燃化促進事業,炎症遮断帯の形成や避難場所周辺の不燃化が、危険なところを中心に。,,,,,
都市防災,1966,,,,,,,,,江東十字架ベルト構想,,,,,,
都市防災,1980,,,,,,,,,防災生活圏構想,火を出さない、火をもらわない、逃げないですむ,,,,,
都市防災,1995,,,,2006,,,,,耐震改修促進法,,,,,,
都市防災,2006,,,,,,,,,耐震改修促進法改正,建築基準法以前の建物について助成、倒壊対策,,,,,
都市防災,1997,,,,,,,,,密集法,密集市街地整備事業で、耐震対策を徹底しようとした,,,,,
都市防災,1997,,,,,,,,,河川法,河道主義から、堤防作成や住民参加河川事業等,,,,,
