Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
,1936,,,,,,,,,born,,,,,,
,1982,,,,,,,,,professor of tokyo university,,,,,,
,1983,,,,,,,,,Selected for International Design Competition in Lavillette Park,,,,,,
,1986,,,,,,,,,Architectural Institute of Japan Award for Best Work (Tasaki Museum of Art),,,https://artscape.jp/mdb/image/10016686.jpg,,box,
,1988,,,,,,,,,MURANO Togo Award (Yamato International),,,https://d23ihmxbfvktwx.cloudfront.net/uploads/2015/02/b88fb54d036e14b37915443f1c79e535.jpg,,box,
,1988,,,,,,,,,Suntory Gakugei Award『空間＜機能から様相へ＞』,,,,,,
,1993,,,,,,,,,Nikkei BP Technology Awards（梅田スカイビル）,,,https://www.nippon.com/ja/ncommon/contents/views/30566/30566.jpg,,box,
,2001,,,,,,,,,Brunel Award for Excellence in Architecture（京都駅）,,,https://www.kyoto-station-building.co.jp/about/img/concept-02.jpg,,box,
,2003,,,,,,,,,Architectural Institute of Japan Award for Works（札幌ドーム）,,,https://d29d4ix4siswd2.cloudfront.net/spo-map/wp-content/uploads/2019/06/11170045/c71f058aabede31a121a41eb51dedf75_s.jpg,,box,
,2013,,,,,,,,,Architectural Institute of Japan Award,,,,,,
