Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
主要キャラクター関連の出来事,2015,6,,,,,,,,カラマイ空港エアショー,"第1巻　p12～　
　慧の母親が展示飛行中にザイの襲撃を受ける。",,,,,
主要キャラクターが関連する作戦行動,2017,6,6,,,,,,,グリペン、上海沖に出撃（上海脱出戦）,"第1巻　p37
　グリペン、上海沖でザイと交戦後海上に墜落。",,,,,
その他の出来事,2015,9,6,,,,,,,キルギス上空での空戦,"第1巻　p20
　ロシア空軍機とザイが交戦。発表は翌 9/7。",,,,,
掲載巻,2015,6,,,2017,7,18,,,第1巻,,,,,range,Red
その他の出来事,2015,12,,,,,,,,中国国内においてザイが勢力を拡大,"第1巻　p20
　中国国内の状況についてロシア副首相が会見。",,,,,
その他の出来事,2016,6,16,,,,,,,中国・国防動員法を適用,"第1巻　p20
　新華社通信 → BBC での報道による。",,,,,
その他の出来事,2017,2,24,,,,,,,中国政府・軍、崩壊状態,"第1巻　p20
　アメリカ国防長官の発言による。",,,,,
その他の出来事,2017,5,10,,,,,,,上海地方臨時政府、日本へ脱出船団受入れを要請,"第1巻　p20
　NHK での報道による。",,,,,
主要キャラクター関連の出来事,2017,6,6,,,,,,,慧、グリペンと出会う,"第1巻　p37
　グリペンの再起動が確認される。",,,,,
主要キャラクター関連の出来事,2001,,,,,,,,誕生日不明,慧、明華、生まれる,"※第1巻　p46 より推測
　ともに2017年6月時点で16歳。",,,,,
主要キャラクター関連の出来事,2008,6,,,,,,,慧が7歳の時,慧、セスナ機を操縦。,"第1巻　p49, p132
　慧、母親とともに C172R に搭乗し、操縦。",,,,,
主要キャラクター関連の出来事,2008,1,,,,,,,慧が7歳の時,慧、明華と出会う,"※第1巻　p56 
　「九年分の劣勢」より",,,,,
その他の出来事,2017,6,7,,,,,,,空母ジョージ・ワシントン、横須賀を出港,"第1巻　p96
　街頭ビジョンでの報道による。",,,,,
その他の出来事,2017,6,8,,,,,,,常熟市壊滅,"第1巻　p193
　ネットでの情報による",,,,,
主要キャラクター関連の出来事,2017,6,13,,,,,,,慧、八代通に拉致される。,"第1巻　ｐ74～
　慧、明華とともに小松基地へ。",,,,,
主要キャラクター関連の出来事,2017,6,14,,,,,,,慧とグリペン、小松基地内部を散策（第1巻Ⅲ章）,"第1巻　p122
　「また明日（6/15）」より逆算。",,,,,
主要キャラクター関連の出来事,2017,6,15,,,,,,,慧とグリペン、小松市内へ,"第1巻　p169
　「安宅海岸でのやり取りから一晩明け（6/16）」より逆算。",,,,,
主要キャラクター関連の出来事,2017,6,16,,,,,,,慧とグリペン、フライトシミュレータ試験,"第1巻　p182
　「シミュレータ試験から二日（6/18）」より逆算。",,,,,
主要キャラクター関連の出来事,2017,6,18,,,,,,,慧とグリペンの脳波の一致が確認される,"第1巻　p193
　常熟市壊滅（6/8）が「十日前」となっている。",,,,,
主要キャラクター関連の出来事,2017,6,21,,,,,,,グリペンの試験日,"第1巻　p205～
　試験中にザイ来襲、イーグルが迎撃。",,,,,
主要キャラクターが関連する作戦行動,2017,6,27,,,,,,,慧、グリペンに搭乗し初出撃（小松防衛戦）,"第1巻　p291
　7/18 が「あれから3週間もたっている」より逆算。",,,,,
