Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
主催公演,2006,4,7,,2006,4,10,,,とらとろん第二弾公演「キヲクタダシクウツクシク」,,,,,,
主催公演,2006,8,24,,2006,8,27,,,とらとろん第三弾公演「僕らのつるつる賛歌」,早稲田大学学生会館B202,,,,,
おぼんろ,2007,2,2,,2007,2,5,,,第1回本公演「おぼんろ」,早稲田小劇場どらま館,,,,,
おぼんろ,2007,7,10,,2007,7,14,,,第2回本公演「洗イ ニ 生マレテ」,早稲田小劇場どらま館,,,,,
おぼんろ,2007,3,2,,2007,3,5,,,新生劇団合同企画公演<三月行進曲>「おぼんろ！」,早稲田小劇場どらま館,,,,,
映像,2007,8,,,,,,,,映画「横濱ブルース24時間の女鳴海マリ子」,,,,,,
おぼんろ,2008,4,16,,2008,4,20,,,第3回本公演「月が、」,タイニイアリス,,,,,
客演,2008,12,13,,2008,12,14,,,東京バレエ団「ザ・カブキ」,東京文化会館,https://www.nbs.or.jp/stages/0812_kabuki/index.html,https://www.nbs.or.jp/stages/0812_kabuki/images/main-img.jpg,東京バレエ団,,
おぼんろ,2008,7,30,,2008,8,3,,,おぼんろ番外編公演3.8「さいなら！」,池袋シアターグリーン,,,,,
おぼんろ,2008,6,15,,2008,6,15,,,PPOI喜劇祭参加作品　おぼんろ番外公演3.5「怒って怒って」,花まる学習会王子小劇場,,,,,
演出,2008,10,25,,2008,10,26,,,ParkParkShow～人は見かけにヨロレイヒ～,青山円形劇場,http://stage.corich.jp/stage/10423,https://stage-image.corich.jp/img_stage/l/769/stage7690_1.jpg?669529,東京探偵団,,
おぼんろ,2009,4,9,,2009,4,12,,,第4回本公演「鬼桃伝」,ウエストエンドスタジオ,,,,,
おぼんろ,2009,12,17,,2009,12,27,,,第5回本公演「海ノ底カラ星ヲ見上ゲヨ」,サンモールスタジオ,,,,,
客演,2009,2,6,,2009,2,15,,,コマツ企画　冬の9と1/2公演「汝、隣人に声をかけよ」,花まる学習会王子小劇場,http://stage.corich.jp/stage/10711,https://stage-image.corich.jp/img_stage/l/790/stage7907_1.jpg?506049,コマツ企画,,
客演,2009,9,25,,2009,9,27,,,東京バレエ団「ラ・バヤテール」,東京文化会館,https://www.nbs.or.jp/stages/0909_labayadere/index.html,,,,
おぼんろ,2009,10,29,,2009,10,30,,,おぼんろ番外編公演4.5「銃の涙」,早稲田大学27号館小野記念講堂,http://obonro-zyunonamida.seesaa.net/,,,,
