Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
出来事,1989,11,1,,,,,,,ハヂメ　爆誕,,,,,,
出来事,1984,5,19,,,,,,,僕氏＠管理人　爆誕,,,,,,
出来事,2013,7,8,,,,,,,KagoshimaniaXのサイト構想が生まれる,,,,,,
出来事,2014,9,15,,,,,,,KagoshimaniaXドメイン取得,,,,,,
出来事,2015,8,2,,,,,,,夏の人気定番記事！　柳川氷室のかき氷！,,http://www.kagoshimaniax.com/archives/913,,,,
出来事,2015,8,17,,,,,,,谷山のピエロ記事がバズる,,http://www.kagoshimaniax.com/archives/2322,,,,
出来事,2015,12,24,,,,,,,不動の人気記事　「相席屋レポ」が生まれる,,http://www.kagoshimaniax.com/archives/3434,,,,
出来事,2016,5,3,,,,,,,和久氏による「大人な宿泊記事」の紹介,,http://www.kagoshimaniax.com/archives/4566,,,,
出来事,2016,6,4,,,,,,,大人なガチャの記事を出すもGoogle先生からお叱りをうける,,,,,,
出来事,2016,11,26,,,,,,,伊佐の「もみじ祭り」を救った温かいインターネットのお話,,http://www.kagoshimaniax.com/archives/7235,,,,
出来事,2017,1,1,,,,,,,いきなりステーキで１kgの肉を完食！,,http://www.kagoshimaniax.com/archives/7635,,,,
出来事,2017,3,30,,,,,,,世界遺産スタバで一番乗りの「ドヤり」,,http://www.kagoshimaniax.com/archives/8643,,,,
出来事,2017,4,1,,,,,,,エイプリルフール記事ともコラボする,,http://www.kagoshimaniax.com/archives/8720,,,,
