Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,2019,,,,now,,,,,令和,,,,,background,
日本の年号,1989,,,,2018,,,,,平成,,,,,background,
日本の年号,1926,,,,1988,,,,,昭和,,,,,background,
出版・自主規制団体,1963,,,,now,,,,,出版倫理協議会,,,,,,
映画・自主規制団体,1949,,,,1956,,,,,映画倫理規程管理委員会（旧映倫）,,,,,,
自主規制団体,1956,,,,1854,,,,,オーム,,,,,,
文学,1951,,,,,,,,,チャタレイ事件,「わいせつの三要素」の提示,,,,,
文学,1959,,,,,,,,,悪徳の栄え事件,,,,,,
文学,1980,,,,,,,,,四畳半襖の下張事件,,,,,,
映画,,,,,,,,,,,,,,,,
映画,,,,,,,,,,,,,,,,
映画,,,,,,,,,,,,,,,,
映画,,,,,,,,,,,,,,,,
映画,,,,,,,,,,,,,,,,
出来事,1799,,,,,,,,,ボルタの電池,,,,,,
出来事,1836,,,,,,,,,ダニエル電池,,,,,,
出来事,1800,,,,,,,,,カーライルの水の電気分解,,,,,,
出来事,1821,,,,,,,,,ゼーベック効果,,,,,,
出来事,1834,,,,,,,,,ペルチェ効果,,,,,,
出来事,1826,,,,,,,,,オームの法則,,,,,,
出来事,1845,,,,,,,,,キルヒホッフの法則,,,,,,
出来事,1820,,,,,,,,,エルステッドの発見,,,,,,
