Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
yamaryo歴,1995,,,,,,,,,yamaryo、爆誕,兵庫県にて産声を上げる。実家は岡山だが、産婦人科が兵庫県であった。,,,,,
yamaryo歴,1996,,,,2000,,,,,その結果…,地図(道路地図)を見始める。,,,,,
yamaryo歴,1996,,,,2000,,,,,保育園では…,"１日に何回も教室から抜け出すなどし
て先生によく迷惑をかけていた。",,,,,
yamaryo歴,1996,,,,2000,,,,,この頃夢中だったもの,鉄道(主にトーマス)地図、ドラえもん。将来の夢は レスキュー隊、警察官。,,,,,
yamaryo歴,1999,,,,,,,,,幼稚園年少,バスやトラックに興味を持ちはじめ、時刻 表を見始める。この頃から６４の電車でGOで遊びだす( 自分あてに買ってもらった初のゲーム)平行してプラレー ルデビュー。,,,,,
yamaryo歴,2000,,,,,,,,,幼稚園年長,"地図好きから地図マニアにラン
クアップ。覚えのある土地では親に道を教え
るようになる。クレヨンしんちゃん、サザエさんにどは
まりする。将来の夢がバス運転手にかわる。",,,,,
yamaryo歴,2001,,,,2004,,,,,小学校低学年,将来の夢がトラック運転手にかわる。,,,,,
yamaryo歴,2001,,,,,,,,,このころは…,"習い事で硬筆とスイミングスクールに通い後に空手に変更。理科の授業で
メスシリンダーを悪ふざけでみそシュレッダーって覚えて怒られる。頭文字Dにはまりユーロビートに興味を持ちはじめる。",,,,,
yamaryo歴,2004,,,,2007,,,,,小学校高学年,"プラレール卒業、しばらくゲームをしなくなる。小遣い貯めて関西の道路地図や大型自動車の攻
略本を買う、マニアからオタクにランクアップ、塾に通いだす。小学校時代は結構やんちゃな性格であった。",,,,,
yamaryo歴,2004,,,,,,,,,人生初の救急車,,,,,,
yamaryo歴,2004,,,,,,,,,ご本人のコメント,"「この頃から今日に至るまで人付き合いがめちゃく
ちゃ下手(笑)行事の時は脇役を好んでた」",,,,,
yamaryo歴,2008,,,,2009,,,,,中学1年,塾以外の習い事をやめる、ps2のデコトラ伝説 や東京バス案内に５年近くハマることになる。,,,,,
yamaryo歴,2009,,,,2010,,,,,中学２年,近所の先輩と運送会社に遊びに行きはじめる。同時に凸チャリをはじめる。JPOPに興味を持ちはじめる、別の運送会社へ３日間の職場体験、この辺からトラックに対する情熱がます一方で親や担任と将来のあり方への対立が始まる。,,,,,
yamaryo歴,2009,,,,,,,,,謎エピソード,冬場に教室の温度計を窓枠の外に出して怒られる。,,,,,
yamaryo歴,2010,,,,2011,,,,,中学3年,"Skype、Twitterを始める。親との対立激化。東北の震災をきっかけにトラック運転手以外の仕事
を考えなくなる。",,,,,
yamaryo歴,2010,,,,,,,,,中学時代の闇,部活内や同 級生と共通する話題や趣味に興味を示さなくなった。,,,,,
yamaryo歴,2011,,,,2012,,,,,高校１年,"担任がいろんな意味で面白かったのが印象的。
親に介護のカリキュラムを受けるように進められたが即
却下。",,,,,
yamaryo歴,2012,,,,2013,,,,,高校２年,風紀の副委員長を務める。進路学習に一貫でインターンシップを実施。もちろん運送会社を希望。３ 月ぐらいに今の会社の存在を知ることに。,,,,,
yamaryo歴,2013,,,,2014,,,,,高校３年,親との対立激化第２弾。時期的に結構ガチ、なんとか反対を押しきって今の会社へ面接、１週間後に内定を得る。,,,,,
yamaryo歴,2013,,,,,,,,,初恋…そして,初めての好きな子ができたけど振られる。,,,,,
yamaryo歴,2013,,,,,,,,,高校時代を振り返って,自分の考えを通す大変さを思い知らされた。,,,,,
yamaryo歴,2014,,,,2015,,,,,入社１年目,会社のお局にしごかれて辞めるように促されるが、何とか耐えしのぐ。,,,,,
yamaryo歴,2015,,,,2016,,,,,入社２年目,仕事が慣れた頃に新人を教える、１週間でやめられる、年末前に中途の年上Aを教えて独り立ちしてもらえたが、後に仕事中に逆ギレされて上司にブチギレ。,,,,,
yamaryo歴,2016,,,,2017,,,,,入社３年目,"中型免許取得して半年ほどで今まで２t車でしていた仕事を中途の年上Bに教えて卒業し、４t車に昇格
、新たに仕事を覚える。",,,,,
yamaryo歴,2016,,,,,,,,,愛車との出会い,,,,,,
yamaryo歴,2017,,,,2018,,,,,入社４年目,"正月明けに事故に遭い、トラックが約半年入院。怪我はしなかったが精神的につらかっ
た。",,,,,
yamaryo歴,2017,,,,,,,,,謎エピソード２,深夜に店舗納品しているときに路頭に迷って倒れた酔っ ぱらいを助ける,,,,,
yamaryo歴,2018,,,,2019,,,,,入社５年目,"トラックがなおったと同時に次の仕事を覚える。トラックを「臨海號(のぞみ)」と命名すると同時にトラッ
ク好きの集まりに加わる。",,,,,
yamaryo歴,2018,,,,,,,,,NOAとの出会い,ディスコードを始めると同時にNOAに加入。,,,,,
yamaryo歴,2018,,,,,,,,,仕事内容の変化,ここから定期の仕事(時間、ルート、店舗、品物 が決まってる)からフリードライバーになり主にスポット やイレギュラーの対応を任される。,,,,,
yamaryo歴,2019,,,,2020,,,,,入社６年目,PCやインターフェースの導入。,,,,,
yamaryo歴,2019,,,,,,,,,愛車との別れ、そして出会い,新車で出会って３年３ヶ月間手塩にかけて た「臨海號」が強制的に協力会社に嫁に出されると同時 に新車「２代目臨海號」をもらって憂鬱になる。,,,,,
世界の出来事,2001,,,,,,,,,クレヨンしんちゃん禁止条例,,,,,,
世界の出来事,2011,,,,,,,,,東日本大震災,,,,,,
世界の出来事,1997,,,,,,,,,映画「タイタニック」が大ヒット,,,,,,
世界の出来事,1999,,,,,,,,,「だんご３兄弟」人気,,,,,,
世界の出来事,2000,,,,,,,,,「プレイステーション2」発売,,,,,,
世界の出来事,2001,,,,,,,,,USJが開園,,,,,,
世界の出来事,2002,,,,,,,,,タマちゃん、多摩川に現れる,,,,,,
世界の出来事,2005,,,,,,,,,郵政民営化,,,,,,
世界の出来事,2008,,,,,,,,,Iphone3G発売,,,,,,
世界の出来事,2014,,,,,,,,,笑っていいとも!放送終了,,,,,,
世界の出来事,2015,,,,,,,,,TPP交渉が大筋で合意,,,,,,
世界の出来事,2016,,,,,,,,,SMAP解散,,,,,,
