Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
Japanese era,1588,,,,1868,10,22,,,Edo,,,,,,
Japanese era,1868,10,23,,1912,7,30,,,Meiji,,,,,,
Japanese era,1912,7,30,,1926,12,24,,,Taisho,,,,,,
Japanese era,1926,12,25,,1989,1,7,,,Showa,,,,,,
Japanese era,1989,1,8,,2019,4,30,,,Heisei,,,,,,
Japanese era,2019,5,1,,now,,,,,Reiwa,,,,,,
History,1776,7,4,,,,,,,US Declaration of Independence,,,,,,
History,1914,7,28,,1918,11,11,,,World War I,,,,,,
History,1929,,,,1939,,,,,Great Depression,,,,,,
History,1939,9,1,,1945,9,2,,,World War II,,,,,,
History,1961,4,12,,,,,,,Yuri Gagarin into outer space,,,,,,
History,1963,8,28,,,,,,,Martin Luther King Jr. speech,,,,,,
History,1969,7,20,,,,,,,Moon landing,,,,,,
History,1986,12,,,1991,2,,,,Japanese asset price bubble,,,,,,
History,2001,9,11,,,,,,,September 11 attacks,,,,,,
History,2007,,,,2008,,,,,Financial crisis,,,,,,
History,2011,3,11,,,,,,,Tōhoku earthquake,,,,,,
History,2020,3,11,,,,,,,COVID-19 pandemic,,,,,,
Industry,1760,,,,1830,,,,,Industrial Revolution,,,,,,
Industry,1847,2,11,,1931,10,8,,,Thomas Alva Edison,,,https://upload.wikimedia.org/wikipedia/commons/9/9d/Thomas_Edison2.jpg,,,
Industry,1858,,,,,,,,,First commercial oil well,,,,,,
Industry,1869,,,,,,,,,First commercial plastic,,,,,,
Industry,1870,,,,1914,,,,,Second Industrial Revolution,,,,,,
Industry,1973,,,,,,,,,Oil crisis,,,,,,
Industry,1938,,,,,,,,,Burgan oil field discovery,"Kuwait, Middle East",,,,,
Industry,1965,,,,,,,,,Plastic bag,,,,,,
Car,1863,7,30,,1947,4,7,,,Henry Ford,,,https://upload.wikimedia.org/wikipedia/commons/1/18/Henry_ford_1919.jpg,,,
Car,1908,10,1,,,,,,,Ford Model T debuted,,,,,,
Car,1902,10,5,,1984,1,14,,,Ray Kroc,,,https://upload.wikimedia.org/wikipedia/commons/3/3c/Ray_kroc_1976.jpg,,,
Car,1937,8,28,,,,,,,Toyota founded,,,,,,
Car,1975,,,,,,,,,First McDonald's drive-through,,,,,,
Car,2003,7,1,,,,,,,"Tesla, Inc. founded",,,,,,
Phone,1847,3,3,,1922,8,2,,,Alexander Graham Bell,,,https://upload.wikimedia.org/wikipedia/commons/1/10/Alexander_Graham_Bell.jpg,,,
Phone,1876,3,10,,,,,,,Bell's transmission,"""Mr. Watson, come here, I want to see you.""",,,,,
Phone,1955,2,24,,2011,10,5,,,Steve Jobs,,,,,,
Phone,1984,,,,,,,,,"First commercial mobile phone ""DynaTAC 8000X""",,,https://upload.wikimedia.org/wikipedia/commons/7/74/DynaTAC8000X.jpg,,,
Phone,1991,,,,,,,,,First commercial 2G,,,,,,
Phone,2000,11,1,,,,,,,"First mass-market camera phone ""J-SH04""",,,https://upload.wikimedia.org/wikipedia/commons/3/38/Sharp_J-SH04_CP%2B_2011.jpg,,,
Phone,2001,10,1,,,,,,,First commercial 3G,,,,,,
Phone,2006,4,,,,,,,,First commercial 4G,,,,,,
Phone,2007,1,9,,,,,,,First iPhone announcement,,,,,,
Phone,2019,4,3,,,,,,,First commercial 5G,,,,,,
Internet,1975,4,4,,,,,,,Microsoft founded,,,,,,
Internet,1976,4,1,,,,,,,Apple founded,,,,,,
Internet,1990,12,20,,,,,,,First web site (WWW),,,,,,
Internet,1994,7,5,,,,,,,Amazon founded,,,,,,
Internet,1998,9,4,,,,,,,Google founded,,,,,,
Internet,2003,,,,,,,,,Facebook founded,,,,,,
,1951,,,,2031,,,,,P,,,,,,
,1985,,,,2065,,,,,M,,,,,,
,2018,,,,2098,,,,,C,,,,,,
