Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,1989,,,,now,,,,,平成,,,,,,
日本の年号,1926,,,,1988,,,,,昭和,,,,,,
出来事,2011,3,11,,,,,,,東日本大震災,,,,,,
出来事,2008,9,15,,,,,,,リーマン・ショック,アメリカの投資銀行リーマン・ブラザーズ経営破綻,,,,,
文化,2010,,,,now,,,,,ていねいな暮らし,,,,,,
文化,2010,12,27,,,,,,,『人生がときめく片づけの魔法』（著 近藤麻理恵）,,,,,,
出来事,1995,1,17,,,,,,,阪神・淡路大震災,,,,,,
出来事,1995,3,20,,,,,,,地下鉄サリン事件,,,,,,
出来事,2020,3,,,now,,,,,新型コロナウイルス(COVID19),,,,,,
アニメ/漫画/ゲーム,1995,10,4,,1996,3,27,,,新世紀エヴァンゲリオン,,,,,,
アニメ/漫画/ゲーム,2011,1,7,,2011,4,22,,,魔法少女まどか☆マギカ,,,,,,
文化,2007,,,,2017,,,,,日常系,,,,,,
アニメ/漫画/ゲーム,2007,1,,,2007,3,,,,ひだまりスケッチ(アニメ第1期),日常系ブームの始点？,,,,,
アニメ/漫画/ゲーム,2007,4,,,2007,9,,,,らき☆すた(アニメ),,,,,,
アニメ/漫画/ゲーム,2016,,,,,,,,,君の名は。,,,,,,
アニメ/漫画/ゲーム,2013,,,,,,,,,風立ちぬ,,,,,,
アニメ/漫画/ゲーム,2017,,,,,,,,,けものフレンズ,日常系ブームの終点？,,,,,
出来事,2005,2,,,,,,,,YouTube 設立,『ミー・アット・ザ・ズー』（2005年4月23日投稿）,,,,,
出来事,2008,,,,,,,,,Spotify サービス開始,設立は2006年,,,,,
出来事,2004,,,,,,,,,Facebook,,,,,,
出来事,2007,,,,,,,,,iPhone,,,,,,
出来事,2007,,,,,,,,,Netflix ストリーミング配信サービスに移行,,,,,,
出来事,1999,5,,,,,,,,2ちゃんねる サービス提供開始,,,,,,
文化,2005,12,8,,,,,,,AKB48,,,,,,
出来事,2007,,,,,,,,,ニコニコ動画,,,,,,
出来事,2010,,,,,,,,,Instagram,,,,,,
文化,2017,,,,,,,,,インスタ映え(新語・流行語大賞年間大賞),,,,,,
出来事,2007,,,,,,,,,初音ミク 発売,,,,,,
出来事,1991,12,,,,,,,,ソ連崩壊,,,,,,
アニメ/漫画/ゲーム,2013,,,,,,,,,アナと雪の女王,,,,,,
アニメ/漫画/ゲーム,2010,,,,,,,,,ダンガンロンパ,,,,,,
アニメ/漫画/ゲーム,1997,,,,,,,,,ONE PIECE 連載開始,,,,,,
アニメ/漫画/ゲーム,2001,,,,,,,,,どうぶつの森(N64),,,,,,
アニメ/漫画/ゲーム,2020,3,,,,,,,,あつまれ どうぶつの森,,,,,,
アニメ/漫画/ゲーム,2017,,,,,,,,,PUBG,,,,,,
アニメ/漫画/ゲーム,2019,,,,,,,,,Apex Legends,,,,,,
アニメ/漫画/ゲーム,2017,,,,,,,,,フォートナイト,,,,,,
アニメ/漫画/ゲーム,2012,,,,,,,,,パズル&ドラゴンズ,,,,,,
アニメ/漫画/ゲーム,2013,,,,,,,,,モンスターストライク,,,,,,
アニメ/漫画/ゲーム,2014,,,,,,,,,ディズニー ツムツム,,,,,,
アニメ/漫画/ゲーム,2016,,,,,,,,,Pokémon GO,,,,,,
アニメ/漫画/ゲーム,2013,,,,,,,,,妖怪ウォッチ,,,,,,
出来事,2011,,,,,,,,,LINE,,,,,,
出来事,2006,,,,,,,,,Twitter,,,,,,
出来事,2016,,,,,,,,,SMAP解散,,,,,,
