Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
キャンペーン変更,2019,5,7,,2019,5,31,,,"工事費有料・dポイント最大20,000pt",,,,,,
キャンペーン変更,2019,6,1,,2019,7,31,,,"工事費無料・dポイント最大10,000pt",,,,,,
MTG日程,2019,5,24,,,,,,,5月月次,,,,,,
MTG日程,2019,5,16,,,,,,,キックオフ,,,,,,
イベント,2019,6,1,,,,,,,ギガホ・ギガライト開始,,,http://www.westatic.com/img/dict/dkijt/guericke_test2.jpg,,,
イベント,2019,7,1,,,,,,,事業者間転用開始,,,,,,
イベント,2019,10,1,,,,,,,dカードお支払い割開始,dカード年会費永年無料開始,,,,,
キャンペーン変更,2019,8,1,,2019,8,31,,,"工事費有料・dポイント最大20,000pt(事業者変更も20,000pt)",,,,,,
キャンペーン変更,2019,9,1,,2020,7,31,,,"工事費無料・dポイント最大10,000pt(事業者変更は5,000pt)",,,,,,
キャンペーン変更,2020,8,1,,2020,8,31,,,"工事費有料・dポイント最大20,000pt(事業者変更も20,000pt)",,,,,,
キャンペーン変更,2020,9,1,,,,,,,"工事費無料・dポイント最大10,000pt(事業者変更は5,000pt)",,,,,,
イベント,2019,9,13,,,,,,,iPhone11予約開始,,,,,,
イベント,2019,9,20,,,,,,,iPhone11販売開始,,,,,,
キャンペーン変更,2019,8,21,,,,,,,dキッズ・コソピー対象で13ヶ月無料開始,,,,,,
担当期間,2019,4,1,,2019,6,30,,,西町・東札幌,,,,,,
担当期間,2019,7,1,,2019,8,31,,,札幌八軒・南郷,,,,,,
担当期間,2019,8,30,,2019,9,7,,,入院期間,,,,,,
担当期間,2019,8,30,,2019,9,29,,,療養期間,,,,,,
イベント,2019,10,1,,,,,,,消費税増税(8%-10%),,,,,,
担当期間,2019,9,30,,2019,10,31,,,内勤,,,,,,
担当期間,2019,11,1,,2020,3,31,,,CRTM札幌（ビジ四）,,,,,,
担当期間,2020,4,1,,,,,,,CRTM札幌（CRTM）,,,,,,
イベント,2020,3,23,,,,,,,ドコモ光 10G 受付開始,,,,,,
イベント,2020,3,25,,,,,,,5Gギガホ 受付開始,,,,,,
