Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
出来事,1986,,,,,,,,,神経回路地図の発見,線虫の神経回路地図が発見されたことが、ダイブ技術の始まりになる。,,,,,
出来事,2035,,,,,,,,,ダイブの技術が誕生,元々はPTSDや幻肢痛治療のために誕生した技術だったが、眠り病の出現によりその技術が応用されることとなる,,,,,
出来事,2046,,,,,,,,,最初の眠り病患者発見,,,,,,
ルネ,2048,12,24,,,,,,,誕生(0),,,,,,
ルネ,2056,,,,,,,,,右前頭骨を撃たれ重傷を負う(8),,,,,,
ルネ,2057,,,,,,,,,エトムント・シュタイナーに引き取られる,時期不明,,,,,
アダム,2058,3,12,,,,,,,誕生(0),,,,,,
ルネ,2061,,,,,,,,,マフィア？に誘拐される＆アンジェラに助けられる(13?),CNASが治療する人間を選別していることを知る,,,,,
アンジェラ,2061,,,,,,,,,ルネの専属コンパニオンになる,,,,,,
ルネ,2063,,,,,,,,,眠り病がホログラムが感染源であると判明(15?),エトムント・シュタイナーに感染源の情報を公表するよう迫ったが、感染源の秘匿は政府の決定であり、覆すことができなかった。,,,,,
ルネ,2064,,,,,,,,,幼いジョージと約束をする,時期不明。髪型から15歳ごろと思われる。,,,,,
出来事,2066,3,2,,,,,,,スパイスコード発見,,,,,,
ルネ,2066,,,,,,,,,度重なるダイブにより心神耗弱状態になる(18),アンジェラの家で療養し、愛を育む,,,,,
出来事,2072,,,,,,,,,ロザリオ裁判,LIMBOのログに証拠能力が認められた事件。眠り病加療中の患者が連続殺人の加害者と分かり、懲役137年の判決を受けた。,,,,,
ハリー,2074,,,,,,,,,誕生・母の死,,,,,,
ロバート,2074,,,,,,,,,「眠り病の治療で切り捨てられた貧困層」,眠り病に関する記事を書く。この記事を読んでいたルネから2086年に告発記事を載せるよう依頼を受ける,,,,,
アダム,2075,,,,,,,,,眠り病で父親が死亡,父親を殴ったのが15歳くらいと想定。21歳までにはすでに死亡しているので、このくらいでは？,,,,,
ロバート,2076,,,,,,,,,「薬剤問題における政府の欺瞞」,眠り病に関する記事を書く。この記事を読んでいたルネから2086年に告発記事を載せるよう依頼を受ける,,,,,
出来事,2077,,,,,,,,,エトムント・シュタイナー死亡,2078年かも？,,,,,
出来事,2078,,,,,,,,,眠り病撲滅,,,,,,
ルネ,2078,,,,,,,,,娘シャーロットの誕生(28),,,,,,
シャーロット,2078,,,,,,,,,誕生(0),,,,,,
アンジェラ,2078,,,,,,,,,死亡,最後のダイブの後目覚めぬまま死亡。子ども見に行く約束は叶わなかった。後に、部下のセスが殺したことが分かる。,,,,,
ハリー,2079,,,,,,,,,トラウマの記憶(5),国立公園にて兄を侮辱され戦う。この記憶にESVが取り付く。,,,,,
アダム,2079,,,,,,,,,国立公園にて連れと遊びに行く(21),長髪で気だるげ。両脇に女性を連れ遊んでいる姿はどこか投げやりにも見える？,,,,,
アダム,2080,,,,,,,,,海軍に入隊,時期不明のため、暫定の年,,,,,
アダム,2083,,,,,,,,,気にかけてくれた大佐の死,時期不明。入隊数年後に爆発物処理の事故でアダムを庇って死亡。,,,,,
出来事,2084,,,,,,,,,眠り病の研究者が病死する,共同研究者によって、新しいタイプの眠り病に感染させられて死亡。不審に思ったトラヴィスの個人的調査により殺人の可能性があることが判明。,,,,,
出来事,2086,3,2,,,,,,,スパイスコード発見20周年式典,エトムント・シュタイナー博士によりスパイスコードが発見。記憶を消すことになるため、治療を受けた患者は病から回復しても、苦しむことになる。,,,,,
出来事,2086,1,,,,,,,,8年ぶりの感染者が発見,,,,,,
アダム,2086,2,16,,2086,3,2,5:13,,不発弾爆発事故(28),艦隊の任務で船外作業中に事故に巻き込まれ右脚を失い、２週間昏睡。その間、父を殴打し昏倒させたトラウマの夢（LIMBO）の中でゾエに出会い（知らぬまま）コードを打たれる。,,,,,
ルネ,2086,4,,,,,,,,アダムと出会う(37),,,,,,
アダム,2086,6,24,,,,,,,ハリーの眠り病感染が発覚,220人目の感染者,,,,,
アダム,2089,,,,,,,,,昏睡状態からの覚醒(31),2090年かも,,,,,
アダム,2091,,,,,,,,,ダイバー定例会(33),,,,,,
ルネ,2091,,,,,,,,,ダイバー定例会(42),,,,,,
