Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
グラブル,2019,2,9,13:00,2019,2,13,20:59,,ブレイブグラウンド,火有利連隊戦,,,,,
グラブル,2019,2,14,19:00,2019,2,21,23:59,,決戦！星の古戦場,光有利ギスブル,,,,,
グラブル,2019,2,22,17:00,2019,2,27,20:59,,失楽園 -どうして空は蒼いのか Part.Ⅱ-,光有利シナリオイベント,,,,,
グラブル,2019,2,22,,,,,,,5th Anniversary 前夜祭キャンペーン,輝き上限UP(ﾟ∀ﾟ)ｳﾏｳﾏ,,,,,
グラブル,2019,4,16,,2019,4,23,,,決戦！星の古戦場,風有利ギスブル,,,,,
FGO,2019,2,6,18:00,2019,2,20,12:59,,ボイス&レターこれくしょん,バレンタインイベント,,,,,
GE3,2019,3,,,,,,,2019 Early Spring,1.2.0 アップデート,,,,,,
ゲーム発売,2019,4,,,,,,,2019 春,ユグドラ・ユニオン スマホ版,,,,,,
プレイ中,2019,2,24,,,,,,,Minecraft Java Edition on Mac,,,,,,
,2019,4,25,,,,,,,Minecraft Java Edition on Mac v1.14,,,,,,
