Group,Group 2,Title,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Detail,Display Date,URL,Image URL,Image Credit,Type,Color
日本の年号,-,令和,2019,,,,now,,,,,,,,,,
日本の年号,-,平成,1989,,,,2019,,,,,,,,,,
日本の年号,-,昭和,1926,,,,1989,,,,,,,,,,
日本の年号,-,大正,1912,,,,1926,,,,,,,,,,
日本の年号,-,明治,1868,,,,1912,,,,,,,,,,
日本の年号,-,江戸,1603,,,,1868,,,,,,,,,,
日本の年号,-,安土桃山時代,1573,,,,1603,,,,,,,,,,
日本の年号,-,室町時代,1334,,,,1573,,,,,,,,,,
日本の年号,-,鎌倉時代,1185,,,,1334,,,,,,,,,,
日本の年号,-,平安時代,794,,,,1185,,,,,,,,,,
日本の年号,-,奈良時代,710,,,,794,,,,,,,,,,
日本の年号,-,古墳時代,250,,,,710,,,,,,,,,,
日本の年号,-,弥生時代,-400,,,,250,,,,,,,,,,
TI,-,誕生,1992,12,5,,,,,,,,,,,,
TI,-,若草幼稚園,1996,4,,,1999,3,,,,,,,,,
TI,-,摩耶小学校,1999,4,,,2005,3,,,,,,,,,
TI,-,上野中学校,2005,4,,,2008,3,,,,,,,,,
TI,-,神戸高校,2008,4,,,2011,3,,,,,,,,,
TI,-,立命館大学,2011,4,,,2016,3,,,,,,,,,
TI,-,シアトルに留学,2012,8,,,2012,12,,,,,,,,,
TI,-,ノースキャロライナに留学,2013,1,,,2013,12,,,,,,,,,
TI,-,ロサンゼルスでインターン,2014,8,,,2014,9,,,,,,,,,
TI,-,グローリー,2016,4,,,now,,,,,,,,,,
TI,-,30歳,2022,12,5,,,,,,,,,,,,
TI,-,40歳,2032,12,5,,,,,,,,,,,,
TI,-,50歳,2042,12,5,,,,,,,,,,,,
TI,-,60歳,2052,12,5,,,,,,,,,,,,
TI,-,70歳,2062,12,5,,,,,,,,,,,,
TI,-,80歳,2072,12,5,,,,,,,,,,,,
イベント,-,東京オリンピック,2020,7,24,,2020,8,9,,,,,,,,
イベント,-,東京パラリンピック,2020,8,25,,2020,9,6,,,,,,,,
イベント,-,北京オリンピック,2022,2,4,,2022,2,20,,,,,,,,
イベント,-,パリオリンピック,2024,7,26,,2024,8,11,,,,,,,,
イベント,-,ロサンゼルスオリンピック,2028,7,21,,2028,8,6,,,,,,,,
イベント,-,同一労働同一賃金施行,2020,4,1,,,,,,,,,,,,
イベント,-,リニア新幹線 (東京 - 名古屋),2027,,,,,,,,,,,,,,
