Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
民間空港の歴史,1936,,,,2005,,,,,ライン・マイン空港（空軍基地）,,,,,,
フランクフルト空港,1936,,,,,,,,,開港,,,,,,
フランクフルト空港,1972,,,,now,,,,,ターミナル1（新中央ターミナル）,,,,,,
フランクフルト空港,1958,,,,now,,,,,ターミナル東,,,,,,
フランクフルト空港,1994,,,,now,,,,,ターミナル2,,,,,,
フランクフルト空港,2022,,,,,,,,,ターミナル3運用開始予定,,,,,,
フランクフルト空港,1945,,,,now,,,,,第1滑走路,,,,,,
フランクフルト空港,1948,,,,now,,,,,第2滑走路,,,,,,
フランクフルト空港,1987,,,,now,,,,,第3滑走路,,,,,,
フランクフルト空港,2011,,,,now,,,,,第4滑走路,,,,,,
ドイツでの出来事,1951,,,,,,,,,ドイツ人の航空旅行に対する制限解除,,,,,,
ドイツでの出来事,1965,,,,,,,,,連合軍から領空権を取り戻す,,,,,,
ドイツでの出来事,1945,,,,,,,,,第二次世界大戦敗北,,,,,,
ドイツでの出来事,1949,,,,,,,,,東西に分裂,,,,,,
ドイツでの出来事,1990,,,,,,,,,再統一,,,,,,
ドイツでの出来事,1992,,,,,,,,,航空自由化,,,,,,
ドイツでの出来事,1999,,,,,,,,,ICE開通,,,,,,
出来事,1939,,,,,,,,,第二次世界大戦開始,,,,,,
出来事,1973,,,,,,,,,オイルショック,,,,,,
出来事,2007,,,,,,,,,世界金融危機,,,,,,
出来事,1903,,,,,,,,,ライト兄弟による初飛行,,,,,,
出来事,1936,,,,,,,,,ダグラスDC-3就航開始,,,,,,
出来事,1943,,,,,,,,,ロッキードコンステレーション（4発大型航空機）初飛行,,,,,,
出来事,1957,,,,,,,,,B707（ジェット旅客機）初飛行,,,,,,
出来事,1969,,,,,,,,,B747（ジャンボジェット）初飛行,,,,,,
出来事,1976,,,,,,,,,超音速航空機（コンコルド）就航開始,,,,,,
出来事,2007,,,,,,,,,A380（総2階建て巨人機）就航開始,,,,,,
出来事,2011,,,,,,,,,B787（中型ジェット機）,,,,,,
出来事,1995,,,,2005,,,,,アジア・オーストラリア・中南米でLCCの企業が相次ぐ,,,,,,
