Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,1989,,,,now,,,,,平成,,,,,,
日本の年号,1926,,,,1988,,,,,昭和,,,,,,
日本の年号,1912,,,,1926,,,,,大正,,,,,,
日本の年号,1868,,,,1912,,,,,明治,,,,,,
日本の年号,1588,,,,1867,,,,,江戸,,,,,,
世界,1789,5,5,,1799,11,11,,,フランス革命,,https://ja.wikipedia.org/wiki/%E3%83%95%E3%83%A9%E3%83%B3%E3%82%B9%E9%9D%A9%E5%91%BD,,,,
世界,1755,,,,1783,,,,,アメリカ独立革命,,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E5%90%88%E8%A1%86%E5%9B%BD%E3%81%AE%E7%8B%AC%E7%AB%8B,,,,
人,1924,3,7,,1993,1,22,,,安部公房,,https://ja.wikipedia.org/wiki/%E5%AE%89%E9%83%A8%E5%85%AC%E6%88%BF,,,,
人,1901,2,1,,1960,11,16,,,クラーク・ゲーブル,,https://ja.wikipedia.org/wiki/%E3%82%AF%E3%83%A9%E3%83%BC%E3%82%AF%E3%83%BB%E3%82%B2%E3%83%BC%E3%83%96%E3%83%AB,,,,
人,1929,5,4,,1993,1,20,,,オードリー・ヘップバーン,,https://ja.wikipedia.org/wiki/%E3%82%AA%E3%83%BC%E3%83%89%E3%83%AA%E3%83%BC%E3%83%BB%E3%83%98%E3%83%97%E3%83%90%E3%83%BC%E3%83%B3,,,,
小説,1860,,,,,,,,,はつ恋 (イワン・ツルゲーネフ),,,,,,
小説,1962,,,,,,,,,砂の女(安部公房),,https://ja.wikipedia.org/wiki/%E7%A0%82%E3%81%AE%E5%A5%B3,,,,
小説,1973,,,,,,,,,箱男(安部公房),,https://ja.wikipedia.org/wiki/%E7%AE%B1%E7%94%B7,,,,
小説,1991,,,,,,,,,カンガルー・ノート(安部公房),,https://ja.wikipedia.org/wiki/%E3%82%AB%E3%83%B3%E3%82%AC%E3%83%AB%E3%83%BC%E3%83%BB%E3%83%8E%E3%83%BC%E3%83%88,,,,
小説,1975,,,,,,,,,笑う月(安部公房),,https://ja.wikipedia.org/wiki/%E7%AC%91%E3%81%86%E6%9C%88,,,,
小説,1956,,,,,,,,,R62号の発明(安部公房),,https://ja.wikipedia.org/wiki/R62%E5%8F%B7%E3%81%AE%E7%99%BA%E6%98%8E,,,,
小説,1600,,,,,,,,,ハムレット(シェイクスピア),,https://ja.wikipedia.org/wiki/%E3%83%8F%E3%83%A0%E3%83%AC%E3%83%83%E3%83%88,,,,
小説,1604,,,,,,,,,リア王(シェイクスピア),,https://ja.wikipedia.org/wiki/%E3%83%AA%E3%82%A2%E7%8E%8B,,,,
小説,1597,,,,,,,,,ロミオとジュリエット(シェイクスピア),,https://ja.wikipedia.org/wiki/%E3%83%AD%E3%83%9F%E3%82%AA%E3%81%A8%E3%82%B8%E3%83%A5%E3%83%AA%E3%82%A8%E3%83%83%E3%83%88,,,,
小説,1594,,,,,,,,,ヴェニスの商人(シェイクスピア),,https://ja.wikipedia.org/wiki/%E3%83%B4%E3%82%A7%E3%83%8B%E3%82%B9%E3%81%AE%E5%95%86%E4%BA%BA,,,,
小説,1606,,,,,,,,,マクベス(シェイクスピア),,https://ja.wikipedia.org/wiki/%E3%83%9E%E3%82%AF%E3%83%99%E3%82%B9_(%E3%82%B7%E3%82%A7%E3%82%A4%E3%82%AF%E3%82%B9%E3%83%94%E3%82%A2),,,,
映画,1939,,,,,,,,,風と共に去りぬ,,https://ja.wikipedia.org/wiki/%E9%A2%A8%E3%81%A8%E5%85%B1%E3%81%AB%E5%8E%BB%E3%82%8A%E3%81%AC_(%E6%98%A0%E7%94%BB),https://upload.wikimedia.org/wikipedia/commons/2/27/Poster_-_Gone_With_the_Wind_01.jpg,,,
映画,1969,,,,,,,,,ロミオとジュリエット,,https://ja.wikipedia.org/wiki/%E3%83%AD%E3%83%9F%E3%82%AA%E3%81%A8%E3%82%B8%E3%83%A5%E3%83%AA%E3%82%A8%E3%83%83%E3%83%88_(1968%E5%B9%B4%E3%81%AE%E6%98%A0%E7%94%BB),https://iwiz-movies.c.yimg.jp/im_siggr56yrHRCb8s.x.GPsskvhQ---x680/c/movies/pict/p/p/26/ae/135067_01.jpg,,,
映画,1942,,,,,,,,,カサブランカ,,https://ja.wikipedia.org/wiki/%E3%82%AB%E3%82%B5%E3%83%96%E3%83%A9%E3%83%B3%E3%82%AB_(%E6%98%A0%E7%94%BB),https://eiga.k-img.com/images/buzz/35005/casablanca_large.jpg,https://eiga.com/news/20121108/5/,,
映画,1962,,,,,,,,,アラビアのロレンス,,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%A9%E3%83%93%E3%82%A2%E3%81%AE%E3%83%AD%E3%83%AC%E3%83%B3%E3%82%B9,https://upload.wikimedia.org/wikipedia/commons/1/1c/Peter_OToole_in_Lawrence_of_Arabia.jpg,,,
映画,1963,,,,,,,,,大脱走,,https://ja.wikipedia.org/wiki/%E5%A4%A7%E8%84%B1%E8%B5%B0,https://img.cinematoday.jp/a/N0066558/_size_640x/_v_1411278952/main.jpg,https://www.cinematoday.jp/news/N0066558,,
映画,1953,,,,,,,,,ローマの休日,,https://ja.wikipedia.org/wiki/%E3%83%AD%E3%83%BC%E3%83%9E%E3%81%AE%E4%BC%91%E6%97%A5,https://upload.wikimedia.org/wikipedia/commons/5/58/Audrey_Hepburn_in_Roman_Holiday_trailer.jpg,,,
映画,1961,,,,,,,,,ティファニーで朝食を,,https://ja.wikipedia.org/wiki/%E3%83%86%E3%82%A3%E3%83%95%E3%82%A1%E3%83%8B%E3%83%BC%E3%81%A7%E6%9C%9D%E9%A3%9F%E3%82%92,https://eigahitottobi.com/wp-content/uploads/2019/07/10489839_843060269050903_3923095747885330141_n-768x725.jpg,https://eigahitottobi.com/article/72547/,,
映画,1964,,,,,,,,,マイフェアレディ,,https://ja.wikipedia.org/wiki/%E3%83%9E%E3%82%A4%E3%83%BB%E3%83%95%E3%82%A7%E3%82%A2%E3%83%BB%E3%83%AC%E3%83%87%E3%82%A3_(%E6%98%A0%E7%94%BB),https://eiga.k-img.com/images/movie/49567/photo/969842666d21df87/640.jpg?1455864205,https://eiga.com/movie/49567/,,
映画,1965,,,,,,,,,サウンドオブミュージック,,https://ja.wikipedia.org/wiki/%E3%82%B5%E3%82%A6%E3%83%B3%E3%83%89%E3%83%BB%E3%82%AA%E3%83%96%E3%83%BB%E3%83%9F%E3%83%A5%E3%83%BC%E3%82%B8%E3%83%83%E3%82%AF_(%E6%98%A0%E7%94%BB),https://www.b-cafe.net/wp-content/uploads/cinema/The%20Sound%20of%20Music.jpg,https://www.b-cafe.net/cinema/2010/05/002192.php,,
