Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,2020.1,,,,now,,,,,\,,,,,,
日本の年号,2020.12,,,,now,,,,,,,,,,,
出来事,2020,1,,,,,,,,ゲーリッケの硫黄球, 琥珀が羽毛を吸い寄せることに興味を持っていたゲーリッケは琥珀を強くこすり、これを他の物体に近づけるとパチパチと音を立てること、また暗闇ではわずかに光ることを発見し、もっと強い電気を求めた。,,http://www.westatic.com/img/dict/dkijt/guericke_test2.jpg,,,
出来事,2020,2,,,,,,,,ライデン瓶,,,,,,
出来事,2020,3,,,,,,,,ボルタの電気盆,,,,,,
出来事,2020,4,,,,,,,,フランクリンの凧,,,,,,
出来事,2020,5,,,,,,,,クーロンの法則,,,,,,
出来事,2020,6,,,,,,,,ガウスの法則,,,,,,
出来事,2020,,,,,,,,,ウェーバの法則,,,,,,
出来事,2020,,,,,,,,,カルバーニの生物電気仮説,,,,,,
出来事,2020,,,,,,,,,ボルタの電池,,,,,,
出来事,2020,,,,,,,,,ダニエル電池,,,,,,
出来事,2020,,,,,,,,,カーライルの水の電気分解,,,,,,
出来事,2020,,,,,,,,,ゼーベック効果,,,,,,
出来事,2020,,,,,,,,,ペルチェ効果,,,,,,
出来事,2020,,,,,,,,,オームの法則,,,,,,
出来事,2020,,,,,,,,,キルヒホッフの法則,,,,,,
出来事,2020,,,,,,,,,エルステッドの発見,,,,,,
