Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,1989,1,,,2019,4,30,,,平成,,,,,,
住宅制度,2000,4,,,,,,,,住宅品質確保促進法 施行,,,,,,
住宅制度,2003,7,1,,,,,,,建築基準法に基づくシックハウス対策に係る法令等 施行,,,,,,
住宅制度,2009,6,4,,,,,,,長期優良住宅の普及の促進に関する法律 施行,,,,,,
省エネ法,2013,4,,,,,,,,改正省エネ法が施行,,,,,,
省エネ法,2015,7,,,,,,,,建築物省エネ法が成立,,,,,,
出来事,1990,10,,,,,,,,政府が地球温暖化防止行動計画を発表,,,,,,
世界,1997,12,,,,,,,,京都議定書(COP3),,,,,,
補助金,2009,11,,,2019,11,,,,太陽光発電、余剰電力の買い取り開始,順次終了,,,,,
補助金,2010,3,,,,,,,,住宅エコポイント申請開始,,,,,,
世界,1992,6,,,,,,,,地球サミット,地球サミットでは、気候変動枠組条約、生物多様性条約への署名が開始されるとともに、環境と開発に関するリオ宣言、アジェンダ21及び森林原則声明の文書が合意された,,,,,
制度,1993,11,,,,,,,,環境基本法の制定,都市・生活公害や身近な自然の減少、更には地球環境問題の進行に対応するため、「公害対策基本法」（1967年制定）を発展的に継承し、環境に関する分野についての国の政策の基本的な方向を示す法律として1993年11月に公布・施行された,,,,,
制度,1999,10,,,,,,,,地球温暖化対策推進法 施行,,,,,,
出来事,2001,1,,,,,,,,中央省庁再編、国交省、経産省、環境省発足,,,,,,
世界,2015,12,,,,,,,,パリ協定(COP21),,,,,,
省エネ法,1992,,,,,,,,,新省エネ,,,,,,
省エネ法,1980,,,,,,,,,旧省エネ基準,昭和55年,,,,,
省エネ法,2000,,,,,,,,,次世代省エネ基準,地域区分ができた,,,,,
省エネ法,2013,,,,,,,,,平成25年基準,1次エネの計算追加,,,,,
住宅制度,2009,,,,,,,,,住宅事業建築主の判断基準,通称：住宅トップランナー制度,,,,,
住宅制度,2014,12,4,,,,,,,低炭素建築物認定制度,都市の低炭素化の促進に関する法律　施行,,,,,
制度,1988,5,,,,,,,,オゾン層保護法,特定物質の規制等によるオゾン層の保護に関する法律,,,,,
世界,1985,3,,,,,,,,ウィーン条約,オゾン層の保護のためのウィーン条約,,,,,
世界,1987,9,,,,,,,,モントリオール議定書,オゾン層を破壊する物質に関するモントリオール議定書,,,,,
映画・本,2006,,,,,,,,,不都合な真実,,,,,,
映画・本,2017,7,,,,,,,,不都合な真実2,,,,,,
制度,2001,4,,,,,,,,グリーン購入法 施行,国等による環境物品等の調達の推進に関する法律,,,,,
制度,2010,3,,,,,,,,地球温暖化対策基本法案,,,,,,
プロジェクト,2005,8,,,,,,,,クールビズ、ウォーム・ビズ,環境省,,,,,
プロジェクト,2005,,,,2009,,,,,チーム・マイナス6%,2009年まで,,,,,
プロジェクト,2009,1,14,,,,,,,チャレンジ25,,,,,,
制度,2003,7,,,,,,,,環境保全活動・環境教育推進法 公布, 環境の保全のための意欲の増進及び環境教育の推進に関する法律,,,,,
補助金,2016,3,,,,,,,,ZEH支援事業スタート,,,,,,
世界,2000,9,,,,,,,,MDGs(ミレニアム開発目標),,,,,,
世界,2015,9,,,,,,,,国連サミットSDGs(持続可能な開発目標),持続可能な開発のための2030アジェンダ,,,,,
住宅制度,2004,,,,,,,,,CASBEE建築評価員制度開始,,,,,,
住宅制度,2007,,,,,,,,,CASBEE戸建評価員制度開始,,,,,,
プロジェクト,2001,,,,2004,,,,,自立循環型住宅の開発研究,,,,,,
映画・本,2005,,,,,,,,,自立循環型住宅への設計ガイドライン　発行,,,,,,
プロジェクト,2001,,,,,,,,,,,,,,,
