Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,1588,,,,1867,,,,,江戸,,,,,,
日本の年号,1868,,,,1912,,,,,明治,,,,,,
日本の年号,1912,,,,1926,,,,,大正,,,,,,
日本の年号,1926,,,,1988,,,,,昭和,,,,,,
日本の年号,1989,,,,2019,4,30,,,平成,,,,,,
日本の年号,2019,5,1,,now,,,,,令和,,,,,,
中国の王朝・政権,1368,,,,1644,,,,,明,,https://ja.wikipedia.org/wiki/%E6%98%8E,,,,
中国の王朝・政権,1616,,,,1912,,,,,清,,https://ja.wikipedia.org/wiki/%E6%B8%85,,,,
中国の王朝・政権,1912,,,,now,,,,,中華民国,,,,,,
中国の王朝・政権,1949,,,,now,,,,,中華人民共和国,,,,,,
中国の出来ごと,1937,7,7,,1945,9,9,,,日中戦争,,https://ja.wikipedia.org/wiki/%E6%97%A5%E4%B8%AD%E6%88%A6%E4%BA%89,,,,
中国の出来ごと,1966,5,,,1976,10,,,,文化大革命,,https://ja.wikipedia.org/wiki/%E6%96%87%E5%8C%96%E5%A4%A7%E9%9D%A9%E5%91%BD,,,,
楊式太極拳,1799,,,,1872,,,,,楊露禅,"「大架式」（別名：老架108式）、「太極小架子」を伝える。<br>
<br>
子：楊鳳侯（長男：早亡）、楊班侯（次男）、楊健侯（三男）<br>
孫：楊澄甫<br>
幼馴染：武禹襄（大架式を伝授）",https://ja.wikipedia.org/wiki/%E6%A5%8A%E9%9C%B2%E7%A6%85,http://www.taijigen.com/UploadFiles/Temp/20161024/5441571268968740650.gif,,,
楊式太極拳,1837,,,,1892,,,,,楊班侯,"甥の楊兆林（楊鳳侯の子）にも太極拳を指導。<br>
言い伝え『陳家の拳を、楊家が伝えた。楊家の拳を、班侯が伝えた』『露禅創天下、班侯打天下、健侯、澄甫伝天下』<br>
<br>
父：楊露禅<br>
子：兆鵬<br>
弟子：白忠信、凌山、呉全佑（満洲人。小架式を伝授。後の呉式に。）",https://ja.wikipedia.org/wiki/%E6%A5%8A%E7%8F%AD%E4%BE%AF,http://www.taijiren.cn/UploadFile/UserHead/20100304154941353.jpg,,,
楊式太極拳,1843,,,,1917,,,,,楊健侯,"「中架」を完成。（「小架子」を元に、健康を配慮した型）<br>
<br>
父：楊露禅<br>
子：楊少侯（長男）、楊兆元（次男）、楊澄甫（三男）
",https://ja.wikipedia.org/wiki/%E6%A5%8A%E5%81%A5%E4%BE%AF,http://www.taijigen.com/UploadFiles/UserHead/20141001105318294.jpg,,,
楊式太極拳,1883,,,,1937,,,,,楊澄甫,"「大架子（85式）」を完成。「十三要點」をまとめる。南京中央国術館の武当門門長に就任。<br>
<br>
父：楊健侯<br>
子：楊振銘、楊振基、楊振鐸、楊振国<br>
親戚：趙斌、傅鍾文",,,,,
楊式太極拳,,,,,,,,,,,,,,,,
