Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
主なストーリー,1989,,,,now,,,,,平成,,,,,,
主なストーリー,1926,,,,1988,,,,,昭和,,,,,,
主なストーリー,1912,,,,1926,,,,,大正,,,,,,
主なストーリー,1868,,,,1912,,,,,明治,,,,,,
主なストーリー,1588,,,,1867,,,,,江戸,,,,,,
主なストーリー,1745,2,18,,1827,3,5,,,ボルタ,,,,,,
主なストーリー,1777,4,30,,1855,2,23,,,ガウス,,,,,,
主なストーリー,1789,3,16,,1854,7,6,,,オーム,,,,,,
登場人物,1660,,,,,,,あああ,,ゲーリッケの硫黄球, 琥珀が羽毛を吸い寄せることに興味を持っていたゲーリッケは琥珀を強くこすり、これを他の物体に近づけるとパチパチと音を立てること、また暗闇ではわずかに光ることを発見し、もっと強い電気を求めた。,,http://www.westatic.com/img/dict/dkijt/guericke_test2.jpg,,,
登場人物,1746,,,,,,,,,ライデン瓶,,,,,,
登場人物,1775,,,,,,,,,ボルタの電気盆,,,,,,
登場人物,1752,,,,,,,,,フランクリンの凧,,,,,,
登場人物,1789,,,,,,,,,クーロンの法則,,,,,,
登場人物,1850,,,,,,,,,ガウスの法則,,,,,,
登場人物,1850,,,,,,,,,ウェーバの法則,,,,,,
登場人物,1791,,,,,,,,,カルバーニの生物電気仮説,,,,,,
登場人物,1799,,,,,,,,,ボルタの電池,,,,,,
登場人物,1836,,,,,,,,,ダニエル電池,,,,,,
事件,1800,,,,,,,,,カーライルの水の電気分解,,,,,,
事件,1821,,,,,,,,,ゼーベック効果,,,,,,
事件,1834,,,,,,,,,ペルチェ効果,,,,,,
事件,1826,,,,,,,,,オームの法則,,,,,,
事件,1845,,,,,,,,,キルヒホッフの法則,,,,,,
事件,1820,,,,,,,,,エルステッドの発見,,,,,,
