Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
中東の王朝,632,,,,661,,,,,正統カリフ4代,スンナ派,,,,,
中東の王朝,632,,,,634,,,,,アブー・バクル,,,,,,
中東の王朝,634,,,,644,,,,,ウマル・イブン・ハッターブ,,,,,,
中東の王朝,644,,,,656,,,,,ウスマーン・イブン・アッファーン,,,,,,
中東の王朝,656,,,,661,,,,,アリー・イブン・アビー・ターリブ,,,,,,
中東の王朝,661,,,,750,,,,,ウマイヤ朝,スンナ派（シーア派の一派カイサーン派が反発）,,,,,
中東の王朝,661,,,,680,,,,,ムアーウィア,,,,,,
中東の王朝,685,,,,705,,,,,アブドゥルマリク,,,,,,
中東の王朝,750,,,,1517,,,,,アッバース朝,スンナ派,,http://www.westatic.com/img/dict/dkijt/guericke_test2.jpg,,,
中東の王朝,932,,,,1062,,,,,ブワイフ朝,シーア派の一派十二イマーム派,,,,,
中東の王朝,873,,,,999,,,,,サーマーン朝,イラン系・スンナ派（シーア派排撃）,,,,,
中東の王朝,1077,,,,1231,,,,,ホラズム・シャー朝,アッバース朝を受け継ぐ？,,,,,
中東の王朝,1038,,,,1308,,,,,セルジューク朝,スンナ派×トルコ系遊牧民,,,,,
中東の王朝,1370,,,,1507,,,,,ティムール朝,モンゴル×イスラム,,,,,
中東の王朝,1299,,,,1922,,,,,オスマン帝国,多数の宗教を許容、中央集権的な軍事国家,,,,,
中東の王朝,1501,,,,1736,,,,,サファヴィー朝,シーア派の一派十二イマーム派,,,,,
中東の王朝,1736,,,,1796,,,,,アフシャール朝,,,,,,
中東の王朝,1779,,,,1925,,,,,ガージャール朝,シーア派イスラームとの癒着,,,,,
中東の王朝,1979,,,,now,,,,,イラン・イスラム共和国,,,,,,
