Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
出来事,992,,,,now,,,,,"ホグワーツ創設
",,,,,,
教職員の変遷,1800,,,,now,,,,,カスバート・ビンズ、魔法史教授就任,,,,,,
教職員の変遷,1895,9,1,,1945,7,15,,,ガラテア・メリィソート、闇の魔術に対する防衛術教授,,,,,,
教職員の変遷,1899,12,"
",,1993,7,15,,,シルバヌス・ケルトバーン、魔法生物飼育学教授就任,,,,,,
教職員の変遷,1920,,,,1981,7,15,,,ホラス・スラグホーン、魔法薬学教授就任,,,,,,
教職員の変遷,1927,,,,1940,11,31,,,アルバス・ダンブルドア、闇の魔術に対する防衛術教授就任,,,,,,
教職員の変遷,1940,12,,,1955,"
","
",,,アルバス・ダンブルドア、アルバス変身術教授就任,,,,,,
教職員の変遷,1940,9,1,,1954,7,15,,,アーマンド・ディペット、校長就任,,,,,,
教職員の変遷,1940,,,,1954,,,,,ハーバート・ビーリー、薬草学教授就任,,,,,,
教職員の変遷,1950,,,,now,,,,,フィリウス・フリットウィック、呪文学教授就任？,,,,,,
教職員の変遷,1954,,,,now,,,,,ポモーナ・スプラウト、薬草学教授就任,,,,,,
教職員の変遷,1955,9,1,,1997,6,30,,,アルバス・ダンブルドア、校長就任,,,,,,
教職員の変遷,1968,"
",,,now,,,,,ルビウス・ハグリッド、森番就任,,,,,,
教職員の変遷,1970,,,,now,,,,,セプティマ・ベクトル、数占い学教授就任,,,,,,
教職員の変遷,1956,12,,,1998,5,2,,,ミネルバ・マクゴナガル、変身術教授就任,,,,,,
教職員の変遷,1960,,,,now,,,,,マダム・フーチ、飛行術教授就任,,,,,,
教職員の変遷,1970,,,,now,,,,,オーロラ・シニストラ、天文学教授就任,,,,,,
教職員の変遷,1976,,,,1990,,,,,クィリナス・クィレル、マグル学教授就任,,,,,,
教職員の変遷,1979,,,,now,,,,,シビル・トレロー二―、占い学教授就任,,,,,,
教職員の変遷,1981,9,1,,1996,8,31,,,セブルス・スネイプ、魔法薬学教授就任,,,,,,
教職員の変遷,1990,,,,1997,,,,,チャリティ・バーベッジ、マグル学教授就任,,,,,,
教職員の変遷,1991,9,1,,1992,7,15,,,クィリナス・クィレル、闇の魔術に対する防衛術教授就任,,,,,,
教職員の変遷,1992,9,1,,1993,7,15,,,ギルデロイ・ロックハート、闇の魔術に対する防衛術教授就任,,,,,,
