Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
工程,2019,6,,,2019,6,23,, ,リノベ業者探し,,,,,,
工程,2019,6,23,,2019,7,20,, ,部屋探し,,,,,,
工程,2019,8,4,,2019,9,22,, ,リノベ業者選定,,,,,,
工程,2019,9,22,,2019,10,27,, ,設計,,,,,,
工程,2019,11,18,,2020,1,25,, ,工事,,,,,,
イベント,2019,7,20,,,,,, ,物件申込,,,,,,
イベント,2019,7,27,,,,,, ,不動産契約,,,,,,
イベント,2019,10,27,,,,,, ,リノベ契約,,,,,,
イベント,2019,11,25,,,,,, ,解体検査,,,,,,
イベント,2020,1,23,,,,,, ,完了検査,,,,,,
イベント,2020,2,4,,,,,, ,引越し,,,,,,
情報収集,2019,8,1,,2019,10,19,, ,ショールーム回り,,,,,,
イベント,2019,8,29,,,,,, ,物件購入決済・引き渡し,,,,,,
その他,2019,9,,,2020,2,,, ,管理費の二重払い期間,,,,,background,
