Group,Year,Month,End Year,End Month,Display Date,Title,Detail　犬種,URL,Image URL,Image Credit,Type,Color
日本の年号,1989,,now,,,平成,,,,,,
日本の年号,1926,,1988,,,昭和,,,,,,
日本の年号,1912,,1926,,,大正,,,,,,
日本の年号,1868,,1912,,,明治,,,,,,
出来事,1982,,,,,「それいけ!アンパンマン」めいけんチーズ,不明,,,,,
出来事,1974,,,,,「アルプスの少女ハイジ」ヨーゼフ,セント・バーナード,,,,,
出来事,1961,,,,,「101匹わんちゃん」ポンゴ、パーディタ,ダルメシアン,,,,,
出来事,1996,,,,,「いないいないばあっ!」ワンワン,サイタマ犬（架空？）,,,,,
出来事,1995,,,,,「それいけ!アンパンマン」マルチーズ,ウサンの家のマルチーズ,,,,,
出来事,2001,,,,,シナモロール,遠いお空の雲の上で生まれる（ビションフリーゼ、ボロニーズ、マルチーズ）,,,,,
出来事,1997,,,,,「もののけ姫」モロの君,山犬→ニホンオオカミ,,,,,
出来事,1967,,,,,「天才バカボン」ウナギ犬,,,,,,
出来事,1939,,,,,グーフィー,,,,,,
出来事,1930,,,,,プルート,（ブラッドバウンド）,,,,,
出来事,1996,,,,,ポムポムプリン,（ゴールデンレトリバーの子犬）,,,,,
出来事,1993,,,,,「忍たま乱太郎」ヘムヘム,忍犬,,,,,
出来事,1975,,,,,「まんが日本昔ばなし　花咲か爺さん」ポチ,日本犬？,,,,,
出来事,1990,,,,,「まんが日本昔ばなし　桃太郎」犬,日本犬？,,,,,
出来事,1933,,,,,フィフィ,ペキニーズ,,,,,
出来事,1989,,,,,「リトル・マーメイド」マックス,（オールド・イングリッシュ・シープドッグ）,,,,,
出来事,1872,,,,,「フランダースの犬」パトラッシュ,（ブービエ・デ・フランダース）,,,,,
出来事,1989,,,,,「魔女の宅急便」ジェフ,（セントバーナード？）,,,,,
出来事,1955,,,,,「わんわん物語」トランプ,（エアデール・テリア）,,,,,
出来事,1955,,,,,「わんわん物語」レディ,（アメリカン・コッカー・スパニエル）,,,,,
出来事,2004,,,,,「ハウルの動く城」ヒン,（プチ・バゼット・グリフォン・バンデーン）,,,,,
出来事,1950,,,,,「ピーナッツ」スヌーピー,（ビーグル）,,,,,
出来事,1990,,,,,「クレヨンしんちゃん」シロ,雑種,,,,,
出来事,2000,,,,,「キノの旅」陸,サモエド,,,,,
出来事,2012,,,,,「しばいぬ子さん」しばいぬ子さん,しばいぬ,,,,,
出来事,2015,,,,,「いとしのムーコ」ムーコ,柴犬？,,,,,
出来事,1986,,,,,「銀牙 ー流れ星 銀ー」銀,（秋田犬？）,,,,,
出来事,1970,,,,,「のらくろ」野良犬黒吉,（ボストンテリア？）,,,,,
出来事,1993,,,,,「平成イヌ物語バウ」バウ,（ブルテリア）,,,,,
出来事,2006,,,,,「銀魂」定春,,,,,,
出来事,2014,,,,,「銀の匙」副ぶちょー,,,,,,
出来事,2012,,,,,「黒子のバスケ」テツヤ二号,（ポンスキー？）,,,,,
出来事,1986,,,,,「めぞん一刻」惣一郎さん,,,,,,
出来事,1966,,,,,「忍者ハットリくん」獅子丸,（チャウチャウ？）,,,,,
出来事,2014,,,,,「ドラえもん 新・のび太の大魔境～ペコと5人の探検隊～」ペコ,,,,,,
出来事,1985,,,,,「タッチ」パンチ,,,,,,
出来事,1989,,,,,「ジョジョの奇妙な冒険 第三部」イギーポップ,ボストンテリア,,,,,
出来事,1996,,,,,「名犬ラッシー」ラッシー,ラフコリー,,,,,
出来事,,,,,,,,,,,,
出来事,,,,,,,,,,,,
