Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
CPU,1995,,,,,,,,,Pentium Pro,,,,,point,
CPU,1997,,,,,,,,,Pentium II,,,,,point,
CPU,1999,,,,,,,,,Pentium III,,,,,point,
CPU,2000,,,,,,,,,Pentium 4,,,,,point,
CPU,2003,,,,,,,,,Pentium M,,,,,point,
CPU,2007,,,,,,,,,Pentium Dual-Core,,,,,point,
CPU,2008,,,,,,,,,Core-i7,,,,,,
OS,1985,,,,,,,,,Windows 1.01,,,,,point,
OS,1992,,,,,,,,,Windows 3.1,,,,,point,
OS,1995,,,,,,,,,Windows 95,,,,,point,
OS,1998,,,,,,,,,Windows 98,,,,,point,
OS,2000,,,,,,,,,Windows 2000,,,,,point,
OS,2001,,,,,,,,,Windows XP,,,,,point,
OS,2007,,,,,,,,,Windows Vista,,,,,point,
OS,2007,,,,,,,,,Windows Home Server,,,,,point,
OS,2009,,,,,,,,,Windows 7,,,,,point,
OS,2012,,,,,,,,,Windows 8,,,,,point,
OS,2013,,,,,,,,,Windows 8.1,,,,,point,
OS,2015,,,,,,,,,Windows 10,,,,,point,
Server-OS,2003,,,,,,,,,Windows Server 2003,,,,,point,
Server-OS,2008,,,,,,,,,Windows Server 2008,,,,,point,
Server-OS,2012,,,,,,,,,Windows Server 2012,,,,,point,
Server-OS,2016,,,,,,,,,Windows Server 2016,,,,,point,
Server-OS,2018,,,,,,,,,Windows Server 2019,,,,,point,
