Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,1989,,,,Now,,,,,平成,,,,,,
日本の年号,1926,,,,1988,,,,,昭和,,,,,,
日本の年号,1912,,,,1926,,,,,大正,,,,,,
日本の年号,1868,,,,1912,,,,,明治,,,,,,
日本の年号,1588,,,,1867,,,,,江戸,,,,,,
Person,1983,,,,Now,,,,,Shuta Hasunuma,,,,,,
,,,,,,,,,,Yuri Suzuki,,,,,,
Person,1925,10,22,,2008,5,12,,,Robert Rauschenberg,,,,,,
Person,1948,5,15,,Now,,,,,Brian Eno,,,,,,
Person,1883,12,22,,1965,11,6,,,Edgar(d) Victor Achille Charles Varèse,,,,,,
Person,1922,5,29,,2001,2,4,,,Iannis Xenakis,,,,,,
Person,1912,9,5,,1992,8,12,,,John Milton Cage Jr.,,,,,,
Person,1885,4,30,,1947,2,4,,,Luigi Russolo,,,,,,
Genre,1958,,,,1960,,,,,Minimal Music,,,,,,
Genre,1970,,,,1980,,,,,Sampling Music,,,,,,
Genre,1978,,,,1980,,,,,Ambient Music,,,,,,
Genre,1983,,,,Now,,,,,Computer-generated Music,,,,,,
Genre,1990,,,,Now,,,,,Creative Coding / Live Coding,,,,,,
Movement / Gruop,1962,,,,1978,,,,,Fluxus,フルクサス は、リトアニア出身のデザイナー、建築家　ジョージ・マチューナスが提唱した前衛芸術運動のこと。ラテン語で「流れる、変化する、下剤をかける」という意味を持つ。1960年代を代表する芸術運動として、ネオダダと並び称される。（Wikipedia）,,https://artsy-media-uploads.s3.amazonaws.com/FdWN_s1_d6mHFPmo56NJ1Q%2Ffluxus_0004.jpg,,,
Movement / Gruop,1950,,,,1970,,,,,Happening,ハプニングは、1950年代から1970年代前半を中心に、北米・西ヨーロッパ・日本などで展開された、ギャラリーや市街地で行われる非再現的で一回性の強いパフォーマンスアートや作品展示などを総称するのに用いられる美術用語。ハプニングの創始者と言われているアラン・カプローによると「きまった時間と空間の中で演じられる点では演劇に関連をもった芸術形式」。,,,,,
Movement / Gruop,1966,,,,1967,,,,,E.A.T. (Experiments in Art & Technology ）,アーティストとエンジニア／科学者の協働を基本的な運動理念として、そのための人材と情報、技術の供給をはかることを目的とした非営利組織。1966年から67年にかけて、当時ベル電話研究所に在籍していたエンジニアのＢ・クルーヴァーを中心として、Ｒ・ラウシェンバーグ、Ｒ・ホイットマンらによって結成された。名称は「Experiments in Art and Technology」の略。科学者を中心に組織された運動であるE.A.T.の目的は、テクノロジーを通じて芸術活動を支援することはもちろん、芸術生産を通じて科学技術の持つ本来的な性質や方向性を検証し、従来の科学的なシステムの批判・脱領域化をはかることにもあった。代表的なプロジェクトとしてはE.A.T.結成直前に、10人のアーティストと30人以上の技術者が参加した「九つの夕べ――演劇とエンジニアリング」（1966）や「大阪万博ペプシ館」（1970）がある。70年代半ばに組織としての事実上の活動は終息に向かったが、芸術と技術の協働により、インターメディア、パフォーマンス、コラボレーションなどの新たな芸術形態に先駆性を示した功績が高く評価されている。,,,,,
,,,,,,,,,,IRCAM,,,,,,
Event,1966,10,13,,1966,10,23,,,9 Evenings: Theatre and Engineering,,,,,,
Works,,,,,,,,,,ポエムエレクトロニーク,,http://magazine.offaa.jp/entry/2006/07/06/000000,,,,
Practice,1948,,,,,,,,,Musique Concrète,外界に存在する音を任意に録音し、それを電子音響機器によって加工・構成して定着した音楽。その最初の試みは一九四八年フランスで行なわれた。「具体音楽」とも訳される。,,,,,
Book,1969,,,,,,,,,The Soundscape: Our Sonic Environment and the Tuning of the World,,,,,,
Research,,,,,,,,,,,,,,,,
Technology / Tool,2010,,,,Now,,,,,Deep Learning,,,,,,
Technology / Tool,1989,,,,,,,,,Max (Cycling'74),,,,,,
