Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,1989,,,,now,,,,,平成,,,,,range,
日本の年号,1926,,,,1988,,,,,昭和,,,,,range,
日本の年号,1912,,,,1926,,,,,大正,,,,,range,
日本の年号,1868,,,,1912,,,,,明治,,,,,range,
日本の年号,1588,,,,1867,,,,,江戸,,,,,range,
出来事,1965,,,,,,,,,JR湖西線の建設具体化に伴う宅地造成の進展（住宅ブーム）,,,,,,
出来事,1986,,,,1991,,,,,バブル期,,,,,,
出来事,1939,,,,1945,,,,,第二次世界大戦,,,,,,
採石,1891,,,,1944,,,,,部落有林での採石（歳入出史料より）,,,,,,
採石,1971,,,,1974,,,,,平出氏の採石経験,,,,,,
採石,1951,,,,,,,,,M氏の採石経験,,,,,,
加工,1850,,,,1915,,,,,西村嘉兵衛,,,,,,
加工,1873,,,,,,,,,平出愛之助,,,,,,
加工,1936,,,,now,,,,,増尾初夫,,,,,,
加工,1956,,,,now,,,,,平出直厚,,,,,,
加工,1927,,,,1928,,,,,石工が「火薬庫」建設補助費を受け取っていた。,,,,,,
加工,1976,,,,,,,,,M氏が石の電動裁断機を購入,,,,,,
加工,1924,,,,,,,,,西村嘉市郎（46歳）が東宮殿下御成婚奉祝万国博覧会参加50年記念博覧会に自身の嘉兵衛灯籠を出品,,,,,,
加工,1877,,,,,,,,,区有文書で「石職」の表記を確認。,,,,,,
加工,1887,,,,,,,,,石出し道（明治２０年間取り図史料・聞き取りで確認）,,,,,,
加工,1887,,,,,,,,,中野甚八が八幡神社狛犬（左）を完成,,,,,,
加工,1882,,,,,,,,,中野甚八が八幡神社狛犬（右）を完成,,,,,,
販売,1956,,,,,,,,,平出石材がトラックを所有していた（M氏母より）,,,,,,
販売,1951,,,,,,,,,丸子船での石材運搬が行われなくなった（増尾氏聞き取りより）,,,,,,
