Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
英語,1987,,,,,,,,,中国のニクソン,J.アダムズ,https://ja.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E3%81%AE%E3%83%8B%E3%82%AF%E3%82%BD%E3%83%B3,,,,
ドイツ語,1874,,,,,,,,,こうもり,J.シュトラウス2世,https://ja.wikipedia.org/wiki/%E3%81%93%E3%81%86%E3%82%82%E3%82%8A_(%E3%82%AA%E3%83%9A%E3%83%AC%E3%83%83%E3%82%BF),,,,
ドイツ語,1899,,,,,,,,,ウィーン気質,J.シュトラウス2世,https://ja.wikipedia.org/wiki/%E3%82%A6%E3%82%A3%E3%83%BC%E3%83%B3%E6%B0%97%E8%B3%AA_(%E3%82%AA%E3%83%9A%E3%83%AC%E3%83%83%E3%82%BF),,,,
ドイツ語,1905,,,,,,,,,サロメ,R.シュトラウス,https://ja.wikipedia.org/wiki/%E3%82%B5%E3%83%AD%E3%83%A1_(%E3%82%AA%E3%83%9A%E3%83%A9),,,,
ドイツ語,1909,,,,,,,,,エレクトラ,R.シュトラウス,https://ja.wikipedia.org/wiki/%E3%82%A8%E3%83%AC%E3%82%AF%E3%83%88%E3%83%A9_(%E3%83%AA%E3%83%92%E3%83%A3%E3%83%AB%E3%83%88%E3%83%BB%E3%82%B7%E3%83%A5%E3%83%88%E3%83%A9%E3%82%A6%E3%82%B9),,,,
ドイツ語,1911,,,,,,,,,ばらの騎士,R.シュトラウス,https://ja.wikipedia.org/wiki/%E3%81%B0%E3%82%89%E3%81%AE%E9%A8%8E%E5%A3%AB,,,,
ドイツ語,1912,,,,,,,,,ナクソス島のアリアドネ,R.シュトラウス,https://ja.wikipedia.org/wiki/%E3%83%8A%E3%82%AF%E3%82%BD%E3%82%B9%E5%B3%B6%E3%81%AE%E3%82%A2%E3%83%AA%E3%82%A2%E3%83%89%E3%83%8D,,,,
ドイツ語,1932,,,,,,,,,アラベラ,R.シュトラウス,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%A9%E3%83%99%E3%83%A9_(%E3%82%AA%E3%83%9A%E3%83%A9),,,,
ドイツ語,1821,,,,,,,,,魔弾の射手,ウェーバー,https://ja.wikipedia.org/wiki/%E9%AD%94%E5%BC%BE%E3%81%AE%E5%B0%84%E6%89%8B,,,,
イタリア語,1842,,,,,,,,,ナブッコ,ヴェルディ,https://ja.wikipedia.org/wiki/%E3%83%8A%E3%83%96%E3%83%83%E3%82%B3,,,,
イタリア語,1844,,,,,,,,,エルナーニ,ヴェルディ,https://ja.wikipedia.org/wiki/%E3%82%A8%E3%83%AB%E3%83%8A%E3%83%BC%E3%83%8B,,,,
イタリア語,1847,,,,,,,,,マクベス,ヴェルディ,https://ja.wikipedia.org/wiki/%E3%83%9E%E3%82%AF%E3%83%99%E3%82%B9_(%E3%83%B4%E3%82%A7%E3%83%AB%E3%83%87%E3%82%A3),,,,
