Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
EVENT,1377,,,,,,,,,Born,,,,,,
EVENT,1398,,,,,,,,,Became a master goldsmith and a sculptor working,,,,,,
EVENT,1418,8,19,,,,,,,"The Cathedral Construction Bureau announced the design competition of work machines, scaffolding and construction methods for the construction of the Santa Maria del Fiore cathedral.",,,,,,
EVENT,1423,8,27,,,,,,,The Office of Cathedral Construction gave Brunelleschi the title of Superintendent of Santa Maria del Fiore Cathedral.,,,,,,
EVENT,1424,,,,1440,,,,,War with the Duchy of Milan,,,,,point,
EVENT,1436,3,9,,,,,,,The dedication ceremony of Santa Maria del Fiore Cathedral was held.,,,,,,
EVENT,1446,4,15,,,,,,,Died,,,,,,
WORK,1428,,,,,,,,,sacred utensil of San Lorenzo,,,https://blogimg.goo.ne.jp/user_image/04/8e/0b2910962d31245f1512f0aca3d1240b.jpg,,box,
WORK,1434,6,12,,,,,,,Santa Maria del Fiore Cathedral dome,,,https://images.fineartamerica.com/images/artworkimages/mediumlarge/2/cathedral-santa-maria-del-fiore-aka-saint-mary-of-the-flower-f-nicola-forenza.jpg,,box,
WORK,1445,1,25,,,,,,,Ospedale degli Innocenti,,,https://www.mukki.it/wp-content/uploads/2019/04/istituto-degli-innocenti.jpg,,box,
WORK,1442,,,,,,,,,Basilica of San Lorenzo,,,https://www.airfrance.co.jp/JP/common/common/img/tbaf/news/FLR/la-basilique-de-san-lorenzo-d-une-grande-beaute-interieure/FLR-la-basilique-de-san-lorenzo-d-une-grande-beaute-interieure-2_1-1280x640.jpg,,box,
WORK,1466,,,,,,,,,Basilica of Santo Spirito,,,http://www.reidsitaly.com/site/assets/files/17612/santo-spirito-nave.-toppic.jpg,,box,
