Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
1968,1968,,,,1971,,,,,父の魂(131回）,,,,,,
1971,1971,,,,1974,,,,,侍ジャイアンツ（157回）,,,,,,
1972,1972,,,,1976,,,,,アストロ球団（188回）,,,,,,
1973,1973,,,,1978,,,,,"プレイボール （256回）
",,,,,,
1976,1976,,,,1980,,,,,悪たれ巨人（205回）,,,,,,
1977,1977,,,,1981,,,,,リングにかけろ（242回）,,,,,,
1977,1977,,,,1979,,,,,ホールインワン（127回）,,,,,,
1979,1979,,,,1982,,,,,テニスボーイ（130回）,,,,,,
1981,1981,,,,1988,,,,,キャプテン翼 （355回）,,,,,,
1986,1986,,,,1990,,,,,県立海空高校野球部員山下たろーくん(179回）,,,http://www.westatic.com/img/dict/dkijt/guericke_test2.jpg,,,
1987,1987,,,,1989,,,,,ＴＨＥ　ＭＯＭＯＴＡＲＯＨ(109回）,,,,,,
1988,1988,,,,1990,,,,,神様はサウスポー (109回）,,,,,,
1990,1990,,,,1996,,,,,ＳＬＡＭ ＤＵＮＫ（276回）,,,,,,
1991,1991,,,,1994,,,,,ペナントレース　やまだたいちの奇蹟（126回）,,,,,,
1994,1994,,,,1997,,,,,キャプテン翼　ワールドユース編 （158回）,,,,,,
1995,1995,,,,1998,,,,,陣内流柔術武闘伝 真島クンすっとばす!!（142回）,,,,,,
1998,1998,,,,2003,,,,,ＲＯＯＫＩＥＳ （233回）,,,,,,
1998,1998,,,,2002,,,,,ホイッスル！（216回）,,,,,,
1998,1998,,,,2002,,,,,ライジング インパクト（145回）,,,,,,
1999,1999,,,,2008,,,,,テニスの王子様 （375回）,,,,,,
1999,1999,,,,2002,,,,,ライジングインパクト（130回）,,,,,,
2001,2001,,,,2006,,,,,Ｍｒ．ＦＵＬＬＳＷＩＮＧ（227回）,,,,,,
2002,2002,,,,2009,,,,,アイシールド２１ (333回）,,,,,,
2009,2009,,,,2014,,,,,黒子のバスケ(275回,,,,,,
2012,2012,,,,now,,,,,ハイキュー!! ,,,,,,
2014,2014,,,,2019,,,,,火ノ丸相撲（250回）,,,,,,
