Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
夫,2014,1,1,,2015,7,20,,,東京都三鷹市在住,,,,,background,
夫,2015,7,21,,2015,10,30,,,長期出張(名古屋),,,,,range,
夫,2015,11,1,,2016,7,21,,,東京都三鷹市在住,,,,,background,
夫,2016,7,22,,2020,2,28,,,神奈川県逗子市在住,,,,,background,
夫,2014,1,6,,2015,11,30,,,企業A在職,,,,,,
夫,2015,12,1,,2016,7,31,,,企業B在職,,,,,,
夫,2016,8,1,,2020,3,1,,,企業C在職,,,,,,
妻,2016,5,6,,,,,,,"【出産】
妻が長女を出産",,,,,,
妻,2016,8,11,,,,,,,"【実質的な別居開始】 
一時的な帰省という名目で妻が自宅から子供を連れて実家へ移動",・無断で子供を連れ実家へ帰省開始,,,,,
妻,2015,5,1,,2016,7,27,,,東京都大田区在住,,,,,background,
妻,2016,8,11,,2020,2,28,,,東京都大田区在住,,,,,background,
同居期間,2016,7,28,,2016,8,11,,,妻子との同居期間,,,,,,
夫婦間連絡,2016,11,1,,,,,,,"【夫婦間協議】
妻側の協議継続拒否のため破談
自宅から離れた理由については「自身の病気や体調が理由ではない点」について明言し妻側の判断であると確認。
協議の重要性を説明するも、妻側が恣意的に大声をあげ強硬に会話を打ち切り協議ならず
(妻側に許可を取り会話のやりとりを録音)
",・妻側が話し合い継続に応じず破断,,,,,
夫婦間連絡,2016,8,15,,,,,,,"【妻からの封書連絡】
離婚/別居希望の旨一方的に通達あり",,,,,,
代理人との連絡,2016,12,31,,,,,,,"【代理人からの連絡到着】
代理人として対応する点 / 今後家族関係調整調停を実施する予定である点",,,,,,
代理人との連絡,2017,1,2,,,,,,,"【代理人への回答】
協議実施について打信",,,,,,
代理人との連絡,2017,5,21,,,,,,,【面会交流について打信】定期的な面会交流について打信(2018/09/09までなし) / 当方への妻の健康保険加入のための資料依頼(現在まで実施なし),定期的な面会交流について打信(2018/09/09までなし) / 当方への妻の健康保険加入のための資料依頼(現在まで実施なし),,,,,
代理人との連絡,2017,6,9,,,,,,,【回答の催促】,・回答なし,,,,,
代理人との連絡,2017,6,24,,,,,,,【回答の再催促】 面会交流について実施を再依頼 /説明のない子の連れ去りについて指摘 /面会実施不可という発育環境についての指摘 / 定期的な育成状況の報告を依頼(2018/10/30まで実施なし)　,"・面会交流について実施を再依頼
・説明のない子の連れ去りについて指摘
・面会実施不可という発育環境についての指摘
・定期的な育成状況の報告を依頼(2018/10/30まで実施なし)",,,,,
代理人との連絡,2017,6,24,,2018,5,14,,,"

代理人音信不通(324日間)",,,,,background,
代理人との連絡,2017,12,6,,,,,,,"代理人へ内容証明郵便を送付
代理人に対し連絡を頂けるよう内容証明郵便を送付(連絡なし)",・代理人に対し連絡を頂けるよう内容証明郵便を送付(連絡なし),,,,,
代理人との連絡,2018,2,25,,,,,,,"【東京第二弁護士会へ連絡】
代理人所属の弁護士会へ本件について代理人より
連絡がない点報告し催促を依頼",・代理人から連絡がないため対応実施するよう連絡,,,,,
代理人との連絡,2018,6,1,,,,,,,"【代理人より連絡】
長期間に渡り連絡を断ち無視封殺をした点について指摘。さまざまな問題で対応できなかった事について回答あり。まったくの連絡が無かった事について説明になっていない事を指摘し今後無責任な対応が続けば担当者交代などを実施するよう依頼。場合により懲戒請求などの対処を検討している点報告。",,,,,,
代理人との連絡,2018,10,17,,,,,,,"【代理人より回答】
妻側へ予定する日時の連絡ミスが発生したため当月実施予定の面会交流不可連絡あり",,,,,,
面会交流,2016,8,11,,2016,12,30,,,面会未実施期間(141日間),,,,,background,
面会交流,2016,12,30,,2018,9,8,,,面会未実施期間(628日間),,,,,background,
面会交流,2018,9,10,,2019,4,8,,,面会未実施期間(212日間),,,,,background,
面会交流,2019,4,10,,2019,9,2,,,面会未実施期間(147日間),,,,,background,
面会交流,2016,12,30,,,,,,,面会交流(141日ぶり・別居後初),,,,,,
面会交流,2018,9,9,,,,,,,面会交流(628日ぶり・2度目),,,,,,
面会交流,2019,4,9,,,,,,,面会交流(212日ぶり・3度目),,,,,,
面会交流,2019,9,3,,,,,,,面会交流(147日ぶり・4度目),,,,,,
面会交流,2019,10,8,,,,,,,面会交流(29日ぶり・5度目),,,,,,
面会交流,2019,11,12,,,,,,,面会交流(35日ぶり・6度目),,,,,,
面会交流,2019,12,15,,,,,,,"面会交流(33日ぶり・7度目)
義父の会場への到着遅延あるも妻は時間通り到着。義父の同席なしでも面会交流実施開始可能な点を確認。",義父の会場への到着遅延あるも妻は時間通り到着。義父の同席なしでも面会交流実施開始可能な点を確認。,,,,,
家族関係調整調停,2019,4,24,,,,,,,第1回調停(婚姻費用請求),,,,,,
家族関係調整調停,2019,6,12,,,,,,,第2回調停(婚姻費用請求),,,,,,
家族関係調整調停,2019,7,30,,,,,,,第3回調停(面会交流),,,,,,
家族関係調整調停,2019,9,18,,,,,,,第4回調停(面会交流),,,,,,
家族関係調整調停,2019,11,6,,,,,,,第5回調停(面会交流),,,,,,
家族関係調整調停,2019,12,18,,,,,,,第6回調停(面会交流),,,,,,
