Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
1933,1933,,,,1994,,,,,海原お浜・小浜,,,,,,
1937,1937,,,,2003,,,,,夢路いとし・喜味こいし,,,,,,
1941,1941,,,,1982,,,,,中田ダイマル・ラケット,,,,,,
1948,1948,,,,1975,,,,,若井はんじ・けんじ,,,,,,
1950,1950,,,,2004,,,,,コロムビア・トップ・ライト,,,,,,
1950,1950,,,,1997,,,,,内海桂子・好江,,,,,,
1952,1952,,,,2004,,,,,リーガル天才・秀才,,,,,,
1952,1952,,,,1993,,,,,獅子てんや・瀬戸わんや,,,,,,
1953,1953,,,,1971,,,,,晴乃ピーチク・パーチク,,,,,,
1954,1954,,,,1982,,,,,人生幸朗・生恵幸子,,,,,,
1954,1954,,,,1991,,,,,青空千夜・一夜,,,,,,
1956,1956,,,,1981,,,,,かしまし娘,,,,,,
1956,1956,,,,1994,,,,,京唄子・鳳啓助,,,,,,
1957,1957,,,,1979,,,,,上方柳次・柳太,,,,,,
1958,1958,,,,1985,,,,,新山ノリロー・トリロー,,,,,,
1960,1960,,,,1968,,,,,漫画トリオ,,,,,,
1960,1960,,,,1966,,,,,浅草四郎・岡八郎,,,,,,
1960,1960,,,,1969,,,,,晴乃チック・タック,,,,,,
1961,1961,,,,1999,,,,,Wけんじ,,,,,,
1962,1962,,,,1971,,,,,青空はるお・あきお,,,,,,
1963,1963,,,,2010,,,,,正司敏江・玲児,,,,,,
1965,1965,,,,now,,,,,青空球児・好児,,,,,,
1966,1966,,,,1989,,,,,横山やすし・西川きよし,,,,,,
1968,1968,,,,2014,,,,,レツゴー三匹,,,,,,
1959,1959,,,,1967,,,,,お笑いタッグマッチ,,,,,box,
1963,1963,,,,1978,,,,,大正テレビ寄席,,,,,,
1965,1965,,,,1967,,,,,お笑いとんち袋,,,,,,
1966,1966,,,,1969,,,,,お笑いカラー寄席,,,,,,
1966,1966,,,,now,,,,,笑点,,,,,,
1966,1966,,,,1969,,,,,お茶の間寄席(第一期),,,,,,
1966,1966,,,,1971,,,,,シャボン玉寄席,,,,,,
1967,1967,,,,1978,,,,,土曜ひる席,,,,,,
1969,1969,,,,1969,,,,,夜の笑待席,,,,,,
1970,1970,,,,1975,,,,,ライオンお笑いネットワーク,,,,,,
