Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
花組,2002,6,24,,2007,12,24,,,春野寿美礼,,,,,,
花組,2007,12,25,,2011,4,24,,,真飛聖,,,,,,
花組,2011,4,25,,2014,5,11,,,蘭寿とむ,,,,,,
花組,2014,5,12,,now,,,,,明日海りお,,,,,,
雪組,2010,9,13,,2012,12,24,,,音月桂,,,,,,
雪組,2012,12,25,,2014,8,31,,,壮一帆,,,,,,
雪組,2014,9,1,,2017,7,23,,,早霧せいな,,,,,,
雪組,2017,7,24,,now,,,,,望海風斗,,,,,,
星組,2009,4,27,,2015,5,10,,,柚希礼音,,,,,,
星組,2015,5,11,,2016,11,20,,,北翔海莉,,,,,,
星組,2016,11,21,,now,,,,,紅ゆずる,,,,,,
望海風斗,2003,4,4,,2003,8,3,,,花の宝塚風土記／シニョール・ドン・ファン,初舞台,http://archive.kageki.hankyu.co.jp/revue/backnumber/0304tuki/index.html,,,,
望海風斗,2004,1,1,,2004,5,2,,,天使の季節／アプローズ・タカラヅカ! -ゴールデン90-,大使／新人公演　ジョルジュ（蘭寿とむ）,http://archive.kageki.hankyu.co.jp/revue/04/01flower/index.html,,,,
望海風斗,2004,8,,,2004,11,,,,La Esperanza-いつか叶う-／TAKARAZUKA舞夢!,新人公演：トム（本役：蘭寿とむ）,,,,,
望海風斗,2005,1,,,2005,1,,,,くらわんか（バウ）,貧乏神／徳兵衛,,,,,
望海風斗,2005,3,,,2005,7,,,,マラケシュ・紅の墓標／エンター・ザ・レビュー,警官アンリ、新人公演：クリフォード（本役：彩吹真央,,,,,
望海風斗,2005,9,,,2005,9,,,,Ernest in Love,（日生）ロンドン市民（1幕）／農民・召使い（2幕）,,,,,
望海風斗,2005,11,,,2006,2,,,,落陽のパレルモ／ASIAN WINDS! - アジアの風 -,新人公演：リカルド（本役：愛音羽麗）,,,,,
望海風斗,2006,3,,,2006,4,,,,スカウト（バウ）,グリフィン,,,,,
望海風斗,2006,4,,,2006,4,,,,蘭寿とむディナーショー『Sensation!』,,,,,,
望海風斗,2006,5,,,2006,5,,,,エンカレッジ・コンサート（バウ）,,,,,,
望海風斗,2006,6,,,2006,10,,,,ファントム,従者、 新人公演：セルジョ（本役：愛音羽麗）,,,,,
望海風斗,2006,11,,,2006,12,,,,MIND TRAVELLAR -記憶の旅人-,（シアタードラマシティ・東京特別）エディ,,,,,
望海風斗,2007,2,,,2007,5,,,,明智小五郎の事件簿-黒蜥蜴／TUXEDO JAZZ,三村、新人公演：寺坂（本役：愛音羽麗）,,,,,
望海風斗,2007,7,,,2007,8,,,,ハロー!ダンシング,（バウワークショップ）,,,,,
望海風斗,2007,9,,,2007,12,,,,アデュー・マルセイユ／ラブ・シンフォニー,ジェラール（少年時代）、新人公演：シモン（本役：真飛聖）,,,,,
望海風斗,2008,3,,,2008,3,,,,蒼いくちづけ（バウ）,ヘルシング教授／デイヴ,,,,,
望海風斗,2008,5,,,2008,8,,,,愛と死のアラビア／Red Hot Sea,ヤシム、新人公演：イブラヒム（本役：大空祐飛）,,,,,
望海風斗,2008,10,,,2008,10,,,,銀ちゃんの恋,（シアタードラマシティ・東京特別）ジミー,,,,,
望海風斗,2009,1,,,2009,3,,,,太王四神記-チュシンの星のもとに-,ヒョンミョン、新人公演：タムドク（本役：真飛聖） ＊新人公演初主演,,,,,
望海風斗,2009,5,,,2009,5,,,,哀しみのコルドバ／Red Hot Sea II（全国ツアー）,パコ,,,,,
望海風斗,2009,7,,,2009,7,,,,フィフティ・フィフティ（バウ）,カーク,,,,,
望海風斗,2009,9,,,2009,11,,,,外伝ベルサイユのばら－アンドレ編－／EXCITER!!,ヴェール、新人公演：アンドレ（本役：真飛聖） ＊新人公演主演,,,,,
望海風斗,2010,1,,,2010,1,,,,BUND／NEON 上海 -深緋の嘆きの河-（バウ）,劉衛強,,,,,
望海風斗,2010,3,,,2010,5,,,,虞美人,桃娘,,,,,
望海風斗,2010,4,,,2010,4,,,,桜乃彩音ミュージック・サロン『Ever Green -春風のように-』,,,,,,
望海風斗,2010,7,,,2010,10,,,,麗しのサブリナ／EXCITER!!,フランク,,,,,
望海風斗,2010,11,,,2010,12,,,,CODE HERO／コード・ヒーロー（バウ・日本青年館）,ハル,,,,,
望海風斗,2011,2,,,2011,4,,,,愛のプレリュード／Le Paradis!! －聖なる時間ー,ゲイリー・ミラー,,,,,
望海風斗,2011,3,,,2011,3,,,,真飛聖ディナーショー『For YOU』,,,,,,
望海風斗,2011,6,,,2011,9,,,,ファントム,リシャール,,,,,
望海風斗,2011,10,,,2011,11,,,,小さな花がひらいた／ル・ポァゾン 愛の媚薬Ⅱ（全国ツアー）,大六,,,,,
望海風斗,2012,1,,,2012,3,,,,復活－恋が終わり、愛が残った－／カノン－Our Melody－,ミハイロフ警備隊長 ＊初エトワール,,,,,
望海風斗,2012,4,,,2012,5,,,,長い春の果てに／カノン－Our Melody－（全国ツアー）,ブリス ＊エトワール,,,,,
望海風斗,2012,7,,,2012,10,,,,サン＝テグジュペリ－「星の王子さま」になった操縦士（パイロット）－／CONGA!!,ホルスト,,,,,
望海風斗,2012,11,,,2012,11,,,,Victorian Jazz（バウホール）,ナイジェル・カニンガム ＊バウ初主演,,,,,
望海風斗,2013,2,,,2013,5,,,,オーシャンズ11,テリー・ベネディクト,,,,,
望海風斗,2013,6,,,2013,7,,,,戦国BASARA－真田幸村編－,（東急シアターオーブ）猿飛佐助,,,,,
望海風斗,2013,8,,,2013,11,,,,愛と革命の詩－アンドレア・シェニエ－／Mr. Swing！,フランソワ・ド・パンジュ侯爵,,,,,
望海風斗,2013,12,,,2013,12,,,,New Wave！－花－（バウホール）,,,,,,
望海風斗,2014,2,,,2014,5,,,,ラスト・タイクーン－ハリウッドの帝王、不滅の愛－／TAKARAZUKA∞夢眩,ブロンソン・スミス,,,,,
望海風斗,2014,6,,,2014,6,,,,ベルサイユのばら－フェルゼンとマリー・アントワネット編－（中日劇場）,アンドレ,,,,,
望海風斗,2014,8,,,2014,11,,,,エリザベート -愛と死の輪舞-,ルイジ・ルキーニ,,,,,
望海風斗,2015,1,,,2015,3,,,,ルパン三世 -王妃の首飾りを追え!-／ファンシー・ガイ！,カリオストロ伯爵,,,,,
