Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
日本の年号,1989,,,,now,,,,,平成,,,,,,
日本の年号,1926,,,,1988,,,,,昭和,,,,,,
日本の年号,1912,,,,1926,,,,,大正,,,,,,
日本の年号,1868,,,,1912,,,,,明治,,,,,,
日本の年号,1588,,,,1867,,,,,江戸,,,,,,
科学者,1745,2,18,,1827,3,5,,,ボルタ,,,,,,
科学者,1777,4,30,,1855,2,23,,,ガウス,,,,,,
科学者,1789,3,16,,1854,7,6,,,オーム,,,,,,
出来事,1995,,,,,,,,,蒸発冷却BECの実現,,,,,,blue
出来事,1987,,,,,,,,,初めてのMOT実験,,,,,,blue
出来事,1988,,,,,,,,,MOTでT_Dを下回る,,,,,,blue
出来事,1989,,,,,,,,,PGCの提案,,,,,,blue
出来事,1976,,,,,,,,Alzettea et al.,CPTの初実験,Naとバッファガスで満たされたガスセルに、色素レーザーを照射して、NHSの準位を観測した。,,,,,blue
